louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,1054,52,10.63257103320683,0.12299431751063565,1.174595716604365,0.2565,0.0664,0.2704,0.0525
1,1133,52,10.348013994880846,0.056215202068049426,1.1028123666104441,0.2747,0.0488,0.2567,0.0663
2,1330,52,10.360035322481204,-0.014712271751503752,1.167093452472536,0.1745,0.2161,0.1776,0.2077
3,2055,52,10.896473881411191,0.1084216542675309,1.2498008289008273,0.5036,0.0001,0.5106,0.0001
4,1995,52,6.614702090977444,-0.2736270131729323,2.1296223907734118,0.3249,0.0188,0.3361,0.0148
6,210,50,10.539895122380953,0.13090394438761904,0.9907002924209883,-0.0609,0.6741,-0.0449,0.7568
7,122,39,9.771122814754097,-0.004131353795901648,1.1557310017370617,0.0583,0.7245,0.072,0.663
8,665,52,10.148593883609022,-0.009636238946646603,1.0302733459440694,-0.0769,0.5881,-0.1137,0.4223
10,615,52,10.025903989268294,-0.13941111657671545,1.0142415863343104,0.1921,0.1724,0.1666,0.2378
11,733,52,10.674033980081857,0.09753511554803548,1.1360156645099466,0.1957,0.1645,0.214,0.1277
13,915,51,10.804349684262295,0.22475626646153005,1.0629445422864419,0.2049,0.1492,0.219,0.1226
14,1528,52,10.75164260248691,0.12900187907813482,1.129613735043028,0.3809,0.0053,0.3789,0.0056
15,1309,52,10.775986940336134,0.2136082871554927,1.1233694244637096,0.2781,0.0459,0.2727,0.0505
16,666,52,10.568588463063062,0.05280851233768769,1.0642928675340995,0.0785,0.58,0.0764,0.5905
17,1532,52,10.528738803133159,0.12657742913049608,1.0621312884429694,0.0755,0.595,0.0718,0.6132
18,1840,52,10.944715161141303,0.10499634340804348,1.0440989245546586,0.4408,0.0011,0.4402,0.0011
19,448,52,10.293772298660715,-0.2575875980602679,0.9704586358728191,-0.0874,0.538,-0.0887,0.5316
20,833,52,10.245829470468188,0.0018092542175270063,1.0739349610473088,0.1349,0.3402,0.142,0.3153
21,446,49,10.604912497309417,0.19399984224641256,1.1157261871075612,-0.0412,0.7787,-0.0538,0.7134
22,631,52,10.751228192551505,-0.015286864223613344,1.1436355349484737,0.2875,0.0388,0.2728,0.0504
23,889,52,10.519290067041622,-0.13280706978294712,1.0925388254903157,0.1893,0.179,0.2111,0.1331
24,355,51,10.058275996056338,0.11782709251445068,1.1144264796738872,0.084,0.5578,0.0908,0.5263
25,2198,52,10.473382545586897,0.08427116462825296,1.1628266734820736,0.392,0.0041,0.3996,0.0033
