louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,9155,53,10.620976607187329,0.13377710216328662,1.1826613098595367,0.4268,0.0014,0.4082,0.0024
1,3620,52,10.61831752107735,0.07695360148401381,1.0529646963178774,0.0208,0.8836,0.0287,0.8401
2,11941,53,10.659010462415207,0.043879854684390755,1.1320587787331353,0.3722,0.0061,0.3819,0.0048
3,20683,53,10.524912711028382,0.09872608969264542,1.1788323910702283,0.6346,0.0,0.6359,0.0
4,188,37,10.375670140425532,0.13627209815659574,1.1887994295388458,-0.0324,0.8491,-0.0333,0.8449
6,192,41,10.542989440104167,0.31397276310781247,0.9743629209375079,0.2636,0.0959,0.2387,0.1328
8,758,47,11.60612386292876,0.28543209988324536,0.9509337897753012,-0.0369,0.8057,-0.0779,0.6028
10,5126,52,10.552913255657433,0.11870688962369098,1.0788366527408866,0.2062,0.1425,0.2163,0.1235
11,25354,53,11.3121356741737,0.12029019790783492,1.1210361993823088,0.5845,0.0,0.5895,0.0
13,21587,53,10.568856599281974,0.13563835154981155,1.2534250536405829,0.5993,0.0,0.599,0.0
14,10386,53,10.818343315569035,0.05484141191076449,1.1486972711162415,0.4714,0.0004,0.468,0.0004
15,13884,53,10.976133831323825,0.2378555554995153,1.1626419278712992,0.5378,0.0,0.5344,0.0
16,8338,53,10.249722827308707,0.15170114537808407,1.202237580175078,0.5038,0.0001,0.5014,0.0001
17,10415,53,10.695343326068171,0.177107404798217,1.1592527301768494,0.516,0.0001,0.5275,0.0
18,23310,53,10.85685589063921,0.1190490912762027,1.1910390552025134,0.6172,0.0,0.6208,0.0
19,7049,53,10.65390054891474,0.14265565368113065,1.1698156298340079,0.7328,0.0,0.7331,0.0
20,16897,53,10.743035071953603,0.11332982262084806,1.1038103415574925,0.5739,0.0,0.5935,0.0
21,6118,52,10.458805827034977,-0.05263439093048987,1.1303602036865674,0.2955,0.0334,0.2627,0.0599
22,13154,53,10.663648251018701,0.07630707453154631,1.1322183270103294,0.5731,0.0,0.5822,0.0
23,5645,52,10.992485239557132,0.09523985607174669,1.0907356661207614,0.0691,0.6266,0.0641,0.6518
24,4062,52,10.50700009286066,0.2055141656152782,1.222819030038639,0.3442,0.0125,0.325,0.0187
25,22705,53,10.460764333248184,0.1858436582514319,1.1547201201929116,0.662,0.0,0.6629,0.0
