louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,1714,52,11.105265402975494,0.26951396069416567,1.0890233207512539,0.4135,0.0023,0.4049,0.0029
1,753,52,10.874245653652059,0.07853939825590969,0.9604058567558699,0.1965,0.1626,0.1583,0.2624
2,2675,52,11.167665414542055,0.14961728102120747,1.074280681933225,0.2871,0.0391,0.3106,0.025
3,4017,52,11.037246155887477,0.15549918049606673,1.1191409674504418,0.7106,0.0,0.7,0.0
6,189,49,11.275312191534393,0.6123244095873016,1.1939125618122464,0.1208,0.4082,0.1141,0.4349
8,255,50,10.741858777647058,0.2517220696156863,0.997744957255862,0.0442,0.7605,0.0321,0.8249
10,475,52,10.43424631368421,0.044650045610105285,1.0218598127204095,-0.116,0.413,-0.0988,0.4859
11,5315,52,11.112507581505175,0.08083292087737912,1.0730978715000314,0.587,0.0,0.5876,0.0
13,2428,52,10.942757370881383,0.21583235856260294,1.1302301556299363,0.5559,0.0,0.5718,0.0
14,1893,52,11.03494291822504,0.14736111056883255,1.0693216550664957,0.4845,0.0003,0.4771,0.0003
15,2827,52,11.250950796957905,0.2986379025070039,1.1114374369145588,0.3744,0.0062,0.3607,0.0086
16,1467,52,10.88443686421268,0.08270514100200409,1.0991676533901666,0.5107,0.0001,0.5022,0.0001
17,1776,52,11.16557482043919,0.2808218100891892,1.0012241707843363,0.1641,0.2449,0.1534,0.2775
18,3431,52,10.946282363888079,0.06853699642566599,1.097928946851969,0.5756,0.0,0.5785,0.0
19,1370,52,10.85771671810219,0.22646648382124088,1.07216058870325,0.5317,0.0,0.5391,0.0
20,2363,52,11.146693549724926,0.15605373525738891,1.090514444035809,0.4492,0.0008,0.4568,0.0007
21,908,52,11.075263163105726,0.2778236203834251,1.113401659982673,0.1209,0.3932,0.1288,0.3629
22,2342,52,10.855669464474808,0.12561345608625535,1.077520880269759,0.454,0.0007,0.4618,0.0006
23,1012,52,11.057646192292491,0.24910007816321147,1.061634380074049,0.2925,0.0353,0.3002,0.0306
24,620,52,10.870599956774194,0.3097295030712903,1.16121371760773,0.3831,0.0051,0.4018,0.0032
25,2367,52,11.218009662737643,0.2535642473895226,1.0977664136013987,0.46,0.0006,0.4485,0.0009
