animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3K1,9.01,10,dlPFC,14.955998,2.2444546
3K1,9.01,10,dlPFC,12.558001,0.87022334
97R,17.93,10,dlPFC,12.613,0.98072374
0B9,12.11,10,dlPFC,11.76,0.22776355
2Q0,3.21,10,dlPFC,11.175,-0.13005927
4J6,7.15,10,dlPFC,10.88,-0.51346725
6L4,8.2,10,dlPFC,11.239,-0.0036657748
2S2,6.31,10,dlPFC,10.394,-0.5219819
37V,15.07,10,dlPFC,10.357,-0.5966249
3K1,9.01,10,dlPFC,7.189,-2.8545322
50P,15.59,10,dlPFC,12.386,0.69044214
43N,17.0,10,dlPFC,13.021001,0.92375594
43N,17.0,10,dlPFC,11.823999,0.1489925
4Q6,3.22,10,dlPFC,12.109,0.41032302
56K,19.93,10,dlPFC,11.166,0.0358352
0G3,9.1,10,dlPFC,13.163,1.4231232
43N,17.0,10,dlPFC,11.481999,0.32465458
0B9,12.11,10,dlPFC,13.404999,1.308777
2Q0,3.21,10,dlPFC,10.86,-0.32587773
82V,16.01,10,dlPFC,12.254,0.6092015
8M0,8.12,10,dlPFC,13.122,1.0502462
6L4,8.2,10,dlPFC,10.783999,-0.39795694
1T9,4.11,10,dlPFC,12.764999,0.7440064
8M0,8.12,10,dlPFC,14.098,1.7183824
2S2,6.31,10,dlPFC,11.626,0.17033128
97R,17.93,10,dlPFC,10.083,-0.654032
5H6,11.03,10,dlPFC,11.767,0.31139708
6O7,6.03,10,dlPFC,4.752,-3.9123018
8B3,13.09,10,dlPFC,12.117,0.40958992
56K,19.93,10,dlPFC,12.448,0.72050357
6O7,6.03,10,dlPFC,11.436,-0.009361484
8B3,13.09,10,dlPFC,7.6979995,-2.7819855
2T6,5.18,10,dlPFC,8.679,-1.5795693
91O,15.86,10,dlPFC,9.823999,-1.157987
4S3,3.18,10,dlPFC,12.337,0.66369426
1G8,7.88,10,dlPFC,10.357,-0.66132164
5H6,11.03,10,dlPFC,11.068,-0.11350332
1T9,4.11,10,dlPFC,14.019,1.5491738
50P,15.59,10,dlPFC,11.108999,-0.007440199
91O,15.86,10,dlPFC,12.646001,0.87028074
91O,15.86,10,dlPFC,13.219999,1.1567458
46Z,13.97,10,dlPFC,11.955,0.4475963
4Q6,3.22,10,dlPFC,10.334,-0.6866843
0G3,9.1,10,dlPFC,13.1449995,1.2815183
8C9,12.12,10,dlPFC,10.969,-0.372931
1T9,4.11,10,dlPFC,10.096999,-0.7863709
97R,17.93,10,dlPFC,10.217,-0.80272704
8B3,13.09,10,dlPFC,12.152999,0.61478156
97R,17.93,10,dlPFC,12.365,0.60865134
46Z,13.97,10,dlPFC,12.714,0.8095178
4J6,7.15,10,dlPFC,8.457001,-1.7274045
1T9,4.11,10,dlPFC,10.059,-0.7764002
1T9,4.11,10,dlPFC,12.241999,0.57959574
3T5,5.12,10,dlPFC,9.609,-1.1390253
91O,15.86,10,dlPFC,15.084,2.5293431
6O7,6.03,10,dlPFC,10.943,-0.10042947
3E4,11.99,10,dlPFC,12.873999,0.9954534
97R,17.93,10,dlPFC,10.3480015,-0.46929044
2F2,11.04,10,dlPFC,13.316999,1.3060418
43N,17.0,10,dlPFC,10.854,-0.3057956
56R,14.95,10,dlPFC,12.693,0.7779673
4J6,7.15,10,dlPFC,11.194,0.12085233
