animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2S2,6.31,15,ACC,12.106999,0.60771054
98V,16.03,15,ACC,13.586,1.5252056
97R,17.93,15,ACC,9.675,-0.7866823
42T,15.96,15,ACC,12.608999,1.1268902
6L4,8.2,15,ACC,12.356,0.77926785
7F0,11.2,15,ACC,16.143,2.9066472
7F0,11.2,15,ACC,10.198,-0.6478868
8C9,12.12,15,ACC,10.373,-0.43367678
6O7,6.03,15,ACC,15.606999,2.782504
8I6,9.9,15,ACC,12.449999,0.7734668
2S6,3.17,15,ACC,14.613001,2.1617923
8C9,12.12,15,ACC,14.024,2.0078363
3D1,13.11,15,ACC,10.087,-0.49854377
1G8,7.88,15,ACC,10.276999,-0.39652053
7M4,8.15,15,ACC,13.898,1.8631145
2T6,5.18,15,ACC,12.465,0.9375344
2I1,10.27,15,ACC,11.096,0.15929352
77V,16.15,15,ACC,9.5390005,-0.8901135
37V,15.07,15,ACC,13.783999,2.0980115
3K1,9.01,15,ACC,12.792,1.407153
3T5,5.12,15,ACC,11.681001,0.43920365
5R4,6.25,15,ACC,11.159,0.10467681
5R4,6.25,15,ACC,9.841001,-0.6928444
98V,16.03,15,ACC,10.665,-0.28074342
2F2,11.04,15,ACC,10.969,-0.1141787
2T6,5.18,15,ACC,11.330999,0.14590755
2T6,5.18,15,ACC,12.358999,0.7754836
2T6,5.18,15,ACC,12.042,0.8683114
3T5,5.12,15,ACC,11.744001,0.595773
4J6,7.15,15,ACC,11.968,0.6897848
1V8,4.31,15,ACC,12.106001,0.74885917
74K,20.81,15,ACC,11.4939995,0.26501817
2C6,14.03,15,ACC,11.361,0.27879652
8C9,12.12,15,ACC,12.009,0.576696
55R,14.97,15,ACC,12.133,0.7419225
3D1,13.11,15,ACC,8.7890005,-1.2715551
5R4,6.25,15,ACC,11.175,0.23239614
97R,17.93,15,ACC,8.533,-1.5358168
8B3,13.09,15,ACC,10.765,-0.029719727
31S,17.0,15,ACC,9.908999,-0.75965995
8C9,12.12,15,ACC,9.598001,-1.0543735
2S2,6.31,15,ACC,8.622999,-1.5499676
1L1,8.17,15,ACC,12.351999,0.7227331
7F0,11.2,15,ACC,13.017,1.3886584
56K,19.93,15,ACC,9.311999,-1.0685931
43N,17.0,15,ACC,16.158,2.8764312
8C9,12.12,15,ACC,11.547,0.46935526
2C6,14.03,15,ACC,13.713,1.8991331
2C6,14.03,15,ACC,12.837,0.9310738
2Q0,3.21,15,ACC,11.165,0.13584164
2S6,3.17,15,ACC,10.612,-0.29726633
4S3,3.18,15,ACC,11.466001,0.28492317
55R,14.97,15,ACC,13.95,1.8803965
7F0,11.2,15,ACC,14.686999,2.3189616
0B9,12.11,15,ACC,9.098,-1.3914573
3T5,5.12,15,ACC,13.483999,1.6734707
7M4,8.15,15,ACC,13.334,1.5337589
4Q6,3.22,15,ACC,11.386,0.17368867
42T,15.96,15,ACC,8.808001,-1.3438423
2I1,10.27,15,ACC,9.649,-0.6169987
1L1,8.17,15,ACC,10.487001,-0.25275177
2Q0,3.21,15,ACC,9.221,-1.1427541
3T5,5.12,15,ACC,9.408999,-0.9807376
3T5,5.12,15,ACC,8.479,-1.5114456
6L4,8.2,15,ACC,10.894,-0.07730151
1L1,8.17,15,ACC,10.341001,-0.412123
0G3,9.1,15,ACC,13.3220005,1.5601928
74K,20.81,15,ACC,11.853,0.5648334
37V,15.07,15,ACC,11.046,0.061911013
37V,15.07,15,ACC,11.648001,0.43830058
56R,14.95,15,ACC,12.359999,0.8659385
55R,14.97,15,ACC,12.844999,1.2260481
3D1,13.11,15,ACC,10.965001,-0.11372662
3T5,5.12,15,ACC,11.86,0.38770267
5R4,6.25,15,ACC,9.05,-1.265664
2F2,11.04,15,ACC,11.772,0.36541584
97R,17.93,15,ACC,7.477,-1.9765012
42T,15.96,15,ACC,12.566,1.1885724
31S,17.0,15,ACC,10.198,-0.4587163
1L1,8.17,15,ACC,13.833,1.8581505
0G3,9.1,15,ACC,12.344999,0.762898
74K,20.81,15,ACC,13.922,1.5955081
74K,20.81,15,ACC,12.671,1.2353007
8C9,12.12,15,ACC,11.440001,0.2029064
8C9,12.12,15,ACC,10.434,-0.5405704
8C9,12.12,15,ACC,9.758,-0.8329341
6D9,13.11,15,ACC,9.374001,-1.2286671
55R,14.97,15,ACC,10.581,-0.2081324
1G8,7.88,15,ACC,10.109001,-0.36648887
42T,15.96,15,ACC,11.671,0.32926148
4J6,7.15,15,ACC,9.551001,-0.8829491
77V,16.15,15,ACC,11.046999,0.038205992
43N,17.0,15,ACC,12.413,0.90921044
4S3,3.18,15,ACC,6.479,-3.0494459
8C9,12.12,15,ACC,12.564001,0.8536556
8C9,12.12,15,ACC,13.047999,1.3860818
8C9,12.12,15,ACC,15.009,2.4136236
37V,15.07,15,ACC,11.037,0.21520415
3D1,13.11,15,ACC,8.396,-1.5232707
3D1,13.11,15,ACC,9.501,-0.8195206
3T5,5.12,15,ACC,11.065,-0.10312085
2T6,5.18,15,ACC,12.233,0.67257595
6L4,8.2,15,ACC,11.59,0.47020388
56K,19.93,15,ACC,14.029999,1.7492719
43N,17.0,15,ACC,13.847,1.5986805
43N,17.0,15,ACC,11.365999,0.19837688
3K1,9.01,15,ACC,10.096001,-0.71041787
1G8,7.88,15,ACC,10.286,-0.45120573
98V,16.03,15,ACC,10.109,-0.6747999
97R,17.93,15,ACC,12.651,0.9467601
8B3,13.09,15,ACC,9.059,-1.1132982
42T,15.96,15,ACC,9.497,-0.92980003
1V8,4.31,15,ACC,12.756,0.99404407
8C9,12.12,15,ACC,13.819,1.5047972
1T9,4.11,15,ACC,13.912001,1.8161122
8C9,12.12,15,ACC,13.631999,1.6114564
46Z,13.97,15,ACC,10.290999,-0.5237854
3K1,9.01,15,ACC,10.518,-0.2525045
8B3,13.09,15,ACC,11.962,0.73870456
91O,15.86,15,ACC,11.34,0.13395186
91O,15.86,15,ACC,13.732,1.9352475
1L1,8.17,15,ACC,12.175,1.0382789
1L1,8.17,15,ACC,9.306,-0.9932541
0B9,12.11,15,ACC,14.840999,2.3902202
3E4,11.99,15,ACC,11.372,0.37782785
8I6,9.9,15,ACC,12.039,0.6624397
56R,14.95,15,ACC,9.087,-1.1611611
3D1,13.11,15,ACC,11.499,0.29860485
5R4,6.25,15,ACC,12.253,0.8207982
5R4,6.25,15,ACC,11.073999,0.110285066
98V,16.03,15,ACC,10.6119995,-0.17617099
97R,17.93,15,ACC,8.344999,-1.6726643
0G3,9.1,15,ACC,12.062,0.56184286
6O7,6.03,15,ACC,9.429999,-0.92463446
91O,15.86,15,ACC,9.975,-0.6614459
46Z,13.97,15,ACC,12.157001,0.63071424
8C9,12.12,15,ACC,9.524,-0.9292561
