animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
98V,16.03,15,EC,12.526,1.2710534
7M4,8.15,15,EC,7.1169996,-2.071093
43N,17.0,15,EC,9.959,-0.20245934
2F2,11.04,15,EC,13.386999,1.9040254
91O,15.86,15,EC,11.154,0.4838193
2Q0,3.21,15,EC,10.320999,0.082981855
2S6,3.17,15,EC,10.033,-0.34172383
1P5,6.21,15,EC,9.0199995,-0.8475357
3K1,9.01,15,EC,11.2560005,0.5486526
6L4,8.2,15,EC,9.481,-0.51250553
2T2,4.09,15,EC,9.868,-0.38813224
98V,16.03,15,EC,7.15,-2.6230052
43N,17.0,15,EC,12.279999,1.5839523
98V,16.03,15,EC,11.453,0.59059125
98V,16.03,15,EC,10.268999,0.018413648
8I6,9.9,15,EC,8.688001,-1.3878312
55R,14.97,15,EC,9.222,-0.7589465
3T5,5.12,15,EC,10.976,0.26396188
1G8,7.88,15,EC,10.557,0.21715033
1G8,7.88,15,EC,13.924001,2.3531857
5H6,11.03,15,EC,10.267,-0.18782121
6L4,8.2,15,EC,13.1449995,1.7876848
2I1,10.27,15,EC,10.08,-0.30464366
1P5,6.21,15,EC,11.101,0.36326003
37V,15.07,15,EC,11.586,0.6883299
8H2,10.13,15,EC,13.146001,1.7160593
5R4,6.25,15,EC,10.254,-0.15685205
7M4,8.15,15,EC,10.2369995,-0.20632349
2T6,5.18,15,EC,13.544001,2.0964203
1G8,7.88,15,EC,7.088,-2.2153075
8M0,8.12,15,EC,9.565,-0.63498366
3T5,5.12,15,EC,10.768,0.15241154
7M4,8.15,15,EC,11.349,0.59560984
7M4,8.15,15,EC,11.439,0.4922133
41N,16.74,15,EC,12.035999,1.1420237
0B9,12.11,15,EC,8.158999,-1.3866183
6O7,6.03,15,EC,8.95,-1.0126241
3E4,11.99,15,EC,10.967001,0.25125057
4S3,3.18,15,EC,10.469999,-0.12783095
2T2,4.09,15,EC,9.537001,-0.5807346
50P,15.59,15,EC,9.599,-0.47891283
7M4,8.15,15,EC,11.544001,0.73064435
97R,17.93,15,EC,11.008,0.16188619
46Z,13.97,15,EC,9.234999,-0.89623797
82V,16.01,15,EC,8.575,-1.2552525
8I6,9.9,15,EC,8.766001,-1.0407947
3D1,13.11,15,EC,12.047999,0.9385199
8H2,10.13,15,EC,8.62,-1.2033416
42T,15.96,15,EC,8.887999,-1.1289499
31S,17.0,15,EC,11.875999,1.0946299
31S,17.0,15,EC,13.458,2.0362167
1V8,4.31,15,EC,13.195999,1.6766548
8I6,9.9,15,EC,11.69,0.75267226
50P,15.59,15,EC,8.212,-1.6085752
2T6,5.18,15,EC,9.206999,-0.84466
8I6,9.9,15,EC,10.462,-0.27505517
2T2,4.09,15,EC,12.92,1.723123
7M4,8.15,15,EC,10.012999,-0.24232145
31S,17.0,15,EC,13.450999,1.752127
91O,15.86,15,EC,11.445,0.55021393
4J6,7.15,15,EC,8.469,-1.348487
2I1,10.27,15,EC,8.434,-1.4704372
6D9,13.11,15,EC,11.648001,0.89317405
2T2,4.09,15,EC,11.869,1.4050391
42T,15.96,15,EC,13.416,2.7039435
41N,16.74,15,EC,12.551,1.5028323
0G3,9.1,15,EC,8.488999,-1.2173834
3R7,3.32,15,EC,10.769,0.20565264
2T2,4.09,15,EC,7.7269998,-2.1540937
2Q0,3.21,15,EC,9.988001,-0.28700975
2T2,4.09,15,EC,11.354,0.52016085
8B3,13.09,15,EC,9.739999,-0.50330466
1L1,8.17,15,EC,12.228,1.0086942
3T5,5.12,15,EC,9.202,-0.92810804
7M4,8.15,15,EC,10.593,0.24378926
91O,15.86,15,EC,10.388,-0.10261622
6L4,8.2,15,EC,7.5130005,-2.0723844
6D9,13.11,15,EC,9.099,-1.0985459
3D1,13.11,15,EC,15.813001,3.433961
8B3,13.09,15,EC,10.009,-0.41632137
31S,17.0,15,EC,13.458,2.1461875
0B9,12.11,15,EC,7.9219995,-1.8861371
2C6,14.03,15,EC,10.617,0.1415077
91O,15.86,15,EC,12.146,1.1358368
2S2,6.31,15,EC,13.7230015,2.2501218
6L4,8.2,15,EC,9.408,-0.6740193
41N,16.74,15,EC,10.378,-0.032414813
1V8,4.31,15,EC,11.9140005,0.7362767
2V1,4.3,15,EC,8.073,-1.4301311
8B3,13.09,15,EC,7.8170004,-1.7292215
42T,15.96,15,EC,13.788,2.5846605
2I1,10.27,15,EC,9.327,-0.8609456
1V8,4.31,15,EC,10.922,0.14639144
8M0,8.12,15,EC,10.6970005,0.13800535
56R,14.95,15,EC,7.857,-1.6675061
1G8,7.88,15,EC,11.563999,0.65837014
2T2,4.09,15,EC,10.097,-0.24097934
2F2,11.04,15,EC,9.671,-0.40163752
97R,17.93,15,EC,13.899999,2.2514982
6O7,6.03,15,EC,10.356001,-0.004264783
0G3,9.1,15,EC,10.136,0.034855366
5H6,11.03,15,EC,10.392,-0.1355289
2V1,4.3,15,EC,7.998,-1.5839593
0B9,12.11,15,EC,11.641,1.1136315
8C9,12.12,15,EC,8.913,-1.1644002
2Q0,3.21,15,EC,9.266,-0.8776801
1G8,7.88,15,EC,10.186,-0.22371985
2T2,4.09,15,EC,9.327,-0.6197732
2T2,4.09,15,EC,9.498,-0.6709477
91O,15.86,15,EC,10.898001,0.22420193
3R7,3.32,15,EC,10.698999,0.25850713
6L4,8.2,15,EC,13.1449995,1.5906274
0G3,9.1,15,EC,12.771,1.4315022
2I1,10.27,15,EC,11.248,0.51508945
2V1,4.3,15,EC,13.5269985,2.103706
2V1,4.3,15,EC,9.685999,-0.31753883
5R4,6.25,15,EC,13.220999,1.8885628
50P,15.59,15,EC,12.85,1.6945364
7M4,8.15,15,EC,10.861,0.4355945
8B3,13.09,15,EC,11.1779995,0.3090413
41N,16.74,15,EC,11.975,1.0934151
74K,20.81,15,EC,8.023,-1.7129601
50P,15.59,15,EC,14.003,2.156983
42T,15.96,15,EC,8.367001,-1.5195048
5H6,11.03,15,EC,9.214,-0.9466921
2S6,3.17,15,EC,11.5789995,0.75146854
6D9,13.11,15,EC,13.282001,1.664829
50P,15.59,15,EC,10.895,0.3033573
43N,17.0,15,EC,11.3689995,0.5938851
55R,14.97,15,EC,13.516001,2.1089098
98V,16.03,15,EC,12.226,1.0701513
82V,16.01,15,EC,13.431999,2.1111448
82V,16.01,15,EC,15.297,2.9543107
