animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6O7,6.03,17,NAc,9.025,-0.24101576
6O7,6.03,17,NAc,10.245,0.93831
1T9,4.11,17,NAc,10.14,0.8581986
1P5,6.21,17,NAc,10.652999,1.4766402
0B9,12.11,17,NAc,8.694,-0.019379307
2C6,14.03,17,NAc,8.5529995,-0.47905123
8M0,8.12,17,NAc,8.598,-0.31173486
8M0,8.12,17,NAc,9.536001,0.38187942
6O7,6.03,17,NAc,8.562,-0.38002136
8M0,8.12,17,NAc,9.889,0.654192
1P5,6.21,17,NAc,12.5199995,2.5280652
56K,19.93,17,NAc,9.164,0.1071713
2S2,6.31,17,NAc,10.439,1.1416293
8B3,13.09,17,NAc,9.931,0.6093469
6O7,6.03,17,NAc,10.938,1.1961668
7M4,8.15,17,NAc,11.122,1.6859181
82V,16.01,17,NAc,13.295001,2.7950566
3E4,11.99,17,NAc,6.9449997,-1.8825125
1T9,4.11,17,NAc,6.3370004,-2.3157794
4S3,3.18,17,NAc,9.460001,0.39510792
41N,16.74,17,NAc,7.678,-0.99040705
4Q6,3.22,17,NAc,9.523,0.34548143
97R,17.93,17,NAc,10.921,1.2701968
4Q6,3.22,17,NAc,9.775,0.6892709
3E4,11.99,17,NAc,7.753,-1.0404867
4S3,3.18,17,NAc,7.7370005,-0.8878131
6O7,6.03,17,NAc,9.247001,0.04074646
6O7,6.03,17,NAc,8.651,-0.4003767
2C6,14.03,17,NAc,9.751,0.49063477
77V,16.15,17,NAc,8.615,-0.13541411
1P5,6.21,17,NAc,9.231001,0.11615713
6O7,6.03,17,NAc,9.550001,0.27842516
8B3,13.09,17,NAc,10.509001,1.1773404
6O7,6.03,17,NAc,7.505,-1.1873332
3E4,11.99,17,NAc,10.443001,0.81559354
1P5,6.21,17,NAc,10.74,1.3043283
8M0,8.12,17,NAc,10.3220005,1.0457008
8M0,8.12,17,NAc,10.206,0.80099976
6O7,6.03,17,NAc,7.764001,-1.0371304
4J6,7.15,17,NAc,10.124001,0.72862995
6O7,6.03,17,NAc,8.442999,-0.4943714
6O7,6.03,17,NAc,6.8350005,-1.7892756
91O,15.86,17,NAc,7.495,-0.96273303
3E4,11.99,17,NAc,8.879,-0.022750365
8M0,8.12,17,NAc,10.565001,1.1988982
82V,16.01,17,NAc,11.517,1.9068581
7M4,8.15,17,NAc,10.563001,1.4271466
6O7,6.03,17,NAc,8.441,-0.45791876
8M0,8.12,17,NAc,10.011,0.83435607
6O7,6.03,17,NAc,12.236001,2.6758711
6O7,6.03,17,NAc,10.422,0.9236629
6O7,6.03,17,NAc,7.847,-1.060423
1L1,8.17,17,NAc,12.315,2.8266115
8M0,8.12,17,NAc,7.4199996,-1.0868669
6L4,8.2,17,NAc,11.011,1.428212
41N,16.74,17,NAc,8.154,-0.58618283
6O7,6.03,17,NAc,6.835,-1.841479
6O7,6.03,17,NAc,7.928,-0.7888408
91O,15.86,17,NAc,9.48,0.43740746
6O7,6.03,17,NAc,6.643,-1.9095249
3E4,11.99,17,NAc,8.954,-0.096846856
8M0,8.12,17,NAc,8.935999,-0.12702444
