animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
0G3,9.1,22,M1,11.065001,0.44346488
8C9,12.12,22,M1,8.769,-1.4291564
4S3,3.18,22,M1,7.975,-1.6650447
56R,14.95,22,M1,9.151999,-0.9358763
97R,17.93,22,M1,11.245,0.40947843
82V,16.01,22,M1,13.417002,1.5196505
8C9,12.12,22,M1,13.666,1.8207211
3T5,5.12,22,M1,11.950999,0.85163987
5R4,6.25,22,M1,10.637,-0.07495863
2F2,11.04,22,M1,9.803,-0.6201779
2F2,11.04,22,M1,12.011,0.7892615
43N,17.0,22,M1,9.040999,-1.0913268
1T9,4.11,22,M1,9.383,-0.94286114
2Q0,3.21,22,M1,12.348001,1.0054128
2Q0,3.21,22,M1,10.13,-0.64486116
2Q0,3.21,22,M1,8.235,-1.3951336
8B3,13.09,22,M1,10.804,0.03669896
8M0,8.12,22,M1,10.812,0.05752444
3T5,5.12,22,M1,12.806999,1.2106364
5H6,11.03,22,M1,10.572,-0.03292159
5H6,11.03,22,M1,9.219,-0.85243815
2V1,4.3,22,M1,12.064001,0.8725854
0G3,9.1,22,M1,9.587,-0.7912762
8I6,9.9,22,M1,8.779,-1.2315202
55R,14.97,22,M1,10.866999,0.18970065
3D1,13.11,22,M1,10.532001,-0.23192206
4J6,7.15,22,M1,8.811001,-1.7070735
6L4,8.2,22,M1,12.125,0.92722386
1L1,8.17,22,M1,12.139,0.90403706
2C6,14.03,22,M1,12.828,1.353058
8I6,9.9,22,M1,10.816,0.0031216412
37V,15.07,22,M1,15.418999,3.2821736
3R7,3.32,22,M1,12.15,0.82948965
55R,14.97,22,M1,9.76,-0.5911642
3T5,5.12,22,M1,11.115,0.3753301
98V,16.03,22,M1,10.561,-0.14768651
8B3,13.09,22,M1,12.194999,1.0010612
5H6,11.03,22,M1,12.559999,1.2688638
2V1,4.3,22,M1,13.536,2.04032
0B9,12.11,22,M1,11.048,0.34044492
42T,15.96,22,M1,12.336,1.1098795
91O,15.86,22,M1,10.686999,0.014128348
5H6,11.03,22,M1,9.705,-0.757609
2I1,10.27,22,M1,10.915,0.10712582
82V,16.01,22,M1,14.517001,2.6319454
8C9,12.12,22,M1,12.249001,1.0851973
7F0,11.2,22,M1,11.925,0.78327656
2C6,14.03,22,M1,10.974,0.16765568
37V,15.07,22,M1,12.109,1.0080218
8M0,8.12,22,M1,10.944,0.10962074
8M0,8.12,22,M1,11.453,0.54550946
5R4,6.25,22,M1,14.604001,2.3077905
8B3,13.09,22,M1,15.397,2.8664212
6L4,8.2,22,M1,7.5889997,-2.170122
43N,17.0,22,M1,10.681,-0.119542934
8I6,9.9,22,M1,11.972,0.7082539
91O,15.86,22,M1,8.462,-1.4080893
4Q6,3.22,22,M1,10.591,-0.058511168
6L4,8.2,22,M1,10.967001,0.2874915
6L4,8.2,22,M1,10.648999,-0.08353612
37V,15.07,22,M1,11.561999,0.56545657
6D9,13.11,22,M1,14.727,2.5145388
1G8,7.88,22,M1,12.335,1.168473
6L4,8.2,22,M1,10.478,-0.17934465
56K,19.93,22,M1,11.867,0.84651166
8I6,9.9,22,M1,9.099999,-1.2067615
6D9,13.11,22,M1,9.592999,-0.83561224
55R,14.97,22,M1,8.83,-1.5045644
2V1,4.3,22,M1,14.01,2.3691008
82V,16.01,22,M1,10.755,0.045864213
