animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
1L1,8.17,3,IPP,12.559,1.4790514
8B3,13.09,3,IPP,11.707,0.8339402
42T,15.96,3,IPP,11.078,0.37749115
4Q6,3.22,3,IPP,11.036,0.560338
4Q6,3.22,3,IPP,12.004,1.0371342
4J6,7.15,3,IPP,9.808,-0.44630542
6L4,8.2,3,IPP,10.281,0.0722122
41N,16.74,3,IPP,12.617999,1.4491099
2I1,10.27,3,IPP,13.601,1.8395319
4S3,3.18,3,IPP,8.8550005,-1.1491582
4S3,3.18,3,IPP,8.031,-1.665931
4S3,3.18,3,IPP,11.6779995,0.8583679
1V8,4.31,3,IPP,9.584,-0.6377137
1V8,4.31,3,IPP,9.951,-0.22605167
1V8,4.31,3,IPP,10.684,0.09125064
1V8,4.31,3,IPP,10.53,0.1185801
1V8,4.31,3,IPP,12.624,1.4937222
77V,16.15,3,IPP,13.150999,2.0907266
77V,16.15,3,IPP,10.056001,-0.43400928
77V,16.15,3,IPP,9.373,-0.4474892
7F0,11.2,3,IPP,11.027,0.36721265
0G3,9.1,3,IPP,12.289999,1.1092912
0G3,9.1,3,IPP,11.414,0.5547522
82V,16.01,3,IPP,11.795,0.89496434
56K,19.93,3,IPP,11.707999,0.8303579
43N,17.0,3,IPP,11.156,0.5066752
0B9,12.11,3,IPP,13.672,1.8067918
3E4,11.99,3,IPP,10.683001,0.37493524
1P5,6.21,3,IPP,10.738001,0.2500878
8I6,9.9,3,IPP,11.367,0.6426133
2Q0,3.21,3,IPP,6.135,-2.96267
2S6,3.17,3,IPP,8.983,-1.0265551
2T2,4.09,3,IPP,12.827001,1.716495
7M4,8.15,3,IPP,8.108,-1.3586452
42T,15.96,3,IPP,11.372,0.5405372
2T6,5.18,3,IPP,9.725,-0.4895359
46Z,13.97,3,IPP,11.971999,0.967021
6L4,8.2,3,IPP,10.518,0.13293362
6L4,8.2,3,IPP,9.888,-0.24535456
41N,16.74,3,IPP,12.518999,1.3573536
41N,16.74,3,IPP,8.234,-1.4381983
41N,16.74,3,IPP,10.388,-0.13972366
2I1,10.27,3,IPP,8.832999,-1.0527267
77V,16.15,3,IPP,10.070999,-0.12471913
2C0,11.0,3,IPP,11.011,0.49963573
2C0,11.0,3,IPP,11.627,0.7895029
2C0,11.0,3,IPP,10.111001,-0.18265873
0G3,9.1,3,IPP,14.195,2.7703397
0G3,9.1,3,IPP,6.859,-1.899405
74K,20.81,3,IPP,14.165001,2.3908486
82V,16.01,3,IPP,12.76,1.3738188
8C9,12.12,3,IPP,8.0460005,-1.5992843
8C9,12.12,3,IPP,10.921,0.2850634
2C6,14.03,3,IPP,10.547999,-0.05460423
2C6,14.03,3,IPP,12.073,1.1439219
3E4,11.99,3,IPP,9.813,-0.4883584
3E4,11.99,3,IPP,11.619,0.8335704
1P5,6.21,3,IPP,11.128,0.686096
8I6,9.9,3,IPP,11.601,0.73978734
8I6,9.9,3,IPP,10.212999,0.041467227
8I6,9.9,3,IPP,12.134999,1.4117033
8I6,9.9,3,IPP,10.938,0.23042037
2Q0,3.21,3,IPP,8.953,-1.16913
42T,15.96,3,IPP,11.212,0.59592575
31S,17.0,3,IPP,8.186999,-1.2979376
4Q6,3.22,3,IPP,11.804,0.9190752
41N,16.74,3,IPP,11.429,0.766912
41N,16.74,3,IPP,9.69,-0.4340094
41N,16.74,3,IPP,8.032,-1.3542216
2I1,10.27,3,IPP,12.375999,1.5770464
1V8,4.31,3,IPP,10.678,0.15419106
2V1,4.3,3,IPP,11.093,0.4568746
77V,16.15,3,IPP,11.849001,0.9727961
2C0,11.0,3,IPP,13.181002,1.6433904
7F0,11.2,3,IPP,12.118,1.1698143
7F0,11.2,3,IPP,12.208,1.0404202
7F0,11.2,3,IPP,11.995999,1.1734073
7F0,11.2,3,IPP,10.19,-0.15677133
74K,20.81,3,IPP,9.718,-0.45347977
8C9,12.12,3,IPP,10.122,-0.25874817
8C9,12.12,3,IPP,11.21,0.7701217
2C6,14.03,3,IPP,14.764,2.8263767
2C6,14.03,3,IPP,12.500999,1.686159
3E4,11.99,3,IPP,7.217,-2.324351
3E4,11.99,3,IPP,10.197,-0.1643591
1P5,6.21,3,IPP,10.143001,-0.08192141
1P5,6.21,3,IPP,8.995,-0.89310825
8I6,9.9,3,IPP,12.042,0.87187743
8I6,9.9,3,IPP,9.299,-0.63632905
2Q0,3.21,3,IPP,8.9539995,-1.044721
2Q0,3.21,3,IPP,9.572,-0.54119974
2F2,11.04,3,IPP,9.231,-0.62320095
8B3,13.09,3,IPP,10.306999,0.049443945
42T,15.96,3,IPP,12.019,1.032657
31S,17.0,3,IPP,10.341999,-0.10833882
46Z,13.97,3,IPP,9.943001,-0.14717868
4Q6,3.22,3,IPP,9.52,-0.55410606
5H6,11.03,3,IPP,10.475,0.100590356
5H6,11.03,3,IPP,8.558001,-1.1485071
4J6,7.15,3,IPP,11.434,0.69320315
4J6,7.15,3,IPP,12.565001,1.2944856
6L4,8.2,3,IPP,9.178999,-0.5961544
41N,16.74,3,IPP,10.173999,-0.03699195
41N,16.74,3,IPP,11.731,0.7650807
2I1,10.27,3,IPP,10.011,-0.33994287
1V8,4.31,3,IPP,10.901,0.24602915
2V1,4.3,3,IPP,11.325999,0.48178965
77V,16.15,3,IPP,12.081999,0.962671
2C0,11.0,3,IPP,10.235,-0.019078935
7F0,11.2,3,IPP,8.991999,-1.0208825
74K,20.81,3,IPP,11.613,0.8385715
43N,17.0,3,IPP,10.569,0.13215165
0B9,12.11,3,IPP,9.681999,-0.47340778
1T9,4.11,3,IPP,11.000999,0.47559506
1T9,4.11,3,IPP,10.092999,-0.28006378
2C6,14.03,3,IPP,12.934,1.6328213
2C6,14.03,3,IPP,12.737999,1.4894277
8I6,9.9,3,IPP,12.577999,1.2105086
2Q0,3.21,3,IPP,10.132999,-0.31628054
2Q0,3.21,3,IPP,10.532,0.019576157
2Q0,3.21,3,IPP,7.3620005,-1.8188379
2Q0,3.21,3,IPP,8.0130005,-1.569893
2S6,3.17,3,IPP,10.549999,0.038577247
2S6,3.17,3,IPP,7.2370005,-2.1890178
97R,17.93,3,IPP,12.473,1.3600268
97R,17.93,3,IPP,11.32,0.66442907
42T,15.96,3,IPP,9.454,-0.8095191
91O,15.86,3,IPP,9.966,-0.08131657
6L4,8.2,3,IPP,11.972,1.0258119
6L4,8.2,3,IPP,13.481,2.0141292
6L4,8.2,3,IPP,10.167,-0.11724505
2C0,11.0,3,IPP,12.021,0.94336313
7F0,11.2,3,IPP,9.584,-0.52397674
0B9,12.11,3,IPP,9.478001,-0.69386035
2C6,14.03,3,IPP,11.846,1.0610795
2C6,14.03,3,IPP,14.277,2.7750988
3E4,11.99,3,IPP,10.836,0.48943257
1P5,6.21,3,IPP,8.331999,-1.3622168
8I6,9.9,3,IPP,9.5529995,-0.5046128
8I6,9.9,3,IPP,9.39,-0.3077596
8I6,9.9,3,IPP,11.275999,0.67872113
2Q0,3.21,3,IPP,8.846,-0.7940551
2S6,3.17,3,IPP,7.595,-1.7292387
56R,14.95,3,IPP,8.695,-0.99532044
55R,14.97,3,IPP,10.226999,-0.1225815
31S,17.0,3,IPP,12.5,1.3904979
4Q6,3.22,3,IPP,8.62,-1.0757004
4J6,7.15,3,IPP,8.809999,-0.7767197
41N,16.74,3,IPP,8.317,-1.1254499
41N,16.74,3,IPP,14.606,2.874494
41N,16.74,3,IPP,11.345999,0.62972295
2I1,10.27,3,IPP,7.664,-1.9659033
2I1,10.27,3,IPP,11.119,0.43141544
2I1,10.27,3,IPP,10.326,0.12164016
77V,16.15,3,IPP,8.837,-1.1102903
77V,16.15,3,IPP,12.955,1.9231176
77V,16.15,3,IPP,13.247,1.729945
2C0,11.0,3,IPP,13.712001,2.0300853
7F0,11.2,3,IPP,9.861,-0.12413243
7F0,11.2,3,IPP,10.522999,0.25691178
7F0,11.2,3,IPP,14.262999,2.373026
0G3,9.1,3,IPP,14.242,2.7614162
0G3,9.1,3,IPP,11.591001,1.001235
74K,20.81,3,IPP,14.199,2.4976754
82V,16.01,3,IPP,13.397,1.869839
82V,16.01,3,IPP,10.401,0.12959893
0B9,12.11,3,IPP,11.463999,0.8832844
