animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3T5,5.12,4,HIP,6.7579994,-2.4878094
46Z,13.97,4,HIP,9.653999,-0.3264229
7M4,8.15,4,HIP,8.955,-0.81198704
5H6,11.03,4,HIP,10.521,0.04380353
2T2,4.09,4,HIP,11.819,0.9817226
74K,20.81,4,HIP,11.975,0.7994909
1T9,4.11,4,HIP,11.261999,0.25417954
3E4,11.99,4,HIP,11.99,1.2230395
4S3,3.18,4,HIP,9.663,-0.30929956
91O,15.86,4,HIP,8.535999,-1.2774694
4Q6,3.22,4,HIP,11.408999,0.7123754
2T2,4.09,4,HIP,6.2960005,-3.1024377
0B9,12.11,4,HIP,12.13,0.94828534
1T9,4.11,4,HIP,7.993,-1.3617725
2I1,10.27,4,HIP,11.385,0.59761447
3E4,11.99,4,HIP,11.99,1.1425902
4Q6,3.22,4,HIP,12.237,1.216474
91O,15.86,4,HIP,13.463,2.0061975
77V,16.15,4,HIP,8.656,-1.0866092
3E4,11.99,4,HIP,11.122999,0.5418034
3E4,11.99,4,HIP,11.99,1.2515227
3T5,5.12,4,HIP,11.122999,0.5557935
3E4,11.99,4,HIP,10.235999,-0.10896539
3E4,11.99,4,HIP,13.386,2.3366125
3E4,11.99,4,HIP,12.406,1.4977255
97R,17.93,4,HIP,12.175,1.1302007
2T2,4.09,4,HIP,9.1050005,-0.78444767
4Q6,3.22,4,HIP,10.103,-0.0056408523
3E4,11.99,4,HIP,11.112999,0.48364687
98V,16.03,4,HIP,10.314,-0.17654538
3R7,3.32,4,HIP,11.966,0.9527235
82V,16.01,4,HIP,11.189,0.61257374
3E4,11.99,4,HIP,11.99,1.0878359
2T2,4.09,4,HIP,8.473001,-0.9689597
1P5,6.21,4,HIP,10.506,-0.082948014
2V1,4.3,4,HIP,11.575,0.646355
98V,16.03,4,HIP,9.099999,-0.90713733
3R7,3.32,4,HIP,9.835001,-0.28529125
3E4,11.99,4,HIP,11.99,0.9738159
3E4,11.99,4,HIP,11.99,1.0844294
2S6,3.17,4,HIP,11.132999,0.38125518
2F2,11.04,4,HIP,9.636,-0.5216724
7F0,11.2,4,HIP,11.566999,0.72385246
3E4,11.99,4,HIP,11.5789995,0.84428823
2F2,11.04,4,HIP,9.929001,-0.478869
42T,15.96,4,HIP,12.617999,1.4344796
43N,17.0,4,HIP,11.011999,0.35904396
8M0,8.12,4,HIP,9.543,-0.5675535
3D1,13.11,4,HIP,9.830999,-0.45638928
2V1,4.3,4,HIP,9.929999,-0.35674077
3E4,11.99,4,HIP,11.99,0.83861727
8B3,13.09,4,HIP,11.762,0.82743853
2V1,4.3,4,HIP,13.155001,1.963809
2V1,4.3,4,HIP,10.514999,-0.0058590313
77V,16.15,4,HIP,11.47,0.55209297
3E4,11.99,4,HIP,11.122999,0.52626467
2T2,4.09,4,HIP,11.99,0.8102374
7F0,11.2,4,HIP,12.361,1.1743511
2Q0,3.21,4,HIP,14.238001,2.1628056
1T9,4.11,4,HIP,9.556,-0.4969487
2V1,4.3,4,HIP,9.913,-0.41208658
56K,19.93,4,HIP,10.505,0.070505016
4Q6,3.22,4,HIP,10.188001,-0.07888861
5R4,6.25,4,HIP,14.055,2.43046
2F2,11.04,4,HIP,8.88,-1.0265552
97R,17.93,4,HIP,11.649,0.7348608
3E4,11.99,4,HIP,11.99,1.0745714
3R7,3.32,4,HIP,9.861,-0.34737644
2S6,3.17,4,HIP,10.691,0.41436785
8B3,13.09,4,HIP,10.429,-0.09152346
82V,16.01,4,HIP,10.434999,-0.080665156
56K,19.93,4,HIP,11.23,0.3420705
1T9,4.11,4,HIP,8.951,-1.09679
3R7,3.32,4,HIP,8.337,-1.2126156
1L1,8.17,4,HIP,9.401999,-0.6454596
56R,14.95,4,HIP,11.579999,0.7125212
43N,17.0,4,HIP,11.092001,0.2925669
98V,16.03,4,HIP,10.778,0.098730244
3E4,11.99,4,HIP,11.99,0.78778964
3K1,9.01,4,HIP,10.795001,0.29073966
3E4,11.99,4,HIP,11.99,1.0852556
91O,15.86,4,HIP,9.988,-0.3143748
