animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2S2,6.31,6,CN,8.995001,-1.3653339
8B3,13.09,6,CN,12.167001,1.1415714
8C9,12.12,6,CN,8.625,-1.3535198
8I6,9.9,6,CN,12.441,1.1262932
2F2,11.04,6,CN,10.714,0.002999546
0G3,9.1,6,CN,9.164999,-1.1256605
8I6,9.9,6,CN,8.217999,-1.7489136
8B3,13.09,6,CN,12.565001,1.3668082
74K,20.81,6,CN,12.612,1.0867821
56K,19.93,6,CN,12.207,1.1581837
8I6,9.9,6,CN,14.047,2.03684
8H2,10.13,6,CN,9.672,-0.7040158
50P,15.59,6,CN,15.101999,3.1490972
8I6,9.9,6,CN,10.294001,-0.39294076
2S6,3.17,6,CN,7.8560004,-1.7390178
55R,14.97,6,CN,10.673,0.05849489
8H2,10.13,6,CN,9.903001,-0.41141567
2T6,5.18,6,CN,11.989,0.86791426
8C9,12.12,6,CN,12.834,1.2054995
97R,17.93,6,CN,10.393999,-0.15955497
91O,15.86,6,CN,12.205,1.0575236
46Z,13.97,6,CN,11.686,0.63792294
2V1,4.3,6,CN,11.367,0.4568852
8C9,12.12,6,CN,10.936,0.296693
8C9,12.12,6,CN,8.726,-1.1412327
50P,15.59,6,CN,8.573,-1.4812434
97R,17.93,6,CN,11.235001,0.3401658
46Z,13.97,6,CN,10.395,-0.31199285
3E4,11.99,6,CN,11.375999,0.50010604
3K1,9.01,6,CN,14.381,2.5237672
55R,14.97,6,CN,10.13,-0.1852261
3T5,5.12,6,CN,9.258,-1.1685802
3T5,5.12,6,CN,11.5529995,0.6059753
5H6,11.03,6,CN,11.820999,0.6182624
2C6,14.03,6,CN,11.039,0.2699451
2Q0,3.21,6,CN,9.807,-0.3921669
3T5,5.12,6,CN,9.066,-1.0655835
98V,16.03,6,CN,10.589999,-0.11622371
43N,17.0,6,CN,9.613001,-0.48765245
6O7,6.03,6,CN,8.908,-1.0767016
8I6,9.9,6,CN,7.371,-2.1753552
1G8,7.88,6,CN,10.636,0.03008783
7M4,8.15,6,CN,10.698,-0.026248526
2T6,5.18,6,CN,13.417999,1.6389195
4S3,3.18,6,CN,11.293001,0.44716433
77V,16.15,6,CN,14.725,2.4636996
3E4,11.99,6,CN,15.485001,3.4428666
8B3,13.09,6,CN,12.382,1.1517831
5H6,11.03,6,CN,8.477,-1.3002179
6L4,8.2,6,CN,11.709,0.9874611
1V8,4.31,6,CN,12.437999,1.395513
1T9,4.11,6,CN,13.635,1.9441786
8I6,9.9,6,CN,14.44,2.534901
3D1,13.11,6,CN,7.8669996,-1.8410872
1G8,7.88,6,CN,13.245999,1.62637
74K,20.81,6,CN,11.764,0.86105293
74K,20.81,6,CN,15.405001,2.9053168
1P5,6.21,6,CN,10.367001,-0.21022427
74K,20.81,6,CN,11.45,0.6777232
6O7,6.03,6,CN,10.719,0.120477244
2S2,6.31,6,CN,12.657,1.4154406
3K1,9.01,6,CN,8.137,-1.7626711
3K1,9.01,6,CN,8.827,-1.4439299
8H2,10.13,6,CN,12.490999,1.5286878
2F2,11.04,6,CN,11.827,0.7273584
8B3,13.09,6,CN,6.568,-3.155325
42T,15.96,6,CN,11.825999,0.74698526
5H6,11.03,6,CN,11.191999,0.41564295
6L4,8.2,6,CN,8.482,-1.353955
2I1,10.27,6,CN,11.323,0.5229421
1L1,8.17,6,CN,9.504999,-0.7280895
0G3,9.1,6,CN,12.6449995,1.5700209
6O7,6.03,6,CN,8.7039995,-1.3408769
6O7,6.03,6,CN,10.555,-0.031057846
2C6,14.03,6,CN,12.274,1.0874507
8B3,13.09,6,CN,10.552,-0.2476595
