animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2T2,4.09,8,mdTN,13.784999,1.5119352
98V,16.03,8,mdTN,11.075,-0.13839114
43N,17.0,8,mdTN,12.8289995,1.1278086
1G8,7.88,8,mdTN,13.861,1.3187572
91O,15.86,8,mdTN,11.678999,0.070908606
97R,17.93,8,mdTN,8.562,-2.0864868
74K,20.81,8,mdTN,9.969,-1.0882523
4S3,3.18,8,mdTN,14.070999,1.5648583
98V,16.03,8,mdTN,12.417999,0.50090903
97R,17.93,8,mdTN,12.605,0.7268628
7M4,8.15,8,mdTN,11.022,-0.3636116
43N,17.0,8,mdTN,11.129,-0.19764405
56R,14.95,8,mdTN,12.147,0.4778567
8H2,10.13,8,mdTN,11.341,0.0076996037
8C9,12.12,8,mdTN,14.188998,1.8808692
3R7,3.32,8,mdTN,12.141001,0.49151716
97R,17.93,8,mdTN,10.68,-0.449392
2T2,4.09,8,mdTN,12.302,0.43762946
1L1,8.17,8,mdTN,10.768,-0.48134786
1G8,7.88,8,mdTN,12.532001,0.5917189
82V,16.01,8,mdTN,13.047999,0.8411226
50P,15.59,8,mdTN,12.43,0.64691055
97R,17.93,8,mdTN,10.68,-0.46628225
97R,17.93,8,mdTN,9.918001,-0.9194281
55R,14.97,8,mdTN,12.21,0.46837845
50P,15.59,8,mdTN,11.064,-0.27388784
74K,20.81,8,mdTN,11.847,0.27090698
37V,15.07,8,mdTN,12.828,0.9421448
97R,17.93,8,mdTN,11.501001,-0.0038645084
3E4,11.99,8,mdTN,11.080999,-0.35061142
2S2,6.31,8,mdTN,12.228,0.45591614
3D1,13.11,8,mdTN,11.943,0.18049754
82V,16.01,8,mdTN,11.559,-0.080187134
8B3,13.09,8,mdTN,9.700999,-1.3717072
97R,17.93,8,mdTN,11.223001,-0.24351396
97R,17.93,8,mdTN,10.68,-0.51783025
97R,17.93,8,mdTN,12.3949995,0.5009579
8B3,13.09,8,mdTN,9.78,-1.200348
1P5,6.21,8,mdTN,12.7439995,0.8176014
56R,14.95,8,mdTN,13.364,1.21015
77V,16.15,8,mdTN,12.592,0.6966912
74K,20.81,8,mdTN,11.431999,-0.10544664
3K1,9.01,8,mdTN,13.4019985,1.3972403
2T2,4.09,8,mdTN,9.955999,-1.0551778
4Q6,3.22,8,mdTN,13.535001,1.3351284
2T2,4.09,8,mdTN,12.5060005,0.59884155
56R,14.95,8,mdTN,10.285,-0.89909565
56R,14.95,8,mdTN,10.908,-0.45949903
2T2,4.09,8,mdTN,10.238001,-0.7698488
8H2,10.13,8,mdTN,13.924001,1.6827699
2T2,4.09,8,mdTN,13.786,1.4248339
3K1,9.01,8,mdTN,12.314,0.4555161
82V,16.01,8,mdTN,11.036,-0.30204022
8H2,10.13,8,mdTN,12.82,0.89356804
8H2,10.13,8,mdTN,11.456,-0.04852418
3E4,11.99,8,mdTN,13.502001,1.4164704
74K,20.81,8,mdTN,12.816999,0.7308723
2T2,4.09,8,mdTN,9.5,-1.5537287
2T2,4.09,8,mdTN,11.918,0.21920228
37V,15.07,8,mdTN,15.012999,2.2816486
97R,17.93,8,mdTN,10.725,-0.64406294
2T2,4.09,8,mdTN,14.24,1.490718
37V,15.07,8,mdTN,11.043001,-0.3506762
56R,14.95,8,mdTN,9.925,-1.0320969
2C6,14.03,8,mdTN,11.5720005,-0.07851923
2T2,4.09,8,mdTN,12.109,0.27795967
8B3,13.09,8,mdTN,11.525999,0.011240849
2C6,14.03,8,mdTN,11.573,-0.0013174922
4J6,7.15,8,mdTN,7.625,-2.2793336
56R,14.95,8,mdTN,9.0130005,-1.5960197
2I1,10.27,8,mdTN,10.714999,-0.54748905
2T2,4.09,8,mdTN,14.24,1.6087897
1L1,8.17,8,mdTN,14.114,1.6548637
37V,15.07,8,mdTN,10.847,-0.39236686
4Q6,3.22,8,mdTN,11.935999,0.2766056
2C6,14.03,8,mdTN,11.294,-0.25580812
43N,17.0,8,mdTN,10.838999,-0.62822217
98V,16.03,8,mdTN,12.102,0.3472154
41N,16.74,8,mdTN,10.059,-1.069703
2C6,14.03,8,mdTN,11.628,0.05673043
97R,17.93,8,mdTN,11.424001,-0.2446854
43N,17.0,8,mdTN,9.893001,-0.8881389
4S3,3.18,8,mdTN,14.100001,1.8879575
55R,14.97,8,mdTN,10.927,-0.41573602
2V1,4.3,8,mdTN,13.93,1.8040199
97R,17.93,8,mdTN,10.765001,-0.47226754
3D1,13.11,8,mdTN,10.696001,-0.6276441
3T5,5.12,8,mdTN,10.064,-1.0542324
42T,15.96,8,mdTN,10.764,-0.4236807
5R4,6.25,8,mdTN,10.374,-0.5839403
2T6,5.18,8,mdTN,11.873999,0.26940268
8C9,12.12,8,mdTN,12.223001,0.50072217
6O7,6.03,8,mdTN,11.738999,0.16763304
8I6,9.9,8,mdTN,8.835,-1.4905727
1V8,4.31,8,mdTN,10.589,-0.4923867
82V,16.01,8,mdTN,9.483,-1.370037
0G3,9.1,8,mdTN,10.191999,-0.6117126
8H2,10.13,8,mdTN,11.014999,-0.31520465
6O7,6.03,8,mdTN,10.792001,-0.23880595
50P,15.59,8,mdTN,11.362,0.0032132985
3E4,11.99,8,mdTN,10.584,-0.502723
97R,17.93,8,mdTN,13.191999,0.9738228
2Q0,3.21,8,mdTN,12.082,0.42703074
43N,17.0,8,mdTN,10.900999,-0.2457853
8H2,10.13,8,mdTN,12.8029995,0.6879323
2S2,6.31,8,mdTN,9.751,-1.0114374
0G3,9.1,8,mdTN,12.501001,0.52803814
1T9,4.11,8,mdTN,13.309999,1.2301133
56R,14.95,8,mdTN,11.777,0.12610888
2F2,11.04,8,mdTN,13.139999,1.1093568
77V,16.15,8,mdTN,8.221999,-1.9977345
41N,16.74,8,mdTN,12.07,0.30467632
2C6,14.03,8,mdTN,9.623,-0.92211133
77V,16.15,8,mdTN,9.286,-1.4107383
2T2,4.09,8,mdTN,9.780001,-1.2003474
8M0,8.12,8,mdTN,13.128,1.0039084
97R,17.93,8,mdTN,11.328,-0.25457224
2I1,10.27,8,mdTN,11.035,-0.4314892
3K1,9.01,8,mdTN,10.191999,-0.92832065
37V,15.07,8,mdTN,10.835,-0.46276322
77V,16.15,8,mdTN,9.733999,-0.9902652
3E4,11.99,8,mdTN,10.423,-0.604514
41N,16.74,8,mdTN,10.534,-0.5764908
74K,20.81,8,mdTN,10.561999,-0.50441706
4J6,7.15,8,mdTN,12.486,0.7565494
3E4,11.99,8,mdTN,11.0,-0.10126789
2F2,11.04,8,mdTN,10.138999,-0.92548835
6O7,6.03,8,mdTN,9.6970005,-0.8960092
6D9,13.11,8,mdTN,12.081999,0.27639768
1P5,6.21,8,mdTN,10.595999,-0.47685492
1P5,6.21,8,mdTN,12.728,0.8142239
77V,16.15,8,mdTN,11.259001,-0.0959256
2T2,4.09,8,mdTN,11.486,-0.043503333
3K1,9.01,8,mdTN,9.919001,-0.8628752
46Z,13.97,8,mdTN,13.516001,1.1276567
7M4,8.15,8,mdTN,12.162001,0.3194405
5R4,6.25,8,mdTN,9.207001,-1.2231957
1V8,4.31,8,mdTN,9.556,-1.2683816
55R,14.97,8,mdTN,13.169001,1.1714277
97R,17.93,8,mdTN,11.224001,-0.35030115
82V,16.01,8,mdTN,10.097,-0.79263586
2C6,14.03,8,mdTN,8.723,-1.7508157
3E4,11.99,8,mdTN,9.193,-1.2778997
0G3,9.1,8,mdTN,12.414999,0.5197549
6L4,8.2,8,mdTN,9.275,-1.2188958
77V,16.15,8,mdTN,9.315001,-1.1870422
74K,20.81,8,mdTN,12.438,0.661776
74K,20.81,8,mdTN,9.158999,-1.4858857
0B9,12.11,8,mdTN,9.867999,-0.99846834
2C6,14.03,8,mdTN,10.316,-0.76209545
1T9,4.11,8,mdTN,13.6380005,1.3903037
7M4,8.15,8,mdTN,13.851,1.5735787
2F2,11.04,8,mdTN,10.145,-0.9518913
2I1,10.27,8,mdTN,11.858,0.27385095
1T9,4.11,8,mdTN,12.239,0.38115805
4S3,3.18,8,mdTN,8.686,-1.5993736
3K1,9.01,8,mdTN,13.318001,1.0944519
98V,16.03,8,mdTN,10.299,-0.84883183
5R4,6.25,8,mdTN,12.455999,0.5480698
41N,16.74,8,mdTN,11.979,0.24094525
6O7,6.03,8,mdTN,9.953,-1.0432203
56R,14.95,8,mdTN,9.999999,-1.0471573
1G8,7.88,8,mdTN,9.612,-1.169344
0G3,9.1,8,mdTN,8.755,-1.6408557
3E4,11.99,8,mdTN,12.475,0.5243839
3E4,11.99,8,mdTN,12.344,0.57009757
2T2,4.09,8,mdTN,12.923001,0.78421694
77V,16.15,8,mdTN,10.452,-0.7133464
7F0,11.2,8,mdTN,10.625999,-0.635137
1P5,6.21,8,mdTN,9.604,-0.9628252
8I6,9.9,8,mdTN,11.509,-0.074734636
74K,20.81,8,mdTN,11.559999,-0.0027159706
2I1,10.27,8,mdTN,12.282001,0.56680906
7M4,8.15,8,mdTN,11.989,0.27235892
2F2,11.04,8,mdTN,8.005,-1.8624747
2F2,11.04,8,mdTN,12.712,0.5639239
77V,16.15,8,mdTN,9.633,-1.0628797
0G3,9.1,8,mdTN,10.517,-0.47307357
5R4,6.25,8,mdTN,10.853,-0.08700446
2T6,5.18,8,mdTN,12.102,0.4335493
4Q6,3.22,8,mdTN,12.24,0.40599838
2T6,5.18,8,mdTN,12.836,0.8990745
0G3,9.1,8,mdTN,12.425,0.5289116
2T2,4.09,8,mdTN,13.603999,1.3017886
