animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8M0,8.12,10,NAc,6.957,-2.1051035
2F2,11.04,10,NAc,12.287,1.1432338
1P5,6.21,10,NAc,8.608,-1.0475857
2T2,4.09,10,NAc,13.239,1.7794034
77V,16.15,10,NAc,11.156,0.4201264
55R,14.97,10,NAc,9.196,-0.89038223
43N,17.0,10,NAc,10.186,-0.12782156
8M0,8.12,10,NAc,10.019,-0.02561632
97R,17.93,10,NAc,11.275,0.50630015
2I1,10.27,10,NAc,11.854,0.6423777
43N,17.0,10,NAc,10.1449995,-0.281682
0B9,12.11,10,NAc,12.155001,1.2304035
2Q0,3.21,10,NAc,9.287,-0.80810755
2I1,10.27,10,NAc,11.140001,0.40432054
42T,15.96,10,NAc,11.973,0.8698679
46Z,13.97,10,NAc,11.165001,0.4166881
2C6,14.03,10,NAc,7.8759995,-1.5495902
2C6,14.03,10,NAc,13.794001,1.9097027
2T6,5.18,10,NAc,8.306,-1.4025966
6L4,8.2,10,NAc,12.14,1.1027606
74K,20.81,10,NAc,12.586,1.5350546
74K,20.81,10,NAc,12.417,1.3251046
43N,17.0,10,NAc,14.205999,1.9812933
7F0,11.2,10,NAc,11.265,0.48590225
8I6,9.9,10,NAc,9.711,-0.77025425
3K1,9.01,10,NAc,11.558,0.7987259
97R,17.93,10,NAc,11.953,1.1822791
77V,16.15,10,NAc,11.957999,0.90406233
5H6,11.03,10,NAc,8.664,-1.0950991
2V1,4.3,10,NAc,12.722,1.5182552
0G3,9.1,10,NAc,10.187,-0.1959043
3T5,5.12,10,NAc,10.807001,0.14370663
7M4,8.15,10,NAc,13.517,1.5292768
0B9,12.11,10,NAc,11.2699995,0.6642789
2I1,10.27,10,NAc,11.555,0.7792408
3E4,11.99,10,NAc,7.2439995,-1.9110326
1L1,8.17,10,NAc,5.7320004,-2.9301562
6O7,6.03,10,NAc,7.1980004,-2.0180671
7F0,11.2,10,NAc,9.325999,-0.5082514
4Q6,3.22,10,NAc,11.677,0.59910655
50P,15.59,10,NAc,10.512,0.12594545
8I6,9.9,10,NAc,12.844999,1.6648722
37V,15.07,10,NAc,12.805,1.4340596
4J6,7.15,10,NAc,10.320001,-0.047983296
97R,17.93,10,NAc,11.838,0.8308921
2I1,10.27,10,NAc,10.6,0.1081583
3R7,3.32,10,NAc,8.389999,-1.2103823
98V,16.03,10,NAc,13.242999,1.8251774
4J6,7.15,10,NAc,11.719,1.0025867
2V1,4.3,10,NAc,11.483001,0.67362654
3D1,13.11,10,NAc,9.209999,-0.7269118
2I1,10.27,10,NAc,13.469999,1.8504798
1P5,6.21,10,NAc,14.6380005,2.3308105
8I6,9.9,10,NAc,8.7630005,-0.9932589
56R,14.95,10,NAc,11.357,0.46837005
98V,16.03,10,NAc,10.983,0.49063674
7M4,8.15,10,NAc,13.190001,1.5467051
8I6,9.9,10,NAc,8.836,-0.99580383
2T2,4.09,10,NAc,9.478999,-0.7819
