animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8M0,8.12,12,CN,11.481,0.5670576
3K1,9.01,12,CN,7.7599998,-1.6209402
1G8,7.88,12,CN,8.011001,-1.5192617
1G8,7.88,12,CN,13.628,1.8171687
8B3,13.09,12,CN,9.401999,-0.84515667
2T6,5.18,12,CN,11.891001,1.0727012
46Z,13.97,12,CN,11.167,0.3499645
4J6,7.15,12,CN,8.34,-1.5567758
6L4,8.2,12,CN,10.772,0.2978085
1L1,8.17,12,CN,9.593,-0.7314494
77V,16.15,12,CN,13.379001,1.8227124
82V,16.01,12,CN,11.464,0.6433715
56K,19.93,12,CN,12.449999,1.3685274
43N,17.0,12,CN,8.605,-1.2159765
43N,17.0,12,CN,9.834,-0.5974673
8C9,12.12,12,CN,9.375,-0.7710506
1T9,4.11,12,CN,9.543,-0.4714349
2S6,3.17,12,CN,11.092001,0.47385648
4J6,7.15,12,CN,11.018999,0.15354578
5H6,11.03,12,CN,12.842,1.3208028
41N,16.74,12,CN,10.149,-0.24960215
1L1,8.17,12,CN,11.247999,0.5924931
74K,20.81,12,CN,13.409999,1.7569019
82V,16.01,12,CN,11.195,0.2278482
1P5,6.21,12,CN,11.945,0.9739961
8I6,9.9,12,CN,9.569,-0.50315243
8I6,9.9,12,CN,11.567999,0.9321497
2Q0,3.21,12,CN,9.042999,-0.79468316
37V,15.07,12,CN,11.551001,0.6191713
3K1,9.01,12,CN,11.05,0.39129484
3D1,13.11,12,CN,12.864,1.4606153
3T5,5.12,12,CN,8.813999,-0.8459133
1G8,7.88,12,CN,11.158,0.1930082
1G8,7.88,12,CN,7.537001,-1.9913057
50P,15.59,12,CN,13.089999,1.6340153
7M4,8.15,12,CN,8.408999,-1.2078052
97R,17.93,12,CN,9.1779995,-0.8946273
8B3,13.09,12,CN,10.663,-0.0130291125
2T6,5.18,12,CN,10.830999,0.14202912
5H6,11.03,12,CN,10.9730015,0.34080783
6L4,8.2,12,CN,12.216001,1.2152578
41N,16.74,12,CN,11.214,0.52658224
1L1,8.17,12,CN,9.847,-0.44551516
77V,16.15,12,CN,10.790999,0.07100928
82V,16.01,12,CN,14.234999,2.5106773
82V,16.01,12,CN,14.393001,2.5398812
82V,16.01,12,CN,10.945,0.20909432
43N,17.0,12,CN,10.879999,0.21547905
1T9,4.11,12,CN,7.1299996,-2.0862792
3E4,11.99,12,CN,9.945,-0.2908572
8I6,9.9,12,CN,12.312,1.2974294
2Q0,3.21,12,CN,7.935,-1.6080524
2S2,6.31,12,CN,8.436,-1.3470421
55R,14.97,12,CN,10.636,0.0428962
55R,14.97,12,CN,8.193,-1.8112445
3T5,5.12,12,CN,10.48,-0.031440098
7M4,8.15,12,CN,11.509001,0.7171332
8B3,13.09,12,CN,9.7890005,-0.4250408
42T,15.96,12,CN,11.864,0.66924876
2T6,5.18,12,CN,9.495,-0.68189865
4J6,7.15,12,CN,13.55,2.146921
5H6,11.03,12,CN,11.509,0.72644496
6L4,8.2,12,CN,11.252999,0.6923981
77V,16.15,12,CN,10.184999,-0.17830928
77V,16.15,12,CN,7.6870003,-1.9555026
0G3,9.1,12,CN,10.684,0.26976922
74K,20.81,12,CN,9.877001,-0.38886416
82V,16.01,12,CN,12.997999,1.6497681
56K,19.93,12,CN,11.568,0.62681216
43N,17.0,12,CN,10.825999,0.21638584
8C9,12.12,12,CN,9.471999,-0.70128524
1P5,6.21,12,CN,10.035,-0.28050473
6D9,13.11,12,CN,10.387,-0.37134537
8M0,8.12,12,CN,10.683,0.021494176
3K1,9.01,12,CN,12.927,1.4617795
55R,14.97,12,CN,11.582999,0.693551
55R,14.97,12,CN,13.640001,2.2173202
55R,14.97,12,CN,10.535,0.047980845
5R4,6.25,12,CN,9.585001,-0.80490136
7M4,8.15,12,CN,14.188001,2.3204207
7M4,8.15,12,CN,11.839,0.76487756
97R,17.93,12,CN,10.193001,-0.16427706
8B3,13.09,12,CN,7.8700004,-1.9536134
42T,15.96,12,CN,10.648,0.086368494
42T,15.96,12,CN,10.8550005,0.23912898
5H6,11.03,12,CN,10.159999,-0.28805518
2I1,10.27,12,CN,11.337,0.40221673
1V8,4.31,12,CN,9.153,-0.7572332
0G3,9.1,12,CN,9.631,-0.69151366
8C9,12.12,12,CN,10.792,0.17601974
2S2,6.31,12,CN,8.349,-1.5785015
3K1,9.01,12,CN,10.67,0.11462525
55R,14.97,12,CN,9.427,-0.72977024
55R,14.97,12,CN,12.663,1.48184
8H2,10.13,12,CN,7.05,-2.5158923
98V,16.03,12,CN,13.1710005,1.4427872
2F2,11.04,12,CN,11.723001,0.9367618
7M4,8.15,12,CN,10.851,0.19772598
7M4,8.15,12,CN,11.088999,0.30819625
4S3,3.18,12,CN,12.214,1.2653649
4S3,3.18,12,CN,13.294001,1.9540782
4S3,3.18,12,CN,11.071,0.29886508
4Q6,3.22,12,CN,8.57,-1.2719648
6L4,8.2,12,CN,7.1169996,-2.2782302
2I1,10.27,12,CN,7.9620004,-1.767929
1V8,4.31,12,CN,10.8029995,0.15387203
2V1,4.3,12,CN,8.434999,-1.2737441
0G3,9.1,12,CN,11.601999,0.6123863
82V,16.01,12,CN,14.450999,2.5754163
43N,17.0,12,CN,13.242,1.9148241
8C9,12.12,12,CN,10.341001,-0.067327075
6O7,6.03,12,CN,7.696,-2.029659
8I6,9.9,12,CN,10.458,-0.020781104
2S6,3.17,12,CN,12.958,1.5360979
3D1,13.11,12,CN,11.239,0.32594886
3D1,13.11,12,CN,10.302,-0.21069519
3D1,13.11,12,CN,11.547998,0.7701336
3T5,5.12,12,CN,11.377001,0.6282607
1G8,7.88,12,CN,9.41,-0.6495291
50P,15.59,12,CN,11.512,0.5473603
46Z,13.97,12,CN,11.469,0.65972114
4Q6,3.22,12,CN,9.792,-0.56306285
6L4,8.2,12,CN,9.762,-0.5371275
2I1,10.27,12,CN,7.5339994,-1.7663133
