animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3R7,3.32,12,HIP,9.2,-0.13484684
3R7,3.32,12,HIP,8.509999,-0.5093383
3R7,3.32,12,HIP,8.64,-0.45587397
37V,15.07,12,HIP,10.267,0.7413832
2S2,6.31,12,HIP,7.1229997,-1.6710969
2S2,6.31,12,HIP,7.167,-1.5059667
3T5,5.12,12,HIP,8.212999,-0.83783734
1G8,7.88,12,HIP,9.045,-0.20062073
5R4,6.25,12,HIP,12.689,2.007557
50P,15.59,12,HIP,14.478,3.2031476
7M4,8.15,12,HIP,11.198,1.1030369
97R,17.93,12,HIP,13.934,2.7182827
46Z,13.97,12,HIP,11.051,0.9401046
46Z,13.97,12,HIP,10.454,0.67090344
4Q6,3.22,12,HIP,7.199,-1.4896803
4Q6,3.22,12,HIP,7.767999,-1.1596438
4Q6,3.22,12,HIP,7.525,-1.2314386
4J6,7.15,12,HIP,9.396,-0.107350826
2I1,10.27,12,HIP,6.7590003,-1.8160038
7F0,11.2,12,HIP,6.3669996,-2.1164174
74K,20.81,12,HIP,11.039,0.9761809
56K,19.93,12,HIP,10.239,0.47585222
56K,19.93,12,HIP,13.211,2.361348
56K,19.93,12,HIP,9.926,0.50920945
8C9,12.12,12,HIP,8.151,-0.7426862
3E4,11.99,12,HIP,11.922,1.863284
3E4,11.99,12,HIP,5.511,-2.8203523
1P5,6.21,12,HIP,5.896,-2.4700108
8I6,9.9,12,HIP,7.514001,-1.4368167
4S3,3.18,12,HIP,8.389,-0.5631336
6D9,13.11,12,HIP,9.393999,0.00023815226
8M0,8.12,12,HIP,10.172,0.5877019
2S2,6.31,12,HIP,7.325,-1.3886606
3D1,13.11,12,HIP,9.944,0.43953472
3T5,5.12,12,HIP,10.022,0.5009619
3T5,5.12,12,HIP,8.997,-0.21567638
5R4,6.25,12,HIP,7.6130004,-1.2052766
2F2,11.04,12,HIP,6.8989997,-1.8222655
2F2,11.04,12,HIP,10.908,0.8987429
50P,15.59,12,HIP,9.164,0.016543213
50P,15.59,12,HIP,7.6029997,-1.236433
31S,17.0,12,HIP,9.569,0.119367994
46Z,13.97,12,HIP,7.4449997,-1.0896688
4Q6,3.22,12,HIP,8.889,-0.29110792
4Q6,3.22,12,HIP,6.7840004,-1.6853956
2T2,4.09,12,HIP,11.043,0.9265476
2T2,4.09,12,HIP,7.2949996,-1.1933445
1V8,4.31,12,HIP,7.7839994,-1.0180504
0G3,9.1,12,HIP,9.805,0.12445207
0G3,9.1,12,HIP,8.031,-0.8706598
