animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2S2,6.31,12,IPP,11.746,0.7097698
8B3,13.09,12,IPP,11.853999,1.0231906
42T,15.96,12,IPP,12.74,1.4023619
42T,15.96,12,IPP,6.209,-2.9588552
42T,15.96,12,IPP,11.246,0.47831374
2T6,5.18,12,IPP,10.926001,0.22255304
31S,17.0,12,IPP,12.731,1.3755819
31S,17.0,12,IPP,9.375001,-0.7832175
6L4,8.2,12,IPP,10.276,-0.07094533
41N,16.74,12,IPP,11.750001,0.6865672
4S3,3.18,12,IPP,7.296,-2.2849355
2V1,4.3,12,IPP,10.869,0.15445437
77V,16.15,12,IPP,12.8289995,1.3739465
77V,16.15,12,IPP,13.249001,1.9096379
2C0,11.0,12,IPP,13.316,1.697201
7F0,11.2,12,IPP,11.552,0.6222253
7F0,11.2,12,IPP,11.323999,0.5236749
82V,16.01,12,IPP,11.37,0.6129913
3E4,11.99,12,IPP,14.025999,2.1176887
3E4,11.99,12,IPP,14.393999,2.0842268
8I6,9.9,12,IPP,10.794001,0.102863856
8I6,9.9,12,IPP,8.957998,-1.2068522
8I6,9.9,12,IPP,11.396,0.40017775
8I6,9.9,12,IPP,8.738,-1.1429505
2Q0,3.21,12,IPP,11.281,0.48293272
2Q0,3.21,12,IPP,4.505,-3.8478484
1G8,7.88,12,IPP,12.705999,1.5118806
5R4,6.25,12,IPP,4.4830003,-3.9023652
2T2,4.09,12,IPP,9.816,-0.42731166
8B3,13.09,12,IPP,7.0410004,-2.2468011
42T,15.96,12,IPP,13.832001,2.153695
31S,17.0,12,IPP,15.853,3.3919716
31S,17.0,12,IPP,15.119,3.3526545
91O,15.86,12,IPP,10.861,0.16585343
4Q6,3.22,12,IPP,5.5490003,-3.0266745
4J6,7.15,12,IPP,11.059,0.47490087
4J6,7.15,12,IPP,15.453,3.0760224
6L4,8.2,12,IPP,9.3359995,-0.746216
41N,16.74,12,IPP,12.422999,0.8483632
2I1,10.27,12,IPP,13.147,1.5592194
1V8,4.31,12,IPP,9.9210005,-0.51796144
2V1,4.3,12,IPP,6.9660006,-2.2288902
77V,16.15,12,IPP,11.397,0.51991975
2C0,11.0,12,IPP,13.386,1.9403363
7F0,11.2,12,IPP,13.144,1.5248585
0G3,9.1,12,IPP,11.739,0.6784856
74K,20.81,12,IPP,14.657,2.4035115
82V,16.01,12,IPP,7.025,-1.9671998
6O7,6.03,12,IPP,14.31,2.9355729
2C6,14.03,12,IPP,12.601,1.3016504
2C6,14.03,12,IPP,12.007001,0.87183106
3E4,11.99,12,IPP,7.224,-2.1849532
1P5,6.21,12,IPP,5.6639996,-3.456376
1P5,6.21,12,IPP,7.6200004,-2.050282
8I6,9.9,12,IPP,12.546999,1.3106915
8I6,9.9,12,IPP,13.278999,1.7382945
8I6,9.9,12,IPP,11.933001,1.1079996
8I6,9.9,12,IPP,10.613001,0.041520745
8I6,9.9,12,IPP,10.3029995,0.0023837402
8I6,9.9,12,IPP,6.621,-2.268984
2Q0,3.21,12,IPP,7.5589995,-1.9367279
2Q0,3.21,12,IPP,6.6629996,-2.2450829
2S6,3.17,12,IPP,7.903001,-1.7215719
1L1,8.17,12,IPP,8.289,-1.321084
3K1,9.01,12,IPP,14.009,2.286603
8B3,13.09,12,IPP,8.663,-1.0287837
42T,15.96,12,IPP,11.635,0.85053694
31S,17.0,12,IPP,9.200999,-0.9913076
91O,15.86,12,IPP,9.2960005,-0.6509602
91O,15.86,12,IPP,7.958,-1.7299803
4J6,7.15,12,IPP,12.025,1.0649788
4J6,7.15,12,IPP,6.715,-2.1521096
6L4,8.2,12,IPP,4.7060003,-3.7576926
2I1,10.27,12,IPP,7.5670004,-2.2373512
2I1,10.27,12,IPP,8.51,-1.3442012
1V8,4.31,12,IPP,9.259,-0.73354936
1V8,4.31,12,IPP,10.365,-0.05496322
2V1,4.3,12,IPP,5.389,-3.3814743
77V,16.15,12,IPP,9.359999,-0.65523887
2C0,11.0,12,IPP,12.452,1.1769246
2C0,11.0,12,IPP,7.718,-1.7194602
7F0,11.2,12,IPP,9.76,-0.39300555
0G3,9.1,12,IPP,13.331999,1.730857
74K,20.81,12,IPP,12.282999,1.0110258
74K,20.81,12,IPP,13.666,1.9875243
74K,20.81,12,IPP,10.471999,0.0937379
82V,16.01,12,IPP,8.252001,-1.3656229
56K,19.93,12,IPP,5.3710003,-3.3483582
56K,19.93,12,IPP,14.964999,2.440883
8C9,12.12,12,IPP,9.853001,-0.36894462
6O7,6.03,12,IPP,9.386,-0.68116164
2C6,14.03,12,IPP,8.443999,-1.3743674
2C6,14.03,12,IPP,12.148,1.2111332
1P5,6.21,12,IPP,10.147001,-0.34211385
1P5,6.21,12,IPP,11.518999,0.5232531
1P5,6.21,12,IPP,10.2,-0.19788031
8I6,9.9,12,IPP,9.692,-0.671033
2Q0,3.21,12,IPP,9.716,-0.6498322
2S6,3.17,12,IPP,5.8749995,-2.906861
37V,15.07,12,IPP,12.386,1.215212
2F2,11.04,12,IPP,11.647,0.6669192
8B3,13.09,12,IPP,11.628,0.8502994
42T,15.96,12,IPP,10.992,0.43581143
2T6,5.18,12,IPP,11.063,0.38957825
31S,17.0,12,IPP,12.228,1.2896641
91O,15.86,12,IPP,12.794001,1.383569
91O,15.86,12,IPP,15.088,3.1076748
91O,15.86,12,IPP,11.676001,0.65484685
46Z,13.97,12,IPP,11.542999,0.6167175
4J6,7.15,12,IPP,10.61,0.04635545
6L4,8.2,12,IPP,11.513,0.7333216
41N,16.74,12,IPP,12.761,1.6990966
41N,16.74,12,IPP,12.641,1.4778738
4S3,3.18,12,IPP,6.753,-2.1057138
4S3,3.18,12,IPP,11.886,1.0588604
1V8,4.31,12,IPP,9.187,-0.7614744
1V8,4.31,12,IPP,7.412,-1.8866638
