animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3R7,3.32,12,MB,11.275,0.9890597
3R7,3.32,12,MB,8.292,-1.1300298
3R7,3.32,12,MB,9.378,-0.2735763
2S2,6.31,12,MB,9.754999,-0.0035438766
2S2,6.31,12,MB,5.698,-2.671733
55R,14.97,12,MB,10.984,0.64354247
3T5,5.12,12,MB,8.789999,-0.6153468
5R4,6.25,12,MB,10.441999,0.5752131
98V,16.03,12,MB,12.094999,1.6724513
50P,15.59,12,MB,8.344,-0.9580422
50P,15.59,12,MB,8.052,-1.0662135
7M4,8.15,12,MB,9.118001,-0.381193
8B3,13.09,12,MB,11.146,0.8707448
42T,15.96,12,MB,9.357,-0.34407955
43N,17.0,12,MB,13.027,2.2040336
43N,17.0,12,MB,8.964001,-0.5866311
43N,17.0,12,MB,12.433001,1.8488547
0B9,12.11,12,MB,8.309999,-0.9526447
0B9,12.11,12,MB,9.190001,-0.33651018
8C9,12.12,12,MB,10.132999,0.346169
1T9,4.11,12,MB,6.9309998,-1.8667815
7M4,8.15,12,MB,7.7070007,-1.411688
6D9,13.11,12,MB,12.712,1.8666471
6D9,13.11,12,MB,11.067999,0.87707347
3R7,3.32,12,MB,9.877,0.07776659
2S2,6.31,12,MB,8.314,-0.9899585
56R,14.95,12,MB,10.114,0.17740175
56R,14.95,12,MB,10.759,0.6434274
55R,14.97,12,MB,14.884,3.290138
1G8,7.88,12,MB,15.601,4.9345236
50P,15.59,12,MB,9.533,-0.39907882
97R,17.93,12,MB,6.926,-1.9820901
97R,17.93,12,MB,13.133,2.2198167
97R,17.93,12,MB,9.968,0.02953522
8B3,13.09,12,MB,9.141001,-0.48000467
91O,15.86,12,MB,9.994,0.122099
5H6,11.03,12,MB,10.281,0.3941974
5H6,11.03,12,MB,12.928999,1.9275128
0B9,12.11,12,MB,9.878,0.14110993
1P5,6.21,12,MB,9.573,-0.043419786
1V8,4.31,12,MB,9.251,-0.17265432
2V1,4.3,12,MB,8.187,-1.1518731
56K,19.93,12,MB,13.542,2.6706293
56K,19.93,12,MB,12.261,1.5954146
0B9,12.11,12,MB,11.767,1.0366125
1T9,4.11,12,MB,8.199,-1.0141027
6O7,6.03,12,MB,6.660001,-1.9609898
2Q0,3.21,12,MB,12.243,1.6633236
2Q0,3.21,12,MB,12.364,1.8493441
2Q0,3.21,12,MB,8.686,-0.68911576
4S3,3.18,12,MB,10.911,0.6161667
4S3,3.18,12,MB,9.63,-0.1153849
4J6,7.15,12,MB,8.365999,-0.87440634
3R7,3.32,12,MB,13.026001,2.029186
37V,15.07,12,MB,8.136,-1.0949092
8M0,8.12,12,MB,10.115,-0.0017159695
56R,14.95,12,MB,12.059999,1.4866953
56R,14.95,12,MB,8.606,-0.67208964
5R4,6.25,12,MB,10.642,0.6554489
98V,16.03,12,MB,8.997,-0.308316
98V,16.03,12,MB,11.407999,0.87187797
50P,15.59,12,MB,11.431,1.0632572
2T6,5.18,12,MB,10.07,0.10090981
5H6,11.03,12,MB,11.250999,0.94462246
43N,17.0,12,MB,13.491,2.3885965
6L4,8.2,12,MB,8.761999,-0.65101784
6L4,8.2,12,MB,14.754001,3.2203033
2V1,4.3,12,MB,7.842,-1.1706959
0G3,9.1,12,MB,10.087999,0.26250017
0G3,9.1,12,MB,9.601,-0.1305984
0G3,9.1,12,MB,9.971,0.18690786
82V,16.01,12,MB,12.023001,1.564554
56K,19.93,12,MB,9.028,-0.33989802
56K,19.93,12,MB,12.641,1.7831267
0B9,12.11,12,MB,12.917,1.7767394
0B9,12.11,12,MB,7.5360003,-1.4990393
0B9,12.11,12,MB,9.631999,0.017875759
8C9,12.12,12,MB,6.109,-2.4797702
1P5,6.21,12,MB,9.592999,-0.21772437
2S6,3.17,12,MB,12.075001,1.40063
4S3,3.18,12,MB,9.301001,-0.20168015
56R,14.95,12,MB,10.74,0.49003354
5R4,6.25,12,MB,9.339,-0.50439525
37V,15.07,12,MB,10.765,0.75384384
37V,15.07,12,MB,9.772,0.034754254
2S2,6.31,12,MB,8.737,-0.67080194
2S2,6.31,12,MB,10.450999,0.51515955
2S2,6.31,12,MB,11.469999,1.0978955
55R,14.97,12,MB,8.483999,-0.9050685
55R,14.97,12,MB,8.2109995,-1.2452346
