animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3K1,9.01,12,lCb,6.5239997,-2.1656442
98V,16.03,12,lCb,11.004,0.76926416
7M4,8.15,12,lCb,9.648,-0.18933798
43N,17.0,12,lCb,13.279001,2.045009
2I1,10.27,12,lCb,9.748,-0.06125971
1L1,8.17,12,lCb,11.347,0.8927494
1L1,8.17,12,lCb,9.296,-0.42091066
2V1,4.3,12,lCb,8.675001,-0.67052096
43N,17.0,12,lCb,10.69,0.36064678
2S6,3.17,12,lCb,10.206,0.16494085
4S3,3.18,12,lCb,9.675001,-0.30328116
3T5,5.12,12,lCb,5.98,-2.7649877
6D9,13.11,12,lCb,5.7890005,-2.542901
3R7,3.32,12,lCb,12.258,1.4535971
56R,14.95,12,lCb,11.047,0.84215087
55R,14.97,12,lCb,7.797,-1.5606918
3T5,5.12,12,lCb,8.34,-0.95449036
8B3,13.09,12,lCb,12.457999,1.3566291
5R4,6.25,12,lCb,9.940001,0.078917
2F2,11.04,12,lCb,10.921,0.44665426
5H6,11.03,12,lCb,9.479,-0.23210794
6L4,8.2,12,lCb,6.871,-1.9110373
41N,16.74,12,lCb,11.490999,1.0794021
2S2,6.31,12,lCb,11.96,1.5458863
3D1,13.11,12,lCb,8.474,-0.955184
2F2,11.04,12,lCb,13.524,2.2132182
2F2,11.04,12,lCb,12.406,1.5018494
50P,15.59,12,lCb,11.712,1.0104555
7M4,8.15,12,lCb,6.8219995,-1.94714
97R,17.93,12,lCb,7.724,-1.3463484
8B3,13.09,12,lCb,10.810999,0.5947876
5H6,11.03,12,lCb,9.426001,-0.39124775
6L4,8.2,12,lCb,9.065001,-0.33312222
6L4,8.2,12,lCb,12.62,1.7392746
41N,16.74,12,lCb,9.608999,-0.11489916
1L1,8.17,12,lCb,9.278,-0.43816414
7F0,11.2,12,lCb,10.155001,0.074273504
2C6,14.03,12,lCb,10.377,0.24597155
8I6,9.9,12,lCb,11.573999,1.0222204
4S3,3.18,12,lCb,10.064,0.10456942
4S3,3.18,12,lCb,9.6189995,-0.2799882
3R7,3.32,12,lCb,11.114,1.0483133
3K1,9.01,12,lCb,5.002,-3.3052273
7M4,8.15,12,lCb,7.7409997,-1.291005
97R,17.93,12,lCb,6.8739996,-1.8258876
46Z,13.97,12,lCb,12.586,1.5845572
5H6,11.03,12,lCb,9.931001,-0.086387016
5H6,11.03,12,lCb,11.423001,1.0836445
2C6,14.03,12,lCb,11.427,0.8029973
2S6,3.17,12,lCb,5.375,-2.555418
4S3,3.18,12,lCb,9.6050005,-0.09289714
37V,15.07,12,lCb,10.91,0.5777756
3D1,13.11,12,lCb,13.042999,2.2768807
50P,15.59,12,lCb,11.757,1.2523023
7M4,8.15,12,lCb,10.206,0.32546663
5H6,11.03,12,lCb,7.3369994,-1.4815911
4J6,7.15,12,lCb,9.526,-0.33773226
1L1,8.17,12,lCb,9.912,-0.0145402085
1V8,4.31,12,lCb,9.448,-0.22383149
7F0,11.2,12,lCb,11.137,0.64626956
2S6,3.17,12,lCb,12.951999,2.1514516
3R7,3.32,12,lCb,8.681,-0.69736415
3R7,3.32,12,lCb,8.810999,-0.6607487
37V,15.07,12,lCb,10.644,0.55678844
3K1,9.01,12,lCb,12.067,1.7006012
8B3,13.09,12,lCb,5.114,-3.1037052
31S,17.0,12,lCb,12.632999,1.935888
5H6,11.03,12,lCb,12.370001,1.533459
2I1,10.27,12,lCb,8.088,-1.2754006
2I1,10.27,12,lCb,10.297,0.2931083
4Q6,3.22,12,lCb,9.1970005,-0.585942
5H6,11.03,12,lCb,8.496,-0.777691
4J6,7.15,12,lCb,13.631999,2.4823997
6L4,8.2,12,lCb,10.147,0.36499715
74K,20.81,12,lCb,11.691999,1.1017269
43N,17.0,12,lCb,11.179,0.8040061
