animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6D9,13.11,12,mdTN,14.650999,3.179568
37V,15.07,12,mdTN,9.207,-0.8449431
2S2,6.31,12,mdTN,10.01,-0.16279939
55R,14.97,12,mdTN,9.500001,-0.51084846
55R,14.97,12,mdTN,12.348001,1.1789885
3D1,13.11,12,mdTN,9.422,-0.6808156
3D1,13.11,12,mdTN,11.735001,0.6089932
3T5,5.12,12,mdTN,13.699,2.2543871
3T5,5.12,12,mdTN,10.923,0.15128778
8H2,10.13,12,mdTN,7.1740007,-1.8389114
2T2,4.09,12,mdTN,9.124001,-0.9220044
2T2,4.09,12,mdTN,6.6730003,-2.7077572
98V,16.03,12,mdTN,12.577,1.7313373
50P,15.59,12,mdTN,12.8550005,1.3949908
7M4,8.15,12,mdTN,10.7439995,0.07862863
97R,17.93,12,mdTN,10.427,0.1291392
42T,15.96,12,mdTN,10.773999,0.41007346
2T6,5.18,12,mdTN,9.985,-0.36360505
41N,16.74,12,mdTN,8.089,-1.6774262
41N,16.74,12,mdTN,12.969,1.6713139
1V8,4.31,12,mdTN,5.9919996,-2.6788933
82V,16.01,12,mdTN,13.734001,2.197674
43N,17.0,12,mdTN,9.88,-0.35675165
1T9,4.11,12,mdTN,9.684999,-0.49826202
37V,15.07,12,mdTN,13.968999,2.2271786
3K1,9.01,12,mdTN,14.6119995,2.8436036
3K1,9.01,12,mdTN,9.979001,-0.28137285
55R,14.97,12,mdTN,10.1449995,-0.2548789
3D1,13.11,12,mdTN,12.105,0.92723435
3T5,5.12,12,mdTN,11.825,0.9717989
1G8,7.88,12,mdTN,10.853,0.14810838
8H2,10.13,12,mdTN,10.2300005,-0.20223035
5R4,6.25,12,mdTN,9.348001,-1.0562462
5R4,6.25,12,mdTN,5.2890005,-3.7670043
5R4,6.25,12,mdTN,7.925,-1.7749273
5R4,6.25,12,mdTN,13.606999,2.144599
2T2,4.09,12,mdTN,10.796999,0.091631725
50P,15.59,12,mdTN,9.783,-0.6240334
7M4,8.15,12,mdTN,8.788,-0.9666862
8B3,13.09,12,mdTN,8.446,-1.2458783
42T,15.96,12,mdTN,14.661,2.5690868
42T,15.96,12,mdTN,9.731,-0.2886027
31S,17.0,12,mdTN,10.999,0.23608276
46Z,13.97,12,mdTN,13.104999,1.3568089
3R7,3.32,12,mdTN,10.270999,-0.1893758
5R4,6.25,12,mdTN,14.068001,2.3809235
4J6,7.15,12,mdTN,12.879,1.3038881
6L4,8.2,12,mdTN,11.87,1.0365292
41N,16.74,12,mdTN,11.288,0.4456387
2I1,10.27,12,mdTN,8.279,-1.4763337
1V8,4.31,12,mdTN,11.698999,0.63418835
2V1,4.3,12,mdTN,8.931,-1.0290685
77V,16.15,12,mdTN,11.455,0.4606545
7F0,11.2,12,mdTN,10.202,-0.21859965
74K,20.81,12,mdTN,8.622,-1.2283993
74K,20.81,12,mdTN,12.393,1.4569899
82V,16.01,12,mdTN,8.430999,-1.225714
82V,16.01,12,mdTN,11.909,0.9681563
6O7,6.03,12,mdTN,5.7150006,-2.8445969
2C6,14.03,12,mdTN,9.929999,-0.16007422
3E4,11.99,12,mdTN,9.017,-1.0711287
1P5,6.21,12,mdTN,12.58,1.1026503
1P5,6.21,12,mdTN,8.391,-1.4634198
1P5,6.21,12,mdTN,14.747999,2.5745916
1P5,6.21,12,mdTN,8.922,-1.019139
4S3,3.18,12,mdTN,12.9539995,1.5178849
31S,17.0,12,mdTN,12.414999,1.505999
77V,16.15,12,mdTN,10.52,0.0042443597
82V,16.01,12,mdTN,12.344,1.4697278
8M0,8.12,12,mdTN,12.851,1.6663624
55R,14.97,12,mdTN,11.122999,0.25564995
1G8,7.88,12,mdTN,13.184,1.7272676
5R4,6.25,12,mdTN,12.064,1.1611968
98V,16.03,12,mdTN,12.896998,1.6911855
2F2,11.04,12,mdTN,8.774,-0.9032892
2F2,11.04,12,mdTN,11.914,0.9157835
2F2,11.04,12,mdTN,10.32,0.029072907
2F2,11.04,12,mdTN,10.46,0.023529463
2F2,11.04,12,mdTN,8.921,-0.9980855
50P,15.59,12,mdTN,12.642,1.4719195
7M4,8.15,12,mdTN,7.8689995,-1.9503069
7M4,8.15,12,mdTN,11.24,0.44320238
8B3,13.09,12,mdTN,10.696,0.23562457
8B3,13.09,12,mdTN,7.0469995,-1.9320433
8B3,13.09,12,mdTN,10.445,0.08512911
42T,15.96,12,mdTN,10.291,-0.171074
42T,15.96,12,mdTN,10.348001,-0.14902231
4Q6,3.22,12,mdTN,6.2049994,-3.0163105
4J6,7.15,12,mdTN,10.278999,-0.16196012
4J6,7.15,12,mdTN,10.607,0.26127163
