animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
37V,15.07,13,M1,13.030001,1.994179
5R4,6.25,13,M1,9.799,-0.37600154
97R,17.93,13,M1,11.99,1.2871107
1L1,8.17,13,M1,10.445999,0.24983673
0G3,9.1,13,M1,13.525999,2.0592961
6O7,6.03,13,M1,8.1119995,-1.4292481
3D1,13.11,13,M1,9.179,-0.68077636
55R,14.97,13,M1,10.981999,0.6546028
8C9,12.12,13,M1,8.891,-0.91663873
8H2,10.13,13,M1,10.342,0.012916413
50P,15.59,13,M1,12.141001,1.5352203
31S,17.0,13,M1,10.513,0.027079104
4J6,7.15,13,M1,11.957,1.3135248
77V,16.15,13,M1,9.039,-0.8759275
98V,16.03,13,M1,12.250001,1.656794
2T6,5.18,13,M1,6.369,-2.2421455
4Q6,3.22,13,M1,8.236,-1.272889
55R,14.97,13,M1,9.783,-0.10390307
1G8,7.88,13,M1,10.400999,0.15996563
1G8,7.88,13,M1,8.113001,-1.4826288
5H6,11.03,13,M1,9.813,-0.22344601
2Q0,3.21,13,M1,11.559,0.65792966
3D1,13.11,13,M1,13.087,1.5911629
6O7,6.03,13,M1,12.806999,1.6554307
1V8,4.31,13,M1,8.870001,-1.0796566
2Q0,3.21,13,M1,12.676001,1.7067757
2Q0,3.21,13,M1,7.349,-1.6477442
31S,17.0,13,M1,11.336,0.5094766
4Q6,3.22,13,M1,7.7440004,-1.5218288
2I1,10.27,13,M1,11.049,0.70824
43N,17.0,13,M1,10.762,0.19817272
8I6,9.9,13,M1,12.376,1.6539996
0B9,12.11,13,M1,9.907001,-0.2427488
8C9,12.12,13,M1,14.704999,2.720049
56R,14.95,13,M1,12.015,1.1518917
8H2,10.13,13,M1,11.365999,0.8005277
3K1,9.01,13,M1,13.0529995,1.7524216
1G8,7.88,13,M1,12.992999,1.8324753
1V8,4.31,13,M1,9.101999,-0.5224955
82V,16.01,13,M1,10.393999,0.11141524
1P5,6.21,13,M1,12.031,1.2867421
31S,17.0,13,M1,11.142,0.62395686
0G3,9.1,13,M1,11.367001,0.7278597
56R,14.95,13,M1,12.248,1.1494472
8M0,8.12,13,M1,9.569,-0.36235097
3D1,13.11,13,M1,9.917,-0.15452689
2S6,3.17,13,M1,11.63,0.7772768
6O7,6.03,13,M1,7.717,-1.6408001
56K,19.93,13,M1,10.926,0.4045569
0B9,12.11,13,M1,13.647,2.2097187
6O7,6.03,13,M1,10.475,0.21497257
