animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
1G8,7.88,1,ACC,12.066999,1.3850939
2V1,4.3,1,ACC,13.309,2.6892493
3T5,5.12,1,ACC,11.459999,1.1060842
2C6,14.03,1,ACC,10.348001,0.27557996
56K,19.93,1,ACC,9.8,0.07030623
1V8,4.31,1,ACC,9.106999,-0.4043396
5R4,6.25,1,ACC,11.966,1.3441939
1L1,8.17,1,ACC,10.374,0.19495678
31S,17.0,1,ACC,8.2230015,-1.0789034
4Q6,3.22,1,ACC,11.874,1.148144
5R4,6.25,1,ACC,9.261,-0.26977003
2S6,3.17,1,ACC,11.496,1.0518308
1G8,7.88,1,ACC,8.364,-0.81491673
2V1,4.3,1,ACC,11.051001,0.6125994
42T,15.96,1,ACC,12.41,1.4667575
31S,17.0,1,ACC,11.839001,0.95844305
2Q0,3.21,1,ACC,9.251,-0.40566492
2T2,4.09,1,ACC,9.914,-0.041879673
2T6,5.18,1,ACC,8.184,-1.1305047
0B9,12.11,1,ACC,7.023,-1.873311
1G8,7.88,1,ACC,12.659,1.6495407
42T,15.96,1,ACC,8.163,-1.187635
43N,17.0,1,ACC,12.165,1.4249595
0G3,9.1,1,ACC,13.223,1.7852547
50P,15.59,1,ACC,10.174,0.16473311
91O,15.86,1,ACC,8.371,-0.7107222
5R4,6.25,1,ACC,8.249,-1.0075415
2S2,6.31,1,ACC,8.582,-0.9425526
8B3,13.09,1,ACC,7.1729994,-1.7365608
2S6,3.17,1,ACC,9.342001,-0.33576906
91O,15.86,1,ACC,10.717,0.5200186
6L4,8.2,1,ACC,10.483,0.37894115
8C9,12.12,1,ACC,8.964,-0.6363622
31S,17.0,1,ACC,11.228,0.86625093
2T6,5.18,1,ACC,7.25,-1.6899142
74K,20.81,1,ACC,12.547,1.6075083
46Z,13.97,1,ACC,10.869,0.556694
1P5,6.21,1,ACC,8.117999,-1.014089
3D1,13.11,1,ACC,11.590001,1.0223616
5R4,6.25,1,ACC,7.243,-1.7279338
6O7,6.03,1,ACC,8.944,-0.5721406
3E4,11.99,1,ACC,8.657,-0.7613105
4J6,7.15,1,ACC,10.015,0.088277504
42T,15.96,1,ACC,12.230999,1.4479667
7M4,8.15,1,ACC,13.695999,2.571407
1G8,7.88,1,ACC,7.817,-1.5665945
2T6,5.18,1,ACC,10.629,0.41329232
5R4,6.25,1,ACC,9.203,-0.4055425
4J6,7.15,1,ACC,8.519,-0.81137794
3D1,13.11,1,ACC,10.403999,0.38553184
91O,15.86,1,ACC,10.455,0.2922096
4Q6,3.22,1,ACC,9.3949995,-0.29116207
2S6,3.17,1,ACC,9.464,-0.36396572
41N,16.74,1,ACC,8.843999,-0.6526913
4J6,7.15,1,ACC,7.0010004,-1.981608
2S2,6.31,1,ACC,9.211,-0.53763133
98V,16.03,1,ACC,10.860001,0.62771106
6L4,8.2,1,ACC,9.172999,-0.42704472
42T,15.96,1,ACC,12.347,1.5039115
74K,20.81,1,ACC,9.780001,-0.18793342
2Q0,3.21,1,ACC,11.719,1.1682348
97R,17.93,1,ACC,8.219,-1.0464337
31S,17.0,1,ACC,8.797,-0.69137096
8C9,12.12,1,ACC,8.813001,-0.64525115
2V1,4.3,1,ACC,14.885999,2.891691
6L4,8.2,1,ACC,9.46,-0.40224057
42T,15.96,1,ACC,9.479,-0.46289614
2S6,3.17,1,ACC,9.282,-0.21945275
2S6,3.17,1,ACC,11.6,1.0269096
2S6,3.17,1,ACC,8.165999,-1.2278801
41N,16.74,1,ACC,12.238999,1.5276508
6O7,6.03,1,ACC,8.907,-0.5857962
42T,15.96,1,ACC,10.460001,0.31022626
2T2,4.09,1,ACC,12.688001,1.8987868
4Q6,3.22,1,ACC,10.592,0.5115808
98V,16.03,1,ACC,8.237,-1.0077153
91O,15.86,1,ACC,9.743,0.008572811
8C9,12.12,1,ACC,11.693999,1.1914474
3D1,13.11,1,ACC,9.482,-0.10882423
1G8,7.88,1,ACC,11.094,1.0432543
74K,20.81,1,ACC,8.297,-1.0148358
1T9,4.11,1,ACC,11.413,0.89181006
6L4,8.2,1,ACC,9.187,-0.49473324
74K,20.81,1,ACC,10.1119995,0.111482695
2T6,5.18,1,ACC,7.190001,-1.7315228
6O7,6.03,1,ACC,9.535999,-0.23948279
2T6,5.18,1,ACC,8.394,-0.98021156
7M4,8.15,1,ACC,10.643999,0.41842145
2S6,3.17,1,ACC,8.201,-1.1615739
1T9,4.11,1,ACC,10.896001,0.61726886
97R,17.93,1,ACC,9.728001,-0.25069058
2T6,5.18,1,ACC,10.847,0.51692826
1G8,7.88,1,ACC,8.422,-1.0483631
74K,20.81,1,ACC,7.5409994,-1.6354684
8C9,12.12,1,ACC,10.915,0.6949594
2S6,3.17,1,ACC,8.1,-1.3090822
3D1,13.11,1,ACC,6.961,-1.8864706
46Z,13.97,1,ACC,10.193,0.20365009
3D1,13.11,1,ACC,10.527999,0.44214267
1T9,4.11,1,ACC,9.627,-0.072530486
3T5,5.12,1,ACC,8.725,-0.6604721
