animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2S6,3.17,1,dlPFC,3.5770001,-2.4117448
4S3,3.18,1,dlPFC,5.532,-0.89495015
1T9,4.11,1,dlPFC,6.128,-0.63468367
74K,20.81,1,dlPFC,4.996,-1.377246
74K,20.81,1,dlPFC,6.817,-0.23253062
0B9,12.11,1,dlPFC,9.526001,1.9723155
6O7,6.03,1,dlPFC,8.108,0.84143996
55R,14.97,1,dlPFC,5.688,-1.001289
4Q6,3.22,1,dlPFC,4.579,-1.7312975
2S6,3.17,1,dlPFC,7.106,0.02929567
2S6,3.17,1,dlPFC,7.5379996,0.2465051
46Z,13.97,1,dlPFC,6.644,-0.3507545
4Q6,3.22,1,dlPFC,8.483,1.0219108
8M0,8.12,1,dlPFC,5.511,-0.95803714
8H2,10.13,1,dlPFC,7.4479995,0.22574046
5R4,6.25,1,dlPFC,6.8770003,0.060107708
2S6,3.17,1,dlPFC,7.491,0.3801431
2S6,3.17,1,dlPFC,5.482,-0.99705136
3E4,11.99,1,dlPFC,7.8990006,0.5377505
4S3,3.18,1,dlPFC,7.3480005,0.14448713
7M4,8.15,1,dlPFC,4.408,-1.884069
7M4,8.15,1,dlPFC,8.721,1.0747257
3R7,3.32,1,dlPFC,5.462,-1.1731611
4S3,3.18,1,dlPFC,5.329,-0.91615295
4S3,3.18,1,dlPFC,5.967,-0.754795
4S3,3.18,1,dlPFC,5.96,-0.7016924
2T2,4.09,1,dlPFC,8.179998,0.6995334
2F2,11.04,1,dlPFC,9.383,1.635859
3T5,5.12,1,dlPFC,9.367,1.7312673
2F2,11.04,1,dlPFC,7.0130005,0.09836971
4J6,7.15,1,dlPFC,5.8910003,-0.6691979
31S,17.0,1,dlPFC,9.806001,1.9649543
31S,17.0,1,dlPFC,8.3880005,1.1244197
5R4,6.25,1,dlPFC,8.316,0.85123324
4S3,3.18,1,dlPFC,5.537,-0.96584386
31S,17.0,1,dlPFC,6.0330005,-0.59488505
3T5,5.12,1,dlPFC,8.285001,0.8626811
2Q0,3.21,1,dlPFC,6.2790003,-0.5467088
3R7,3.32,1,dlPFC,5.356,-1.1128736
4S3,3.18,1,dlPFC,6.9250007,-0.13178046
82V,16.01,1,dlPFC,8.533,0.92010313
3K1,9.01,1,dlPFC,8.721001,1.1787369
1G8,7.88,1,dlPFC,5.3680005,-1.2173755
8M0,8.12,1,dlPFC,9.2630005,1.9851098
4S3,3.18,1,dlPFC,7.5500007,0.38784492
3R7,3.32,1,dlPFC,5.576,-1.0212022
2S6,3.17,1,dlPFC,5.5380006,-0.93353885
2S6,3.17,1,dlPFC,4.46,-1.7278789
2V1,4.3,1,dlPFC,5.7739997,-0.93173075
55R,14.97,1,dlPFC,7.833,0.4559799
5R4,6.25,1,dlPFC,8.339,0.817226
4J6,7.15,1,dlPFC,10.4279995,2.4893022
1P5,6.21,1,dlPFC,6.682,-0.22880656
3T5,5.12,1,dlPFC,8.949,1.5299416
2S6,3.17,1,dlPFC,7.8919997,0.5561557
4Q6,3.22,1,dlPFC,4.2279997,-1.7312362
4Q6,3.22,1,dlPFC,5.432,-1.0627323
4J6,7.15,1,dlPFC,4.77,-1.4123733
8M0,8.12,1,dlPFC,8.218,0.7879195
3E4,11.99,1,dlPFC,6.7869997,-0.16778292
4S3,3.18,1,dlPFC,8.289,0.8838849
1T9,4.11,1,dlPFC,8.104,0.630363
7M4,8.15,1,dlPFC,9.797999,1.9430832
4Q6,3.22,1,dlPFC,6.0690002,-0.5423435
4Q6,3.22,1,dlPFC,5.054,-1.5062647
6O7,6.03,1,dlPFC,8.92,1.3388209
2T2,4.09,1,dlPFC,8.497,0.95913506
98V,16.03,1,dlPFC,7.4309998,0.18472748
2S6,3.17,1,dlPFC,3.7760003,-2.1491194
3T5,5.12,1,dlPFC,7.9299994,0.55765957
2Q0,3.21,1,dlPFC,3.307,-2.5254695
1P5,6.21,1,dlPFC,8.839,1.3319745
3R7,3.32,1,dlPFC,7.0660005,0.18169318
