louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,1176,39,12.913745683333332,-0.07703508652485545,1.8135406625853678,0.4985,0.0012,0.4981,0.0013
2,1700,51,10.01341412647059,-0.18554397821270588,1.1999962008543417,0.7708,0.0,0.7594,0.0
3,10710,51,10.297719110102708,-0.13549885121451186,1.2870221490359912,0.8216,0.0,0.8207,0.0
5,481,48,11.327029094594593,0.2981217264182952,1.1923291895487211,0.299,0.039,0.3093,0.0324
6,15247,51,10.365715822253557,-0.027581818756548897,1.5030168804776183,0.8934,0.0,0.8928,0.0
7,1000,50,9.7101129554,-0.37123573142910005,1.0369518690576771,0.327,0.0205,0.335,0.0174
8,399,50,10.774789446867167,-0.46889163617318297,1.1910526467882157,0.3177,0.0246,0.3233,0.022
11,103,35,8.282223236893204,-0.18355984891262137,1.6416320157031725,0.116,0.5068,0.1314,0.452
12,265,49,11.810309318490566,-0.0123823556418868,1.5400293200892876,0.3585,0.0114,0.347,0.0146
13,155,45,10.998825661935484,0.04239521259999999,1.2155716386458943,0.257,0.0884,0.2679,0.0752
15,209,44,11.337081200956938,-0.039471606692822965,0.9852320797727787,0.0238,0.8783,0.043,0.7815
