louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,5586,46,10.145962274955245,-0.0008626603523379863,1.2839792633595177,0.5188,0.0002,0.5118,0.0003
1,224,31,5.221875015625,-0.3521699932477679,1.0340395567996727,0.3596,0.047,0.3518,0.0523
2,7012,52,9.148462219880205,-0.1290612069417577,1.2186957038626585,0.5882,0.0,0.5883,0.0
3,123,37,10.35490233902439,-0.08365645972357726,1.1031258982007601,0.2067,0.2198,0.2142,0.203
4,5433,52,9.439398424811339,-0.09177662260295232,1.1564381612594705,0.5258,0.0001,0.5275,0.0001
5,3556,51,9.110002745303712,-0.21703119091927447,1.2642527820083016,0.5556,0.0,0.5422,0.0
6,7236,52,8.283308669320066,-0.10082241404678689,1.3081021593241267,0.6094,0.0,0.6244,0.0
7,1742,52,9.487789284156142,0.0035881482272101077,1.0280184699324493,0.3353,0.0151,0.3076,0.0265
8,8469,52,8.631461291947101,-0.2153502601941906,1.1420190494419267,0.5529,0.0,0.556,0.0
11,199,41,7.270683338693467,-0.3566734869724623,1.1656087543136582,0.1721,0.2819,0.1634,0.3073
12,514,52,10.316916297859924,0.19610932017392996,1.1760668816957767,0.2254,0.1082,0.2134,0.1287
13,129,41,8.537170582170543,-0.266890347620155,1.420754539243437,0.4457,0.0035,0.4365,0.0043
15,3417,52,8.504580282791922,-0.132348016066216,1.2880460013001354,0.3036,0.0287,0.3029,0.029
16,1480,52,9.861070908445946,-0.08943945012914528,1.1744095308829792,0.4407,0.0011,0.4538,0.0007
