louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,9012,50,9.809719357456723,0.12352988184183777,1.213361414910635,0.4531,0.001,0.4479,0.0011
1,1079,35,5.105111254124189,-0.21548998782706205,1.2708955854614281,0.5314,0.001,0.5449,0.0007
2,34173,52,10.813636866154567,0.09792554599559697,1.273553391068425,0.5449,0.0,0.5191,0.0001
4,9767,52,10.331723705887171,0.12877836930334802,1.2200999302568591,0.2842,0.0412,0.2638,0.0588
5,7639,44,12.175454208679147,0.0835181433533892,1.1458167379442792,0.3032,0.0454,0.2926,0.0539
6,1847,42,11.34471508067136,-0.03891600347319979,1.2265879245510924,0.5012,0.0007,0.4832,0.0012
7,7713,52,10.549441462971608,0.1285149998614871,1.0787410208993946,-0.0547,0.6999,-0.0685,0.6295
8,16944,51,10.467289030836874,0.09129560347457212,1.2369808064978682,0.4507,0.0009,0.431,0.0016
12,1119,42,11.549406485612153,0.020938545913851653,1.107444016196121,0.1222,0.4406,0.1343,0.3965
13,5609,52,10.49914466543056,0.11050649641530576,1.0675342993432089,0.4092,0.0026,0.4049,0.0029
14,2434,45,11.260648680731306,-0.04007903894365653,1.170783371306097,0.5307,0.0002,0.5124,0.0003
15,10540,52,10.423210306129032,0.035938252283845354,1.2674340026765591,0.6196,0.0,0.6259,0.0
16,13828,51,10.422257152740816,0.04096115127450817,1.2788765322301388,0.4884,0.0003,0.4943,0.0002
