louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,5085,48,11.022277871288104,0.042873343062087316,1.3198865016570158,0.8081,0.0,0.8088,0.0
1,714,40,7.012658278991597,0.007994319942577027,1.3863948368508068,0.5868,0.0001,0.5912,0.0001
2,3611,50,9.999944587178067,-0.07456409010010524,1.214943984842102,0.5278,0.0001,0.5192,0.0001
4,2391,48,10.914224543705563,0.148845017263693,1.1863896422469546,0.1706,0.2464,0.2097,0.1526
5,953,49,11.38663063798531,0.17510932358738193,1.205237400916411,0.3316,0.0199,0.341,0.0165
6,1834,47,11.533028244329333,-0.14254487876221378,1.2170346044073308,0.5847,0.0,0.5826,0.0
7,2115,49,10.926643961938534,-0.00277316725149882,1.0509933545751553,0.6352,0.0,0.6577,0.0
8,1420,48,10.988903490985916,0.06270774244373241,1.150372815275488,0.5437,0.0001,0.5589,0.0
12,188,46,10.940952101595744,-0.28904364900159574,1.2776347464675637,0.4435,0.002,0.4295,0.0029
13,1247,48,10.92321011820369,0.04135122575011227,1.0385838152680722,0.3565,0.0129,0.3527,0.014
14,1143,44,10.73088978145232,-0.0807871186776028,1.248472623108893,0.5995,0.0,0.5682,0.0001
15,4181,50,11.067995180387468,0.06495177451885674,1.1424273499470234,0.7332,0.0,0.7034,0.0
16,4385,50,11.128379657331813,0.11598383863714254,1.257963796952165,0.6796,0.0,0.6794,0.0
