animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
56R,14.95,0,CN,12.04,-0.7948702
56R,14.95,0,CN,15.247999,1.9984838
0G3,9.1,0,CN,12.443001,-0.46129215
97R,17.93,0,CN,16.142,2.6400404
56R,14.95,0,CN,12.424,-0.42781222
56R,14.95,0,CN,15.172999,1.8628693
3D1,13.11,0,CN,7.8879995,-4.2793756
98V,16.03,0,CN,11.477,-1.2193129
8M0,8.12,0,CN,9.573001,-2.668514
8M0,8.12,0,CN,14.95,1.4977531
97R,17.93,0,CN,14.079,0.90709585
0G3,9.1,0,CN,13.01,0.08070821
8I6,9.9,0,CN,11.879999,-0.86057436
8M0,8.12,0,CN,10.082001,-2.3330278
56R,14.95,0,CN,14.267,0.8729856
98V,16.03,0,CN,13.8480015,0.66197133
0G3,9.1,0,CN,13.777,0.7436777
97R,17.93,0,CN,15.198,1.7421832
8I6,9.9,0,CN,10.827001,-1.4927582
97R,17.93,0,CN,15.343,1.8859255
2I1,10.27,0,CN,8.503,-3.5513012
56R,14.95,0,CN,14.272,0.9938779
3D1,13.11,0,CN,12.4800005,-0.34821373
97R,17.93,0,CN,16.84,2.9050658
8C9,12.12,0,CN,12.74,-0.12585199
97R,17.93,0,CN,14.270999,0.9454916
97R,17.93,0,CN,14.592999,1.1446414
97R,17.93,0,CN,12.997999,0.002606715
8M0,8.12,0,CN,9.783999,-2.628756
8M0,8.12,0,CN,11.448,-1.2141622
8M0,8.12,0,CN,13.707998,0.54899055
8M0,8.12,0,CN,12.739,-0.28140065
56R,14.95,0,CN,12.504,-0.29087976
56R,14.95,0,CN,15.040998,1.4869812
2T6,5.18,0,CN,6.724,-4.928684
0G3,9.1,0,CN,10.328,-1.7232366
0G3,9.1,0,CN,13.51,0.36512414
56R,14.95,0,CN,11.011,-1.5750601
2I1,10.27,0,CN,12.009,-0.9708434
1L1,8.17,0,CN,8.49,-3.2418365
0G3,9.1,0,CN,15.062999,1.6725163
0G3,9.1,0,CN,9.987,-2.4272704
56R,14.95,0,CN,14.339999,0.9841542
97R,17.93,0,CN,12.436,-0.32734942
6L4,8.2,0,CN,10.878,-1.6985196
0G3,9.1,0,CN,12.534,-0.23888265
1G8,7.88,0,CN,12.752,-0.3213185
97R,17.93,0,CN,17.236002,3.4270015
97R,17.93,0,CN,15.164999,1.3951689
8M0,8.12,0,CN,13.316999,0.3969934
56R,14.95,0,CN,12.068999,-0.68119824
97R,17.93,0,CN,17.036,2.8812292
56R,14.95,0,CN,15.448,2.1334937
0G3,9.1,0,CN,11.393,-1.2611033
8I6,9.9,0,CN,8.636,-3.7239106
56R,14.95,0,CN,15.040998,1.757394
97R,17.93,0,CN,13.497,0.35239577
56R,14.95,0,CN,16.142002,2.6926684
97R,17.93,0,CN,16.363998,2.5142856
8M0,8.12,0,CN,8.915,-3.4132965
97R,17.93,0,CN,16.054998,2.2872894
97R,17.93,0,CN,17.036001,3.2199996
2I1,10.27,0,CN,12.268,-0.59335995
0G3,9.1,0,CN,9.672,-2.8279314
43N,17.0,0,CN,9.514,-2.6052644
97R,17.93,0,CN,14.275,1.002076
97R,17.93,0,CN,10.937,-1.8107617
2T6,5.18,0,CN,8.795,-3.1312413
1L1,8.17,0,CN,9.277,-2.99127
8M0,8.12,0,CN,11.346,-1.4024676
56R,14.95,0,CN,14.270999,0.89351445
97R,17.93,0,CN,15.049001,1.6193053
56K,19.93,0,CN,11.0529995,-1.4049529
97R,17.93,0,CN,16.75,2.9180434
2I1,10.27,0,CN,9.187,-2.9742906
