animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
1L1,8.17,12,MB,11.548,1.4395938
4J6,7.15,12,MB,9.633,0.00898635
5R4,6.25,12,MB,7.957,-1.6776509
6L4,8.2,12,MB,9.582,-0.27594647
4S3,3.18,12,MB,8.942,-0.53452206
2S2,6.31,12,MB,10.389999,0.4233943
8M0,8.12,12,MB,14.041,3.224446
56R,14.95,12,MB,14.576999,2.9075181
2Q0,3.21,12,MB,7.6400003,-1.478117
5H6,11.03,12,MB,10.2039995,0.24477421
2S2,6.31,12,MB,7.6660004,-1.4798048
98V,16.03,12,MB,7.6810007,-1.202791
3E4,11.99,12,MB,9.113001,-0.51503134
8M0,8.12,12,MB,8.1449995,-1.1962348
4S3,3.18,12,MB,7.828,-1.0372399
1L1,8.17,12,MB,7.8970003,-1.2394515
41N,16.74,12,MB,10.184999,0.38763654
7F0,11.2,12,MB,9.203,-0.16302636
2Q0,3.21,12,MB,6.076,-2.8676653
56R,14.95,12,MB,11.14,0.77048737
97R,17.93,12,MB,12.767,2.115602
7M4,8.15,12,MB,10.877,0.668656
37V,15.07,12,MB,11.143,1.050071
8M0,8.12,12,MB,10.964,0.653481
8M0,8.12,12,MB,8.018,-1.1975012
1G8,7.88,12,MB,10.185,0.11074043
5H6,11.03,12,MB,11.279999,0.87526166
4J6,7.15,12,MB,10.7439995,0.56881464
8M0,8.12,12,MB,9.011,-0.6242587
2S2,6.31,12,MB,12.974001,1.9635652
1P5,6.21,12,MB,11.577,1.0312911
1L1,8.17,12,MB,11.752,1.237838
8C9,12.12,12,MB,10.477,0.47742215
2S2,6.31,12,MB,7.4369993,-1.7504902
7M4,8.15,12,MB,10.298999,0.29123354
8B3,13.09,12,MB,8.9279995,-0.5676043
4J6,7.15,12,MB,11.068001,0.7591517
1L1,8.17,12,MB,9.337999,-0.39412376
2S2,6.31,12,MB,8.861,-0.5674949
56R,14.95,12,MB,9.564,-0.33968863
3E4,11.99,12,MB,10.167,0.1565445
56R,14.95,12,MB,13.587001,2.9839518
37V,15.07,12,MB,9.724999,-0.08858573
55R,14.97,12,MB,9.249,-0.6212069
7M4,8.15,12,MB,11.393999,1.1653688
2V1,4.3,12,MB,8.13,-1.2326515
4J6,7.15,12,MB,10.433001,0.4398646
43N,17.0,12,MB,8.636,-0.7585273
8M0,8.12,12,MB,11.7439995,1.4184594
4Q6,3.22,12,MB,8.294001,-1.3161066
1P5,6.21,12,MB,10.274,0.08185012
5R4,6.25,12,MB,8.372999,-1.0098604
8M0,8.12,12,MB,9.309,-0.36302462
1G8,7.88,12,MB,11.018999,0.58469653
42T,15.96,12,MB,10.198,0.16379473
1L1,8.17,12,MB,5.004,-2.997982
3R7,3.32,12,MB,9.007999,-0.73604196
5R4,6.25,12,MB,12.019999,1.7168901
8M0,8.12,12,MB,11.830999,1.296263
2S2,6.31,12,MB,9.705,-0.11629758
56R,14.95,12,MB,11.533999,1.0516737
8I6,9.9,12,MB,9.294,-0.31796485
3R7,3.32,12,MB,8.596,-0.90641725
56R,14.95,12,MB,10.59,0.49527788
3T5,5.12,12,MB,8.299999,-1.17924
41N,16.74,12,MB,11.338999,0.9058187
2S2,6.31,12,MB,9.440001,-0.33252937
5R4,6.25,12,MB,10.844,0.64024895
8B3,13.09,12,MB,7.7279997,-1.4218353
6O7,6.03,12,MB,8.389999,-0.89034337
3E4,11.99,12,MB,7.8350005,-1.6533129
4S3,3.18,12,MB,9.959,0.19210996
3R7,3.32,12,MB,8.691,-0.69772416
3R7,3.32,12,MB,8.373,-0.9962792
56R,14.95,12,MB,10.734,0.59670943
2T6,5.18,12,MB,8.507,-0.9679529
1P5,6.21,12,MB,8.188,-1.1489091
1G8,7.88,12,MB,13.028,2.2133682
91O,15.86,12,MB,9.346,-0.14130981
3E4,11.99,12,MB,9.879,0.029134044
1P5,6.21,12,MB,9.9470005,0.05698296
2Q0,3.21,12,MB,8.223,-1.1533369
56R,14.95,12,MB,11.981999,1.6232201
42T,15.96,12,MB,8.016,-1.4163707
1L1,8.17,12,MB,8.921,-0.6979245
2I1,10.27,12,MB,8.116,-1.0711722
1L1,8.17,12,MB,9.973,0.056560736
1P5,6.21,12,MB,10.301,0.2706599
5R4,6.25,12,MB,7.8479996,-1.3514374
56R,14.95,12,MB,11.886999,1.123099
55R,14.97,12,MB,11.087999,0.7855928
5R4,6.25,12,MB,10.782,0.6344644
56R,14.95,12,MB,10.794,0.5439181
55R,14.97,12,MB,7.1299996,-2.3014503
5H6,11.03,12,MB,9.971,0.024844278
0B9,12.11,12,MB,6.7580004,-2.0982957
3R7,3.32,12,MB,8.490999,-1.2357961
4Q6,3.22,12,MB,7.935,-1.2779708
2C6,14.03,12,MB,8.924001,-0.77876073
1P5,6.21,12,MB,6.7049994,-2.1597981
56R,14.95,12,MB,10.837999,0.6973314
1P5,6.21,12,MB,9.973,0.11715873
1T9,4.11,12,MB,9.875999,0.016296156
3E4,11.99,12,MB,9.381999,-0.29653013
56R,14.95,12,MB,8.389,-0.9938193
31S,17.0,12,MB,9.153,-0.46851522
