animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
1V8,4.31,1,HIP,6.935,1.1149551
5H6,11.03,1,HIP,3.611,-1.590018
2V1,4.3,1,HIP,4.2860003,-1.0821545
2Q0,3.21,1,HIP,3.588,-1.6627635
55R,14.97,1,HIP,5.567,-0.11344663
2C6,14.03,1,HIP,5.565,-0.054436535
2V1,4.3,1,HIP,3.7120004,-1.6277323
1G8,7.88,1,HIP,5.0439997,-0.5277622
98V,16.03,1,HIP,4.944,-0.6272654
4Q6,3.22,1,HIP,4.9839997,-0.57560927
6O7,6.03,1,HIP,5.0579996,-0.4911796
2Q0,3.21,1,HIP,5.0629997,-0.67137384
1T9,4.11,1,HIP,7.6309996,1.737287
1P5,6.21,1,HIP,4.409,-1.3881613
2Q0,3.21,1,HIP,6.764,0.82543
2S6,3.17,1,HIP,3.7050004,-1.528865
4S3,3.18,1,HIP,5.963,0.24800383
2S6,3.17,1,HIP,7.995,2.0178623
4Q6,3.22,1,HIP,5.734,0.031361613
82V,16.01,1,HIP,6.057,0.24704473
1V8,4.31,1,HIP,6.006,0.38497028
6D9,13.11,1,HIP,5.344,-0.25812116
1T9,4.11,1,HIP,5.328,-0.40860316
4Q6,3.22,1,HIP,4.5810003,-1.0038944
2Q0,3.21,1,HIP,3.7080002,-1.7793038
1P5,6.21,1,HIP,4.887,-0.681576
3R7,3.32,1,HIP,3.791,-1.6788818
2Q0,3.21,1,HIP,5.668,0.19102491
2Q0,3.21,1,HIP,4.989,-0.6242364
2Q0,3.21,1,HIP,5.969,0.22794837
4S3,3.18,1,HIP,4.109,-1.4789453
1V8,4.31,1,HIP,6.03,0.281475
2T2,4.09,1,HIP,3.323,-1.9000543
4Q6,3.22,1,HIP,3.999,-1.4849946
2V1,4.3,1,HIP,3.596,-1.7097819
6O7,6.03,1,HIP,4.7860003,-0.7043843
1T9,4.11,1,HIP,6.139,0.63909256
4S3,3.18,1,HIP,4.5620003,-0.7975096
4Q6,3.22,1,HIP,6.739,0.7138935
3T5,5.12,1,HIP,6.629,0.8654372
0B9,12.11,1,HIP,7.935,2.4282775
4Q6,3.22,1,HIP,3.3,-2.0043173
1G8,7.88,1,HIP,5.754,0.098074764
1P5,6.21,1,HIP,3.5779998,-1.851953
1P5,6.21,1,HIP,3.6150002,-1.6149771
55R,14.97,1,HIP,4.193,-1.2880967
4Q6,3.22,1,HIP,6.205,0.39548
0B9,12.11,1,HIP,6.7490005,1.2721742
1G8,7.88,1,HIP,3.4980004,-1.7131896
5H6,11.03,1,HIP,6.4690003,0.5997416
7F0,11.2,1,HIP,5.624,-0.012263145
3E4,11.99,1,HIP,3.595,-1.6501943
4Q6,3.22,1,HIP,6.447,0.71603477
0B9,12.11,1,HIP,4.7799997,-0.65065473
3E4,11.99,1,HIP,4.8809996,-0.73712957
3E4,11.99,1,HIP,5.7510004,0.3481382
5R4,6.25,1,HIP,5.4380007,-0.12834613
4J6,7.15,1,HIP,7.826,1.9714494
2S6,3.17,1,HIP,6.7769995,0.9938785
1G8,7.88,1,HIP,8.184,2.0289662
2T6,5.18,1,HIP,5.342,-0.07380719
1G8,7.88,1,HIP,3.9850001,-1.3850449
1T9,4.11,1,HIP,4.85,-0.54480255
4S3,3.18,1,HIP,5.063,-0.5051575
1T9,4.11,1,HIP,6.496,0.7826295
4S3,3.18,1,HIP,4.5629997,-0.85039353
4S3,3.18,1,HIP,5.7300005,-0.08060089
4S3,3.18,1,HIP,4.783,-0.786544
2Q0,3.21,1,HIP,4.487,-1.1029065
5H6,11.03,1,HIP,6.8459997,1.0275481
3T5,5.12,1,HIP,4.8849998,-0.60578376
2S6,3.17,1,HIP,3.296,-1.8023566
4Q6,3.22,1,HIP,4.7520003,-0.81682605
1T9,4.11,1,HIP,6.175,0.5014614
6O7,6.03,1,HIP,4.7960005,-0.61359495
1G8,7.88,1,HIP,5.445,-0.17716317
2Q0,3.21,1,HIP,5.401,-0.5114422
4Q6,3.22,1,HIP,4.9589996,-0.6138943
1T9,4.11,1,HIP,3.786,-1.5465268
4Q6,3.22,1,HIP,4.594,-0.94772166
6O7,6.03,1,HIP,5.002,-0.75955755
1P5,6.21,1,HIP,4.75,-0.71765727
2Q0,3.21,1,HIP,3.867,-1.3882403
2Q0,3.21,1,HIP,5.857,0.24915624
7F0,11.2,1,HIP,6.429,0.9995237
4S3,3.18,1,HIP,4.7739997,-0.85224324
2Q0,3.21,1,HIP,5.541,0.0094610965
3R7,3.32,1,HIP,4.191,-1.2458107
7F0,11.2,1,HIP,5.051,-0.5354075
1T9,4.11,1,HIP,7.547,1.525098
4S3,3.18,1,HIP,6.071,0.3290145
5R4,6.25,1,HIP,3.6669998,-1.6834408
2Q0,3.21,1,HIP,6.1559997,0.18733388
4Q6,3.22,1,HIP,3.8639998,-1.6711892
2Q0,3.21,1,HIP,3.707,-1.7069935
2Q0,3.21,1,HIP,6.7510004,1.0525476
2Q0,3.21,1,HIP,5.472,-0.10551551
2F2,11.04,1,HIP,7.507,1.6286541
2F2,11.04,1,HIP,7.311,1.1878978
3R7,3.32,1,HIP,4.3990006,-1.0918463
2T2,4.09,1,HIP,6.233,0.6696468
1G8,7.88,1,HIP,8.14,1.8810145
