animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2S2,6.31,2,NAc,11.4019985,0.98488617
7M4,8.15,2,NAc,8.266,-0.90554804
43N,17.0,2,NAc,11.303,0.95967835
1L1,8.17,2,NAc,7.9519997,-1.2950658
1V8,4.31,2,NAc,9.127,-0.40876997
82V,16.01,2,NAc,9.834,-0.04314765
1T9,4.11,2,NAc,7.707,-1.1977278
1P5,6.21,2,NAc,8.358,-0.99390906
2S6,3.17,2,NAc,8.747999,-0.5738456
37V,15.07,2,NAc,12.47,1.8814331
2F2,11.04,2,NAc,9.649,0.0072570792
4S3,3.18,2,NAc,9.78,0.03386897
46Z,13.97,2,NAc,7.622,-1.5914149
0G3,9.1,2,NAc,8.073999,-1.2125227
82V,16.01,2,NAc,10.805,0.6702543
1P5,6.21,2,NAc,11.722,1.2511221
55R,14.97,2,NAc,9.828,-0.043266267
55R,14.97,2,NAc,11.346,1.0695912
4S3,3.18,2,NAc,8.195,-1.1508151
6O7,6.03,2,NAc,7.9759994,-1.168918
8I6,9.9,2,NAc,8.184999,-1.2767396
55R,14.97,2,NAc,6.741,-2.0305007
1L1,8.17,2,NAc,10.787001,0.49008092
77V,16.15,2,NAc,6.2599998,-2.5284235
1V8,4.31,2,NAc,7.3980002,-1.4221592
2F2,11.04,2,NAc,11.995001,1.5032716
97R,17.93,2,NAc,8.759999,-0.5472549
2Q0,3.21,2,NAc,10.215,0.2326608
56R,14.95,2,NAc,9.082,-0.5971896
55R,14.97,2,NAc,10.14,0.14317209
2T6,5.18,2,NAc,10.014,0.0516443
4J6,7.15,2,NAc,11.107,0.73969334
1V8,4.31,2,NAc,10.445001,0.31428427
0B9,12.11,2,NAc,9.739,-0.037090357
3E4,11.99,2,NAc,9.159,-0.5625688
3K1,9.01,2,NAc,7.8799996,-1.3508433
98V,16.03,2,NAc,10.664999,0.62886304
2I1,10.27,2,NAc,9.274,-0.48343083
1L1,8.17,2,NAc,11.728,1.2949808
43N,17.0,2,NAc,13.556999,2.60198
2S6,3.17,2,NAc,10.2369995,0.2334403
3D1,13.11,2,NAc,8.194,-1.0704303
4S3,3.18,2,NAc,9.497,-0.15348445
1V8,4.31,2,NAc,11.193999,1.1838102
8I6,9.9,2,NAc,10.879999,0.55113304
3K1,9.01,2,NAc,5.888,-2.508566
6O7,6.03,2,NAc,10.316,0.2392381
3E4,11.99,2,NAc,10.211,0.11139176
42T,15.96,2,NAc,7.8779993,-1.350269
2V1,4.3,2,NAc,9.789999,-0.11795443
0G3,9.1,2,NAc,10.464,0.571398
1P5,6.21,2,NAc,10.4800005,0.23147886
1G8,7.88,2,NAc,7.8649993,-1.3075581
2T2,4.09,2,NAc,8.138,-1.1915746
1V8,4.31,2,NAc,9.062,-0.40353516
3E4,11.99,2,NAc,9.306999,-0.67477715
50P,15.59,2,NAc,13.365001,2.2087808
1L1,8.17,2,NAc,10.974,0.87746686
82V,16.01,2,NAc,7.453,-1.8719662
2S6,3.17,2,NAc,9.655,-0.01977406
8M0,8.12,2,NAc,9.634,-0.13375999
46Z,13.97,2,NAc,8.946,-0.32641837
2S6,3.17,2,NAc,8.544001,-0.83729047
1V8,4.31,2,NAc,8.111001,-1.2081006
56K,19.93,2,NAc,8.540999,-0.9191952
56K,19.93,2,NAc,9.183,-0.50999963
3D1,13.11,2,NAc,10.859999,0.6919958
3T5,5.12,2,NAc,9.0720005,-0.5484571
98V,16.03,2,NAc,7.3510003,-1.9110284
8B3,13.09,2,NAc,10.7,0.42498323
74K,20.81,2,NAc,8.037,-1.2174747
8I6,9.9,2,NAc,8.757001,-0.7368441
2S6,3.17,2,NAc,9.964,0.078328215
3K1,9.01,2,NAc,11.174,0.7956101
