animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
56R,14.95,2,mdTN,12.545,1.2142471
7F0,11.2,2,mdTN,14.352,2.6391776
42T,15.96,2,mdTN,12.7699995,1.6356246
7M4,8.15,2,mdTN,10.758,0.18158704
91O,15.86,2,mdTN,11.026,0.3305509
2V1,4.3,2,mdTN,13.780001,2.1774004
6O7,6.03,2,mdTN,9.138,-0.9088982
8I6,9.9,2,mdTN,12.741,1.5823481
31S,17.0,2,mdTN,12.344999,1.1877733
2I1,10.27,2,mdTN,11.111,0.40896282
3D1,13.11,2,mdTN,11.571,0.68554384
56K,19.93,2,mdTN,11.765,0.88476557
3E4,11.99,2,mdTN,9.973,-0.4633452
1P5,6.21,2,mdTN,11.566999,0.7618068
0B9,12.11,2,mdTN,12.269,1.0374231
98V,16.03,2,mdTN,11.523999,0.673417
2I1,10.27,2,mdTN,12.568,1.3751669
1V8,4.31,2,mdTN,12.096,0.9298927
6L4,8.2,2,mdTN,10.594,0.05178523
37V,15.07,2,mdTN,11.375999,0.6148379
2T2,4.09,2,mdTN,10.95,0.31517252
0B9,12.11,2,mdTN,12.691999,1.428455
2C6,14.03,2,mdTN,14.423001,2.9179485
3K1,9.01,2,mdTN,12.281,1.0962865
5R4,6.25,2,mdTN,13.353,1.7634592
4J6,7.15,2,mdTN,12.284,1.0131005
5R4,6.25,2,mdTN,13.178999,1.9405159
2Q0,3.21,2,mdTN,9.384001,-0.92522925
7F0,11.2,2,mdTN,12.021999,0.93379503
1L1,8.17,2,mdTN,13.667999,2.0699177
2V1,4.3,2,mdTN,9.0789995,-0.9281973
31S,17.0,2,mdTN,11.785001,0.8188627
74K,20.81,2,mdTN,12.672999,1.1790941
2V1,4.3,2,mdTN,8.9279995,-1.1673045
97R,17.93,2,mdTN,13.4470005,1.8399413
2C6,14.03,2,mdTN,14.162999,2.5764542
56K,19.93,2,mdTN,12.669001,1.2824688
2F2,11.04,2,mdTN,11.783999,0.90797734
8C9,12.12,2,mdTN,12.184999,1.1080326
2V1,4.3,2,mdTN,13.029001,1.54876
8I6,9.9,2,mdTN,10.497,0.05853738
7M4,8.15,2,mdTN,13.182001,1.6902906
7M4,8.15,2,mdTN,12.436,1.345957
4S3,3.18,2,mdTN,12.868001,1.9539646
8H2,10.13,2,mdTN,12.455,1.1509933
2T2,4.09,2,mdTN,14.891001,2.8492925
1P5,6.21,2,mdTN,9.496,-0.5813559
91O,15.86,2,mdTN,12.373,1.4077736
1P5,6.21,2,mdTN,8.431001,-1.4125775
37V,15.07,2,mdTN,11.993,1.0901672
2T2,4.09,2,mdTN,11.756,0.75390905
6O7,6.03,2,mdTN,8.717,-1.0992147
56R,14.95,2,mdTN,12.900999,1.5714346
8C9,12.12,2,mdTN,11.558001,0.6846913
0B9,12.11,2,mdTN,11.953,1.0060565
2V1,4.3,2,mdTN,11.3220005,0.5758053
0B9,12.11,2,mdTN,10.902999,0.26393014
91O,15.86,2,mdTN,10.481,-0.03105763
7M4,8.15,2,mdTN,12.13,1.1076356
0B9,12.11,2,mdTN,11.174,0.413179
91O,15.86,2,mdTN,9.527,-0.6494664
6L4,8.2,2,mdTN,10.974,0.17797394
42T,15.96,2,mdTN,9.780001,-0.49126574
77V,16.15,2,mdTN,12.183001,1.0648576
77V,16.15,2,mdTN,12.475,1.2569879
7M4,8.15,2,mdTN,10.316999,-0.1566978
74K,20.81,2,mdTN,11.197,0.34757194
3K1,9.01,2,mdTN,12.217001,1.1399952
0G3,9.1,2,mdTN,11.209,0.31875983
3E4,11.99,2,mdTN,13.083,1.8430805
8C9,12.12,2,mdTN,11.884001,0.9345017
3D1,13.11,2,mdTN,10.568,-0.07907256
43N,17.0,2,mdTN,11.4869995,0.5179612
50P,15.59,2,mdTN,12.172999,1.146748
4S3,3.18,2,mdTN,9.631,-0.5631053
4S3,3.18,2,mdTN,10.924001,0.27506217
4S3,3.18,2,mdTN,9.014,-0.9450513
43N,17.0,2,mdTN,11.290999,0.5587351
43N,17.0,2,mdTN,10.103001,-0.25244054
1P5,6.21,2,mdTN,10.691999,0.13182758
8B3,13.09,2,mdTN,13.261,1.8273174
91O,15.86,2,mdTN,13.496,2.0881095
4Q6,3.22,2,mdTN,12.8029995,1.3375254
6O7,6.03,2,mdTN,13.921,2.4798183
4S3,3.18,2,mdTN,11.754,0.8631618
1G8,7.88,2,mdTN,9.032,-0.99572074
2F2,11.04,2,mdTN,10.67,-0.030693224
1L1,8.17,2,mdTN,8.34,-1.52743
1L1,8.17,2,mdTN,8.235,-1.7796829
8C9,12.12,2,mdTN,12.391,1.2622422
55R,14.97,2,mdTN,7.9369993,-1.566531
3E4,11.99,2,mdTN,11.425001,0.5118409
91O,15.86,2,mdTN,11.889999,0.72960293
2T2,4.09,2,mdTN,12.466001,1.3275648
7F0,11.2,2,mdTN,8.943,-1.0513115
3T5,5.12,2,mdTN,10.107,-0.38410288
56K,19.93,2,mdTN,13.282,1.7147125
6L4,8.2,2,mdTN,13.19,1.8143852
2I1,10.27,2,mdTN,11.523,0.45901632
56K,19.93,2,mdTN,12.452,1.3754852
0G3,9.1,2,mdTN,12.021,0.9279462
2F2,11.04,2,mdTN,10.302,-0.24875751
1G8,7.88,2,mdTN,12.374,1.2055361
8I6,9.9,2,mdTN,14.501999,2.4864445
97R,17.93,2,mdTN,12.120001,1.1755666
8C9,12.12,2,mdTN,12.819,1.4261999
50P,15.59,2,mdTN,11.24,0.3739947
7M4,8.15,2,mdTN,14.139,2.311278
5H6,11.03,2,mdTN,11.469999,0.49821094
8C9,12.12,2,mdTN,11.060999,0.3035991
55R,14.97,2,mdTN,12.973999,1.5617939
4S3,3.18,2,mdTN,11.877001,0.976738
5R4,6.25,2,mdTN,11.561,0.7117193
2C6,14.03,2,mdTN,11.290999,0.62565976
74K,20.81,2,mdTN,12.059,1.0039874
8C9,12.12,2,mdTN,12.434999,1.1629939
82V,16.01,2,mdTN,11.905001,0.90664184
2F2,11.04,2,mdTN,9.019,-0.98169315
4J6,7.15,2,mdTN,9.083001,-1.02761
1T9,4.11,2,mdTN,10.122999,-0.21114022
7F0,11.2,2,mdTN,10.908,0.35334957
7F0,11.2,2,mdTN,10.061,-0.28529748
4J6,7.15,2,mdTN,7.9379997,-1.5615376
2S6,3.17,2,mdTN,13.565,2.1642606
55R,14.97,2,mdTN,10.806001,0.18431649
3D1,13.11,2,mdTN,12.391,1.0431349
3E4,11.99,2,mdTN,13.085001,1.4095656
46Z,13.97,2,mdTN,11.295,0.48594505
0G3,9.1,2,mdTN,13.094999,1.5182832
2S2,6.31,2,mdTN,11.4800005,0.573427
3D1,13.11,2,mdTN,14.156,2.4359102
6L4,8.2,2,mdTN,11.189,0.5094642
2I1,10.27,2,mdTN,11.59,0.66562825
1P5,6.21,2,mdTN,8.556001,-1.1990353
4S3,3.18,2,mdTN,10.009001,-0.273589
2T2,4.09,2,mdTN,10.585,0.009473764
8C9,12.12,2,mdTN,12.6779995,1.5446656
77V,16.15,2,mdTN,11.696,0.85842204
8H2,10.13,2,mdTN,10.906,0.20561633
82V,16.01,2,mdTN,12.257,1.1164263
7F0,11.2,2,mdTN,9.358,-0.80695343
1P5,6.21,2,mdTN,11.7890005,0.9053483
1L1,8.17,2,mdTN,10.826001,0.2679885
3R7,3.32,2,mdTN,9.351,-0.7969415
3D1,13.11,2,mdTN,12.490999,1.2529348
7M4,8.15,2,mdTN,12.077,0.9229464
4S3,3.18,2,mdTN,10.368,-0.0679045
74K,20.81,2,mdTN,13.131,1.7789685
0G3,9.1,2,mdTN,11.934,0.84532255
4S3,3.18,2,mdTN,9.320999,-0.85717195
8H2,10.13,2,mdTN,8.503,-1.2898895
4J6,7.15,2,mdTN,8.733,-1.174608
1P5,6.21,2,mdTN,10.002999,-0.33609754
4S3,3.18,2,mdTN,13.402,1.8145142
4J6,7.15,2,mdTN,12.759001,1.7661551
0G3,9.1,2,mdTN,12.666,1.7104234
8I6,9.9,2,mdTN,10.9869995,0.33374146
56R,14.95,2,mdTN,10.295,-0.16436362
98V,16.03,2,mdTN,11.339999,0.41103667
56K,19.93,2,mdTN,10.948,0.18401138
3R7,3.32,2,mdTN,12.17,1.1372687
4S3,3.18,2,mdTN,7.8079996,-1.7472954
1P5,6.21,2,mdTN,13.35,1.9744122
0B9,12.11,2,mdTN,13.948,2.254201
1G8,7.88,2,mdTN,10.593,0.045391962
2F2,11.04,2,mdTN,9.1050005,-1.1618612
1L1,8.17,2,mdTN,11.899,1.0983437
6O7,6.03,2,mdTN,8.732,-1.1148994
8H2,10.13,2,mdTN,11.290999,0.5165221
55R,14.97,2,mdTN,11.857,0.9009706
5R4,6.25,2,mdTN,15.375,3.2817569
1P5,6.21,2,mdTN,10.080999,-0.4346113
4J6,7.15,2,mdTN,7.053,-2.2845023
74K,20.81,2,mdTN,10.354001,-0.19884065
1P5,6.21,2,mdTN,10.971,0.12667273
3K1,9.01,2,mdTN,10.416,-0.062846564
2T6,5.18,2,mdTN,12.491,1.4468449
2I1,10.27,2,mdTN,12.672,1.7280685
8B3,13.09,2,mdTN,11.597,0.8683244
42T,15.96,2,mdTN,11.7630005,0.92876685
3D1,13.11,2,mdTN,10.25,-0.19132765
1P5,6.21,2,mdTN,12.728999,1.6667162
3K1,9.01,2,mdTN,9.425,-0.74568826
74K,20.81,2,mdTN,13.267,1.6061716
56K,19.93,2,mdTN,9.644,-0.6702991
77V,16.15,2,mdTN,11.664,0.82324445
8B3,13.09,2,mdTN,9.669001,-0.623969
4S3,3.18,2,mdTN,11.78,0.7116099
2T6,5.18,2,mdTN,13.462,1.9802319
4J6,7.15,2,mdTN,12.257001,1.0310427
74K,20.81,2,mdTN,10.601999,-0.026992552
74K,20.81,2,mdTN,13.158999,2.0244853
1P5,6.21,2,mdTN,10.794,0.13424505
7M4,8.15,2,mdTN,9.726,-0.54475814
6D9,13.11,2,mdTN,12.356999,1.0617188
56K,19.93,2,mdTN,10.882999,0.1486047
1P5,6.21,2,mdTN,11.878,0.8507942
1T9,4.11,2,mdTN,10.694,0.12232893
55R,14.97,2,mdTN,11.872,1.0761734
2T2,4.09,2,mdTN,10.7109995,0.016125817
82V,16.01,2,mdTN,12.203001,1.1694003
82V,16.01,2,mdTN,13.267,1.7016175
1P5,6.21,2,mdTN,13.402,1.817925
4S3,3.18,2,mdTN,12.1449995,0.92835873
