animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2S2,6.31,4,EC,9.111,-0.98415047
3K1,9.01,4,EC,9.558001,-0.35657704
3K1,9.01,4,EC,10.718,0.1145819
56R,14.95,4,EC,14.094999,2.4130888
1G8,7.88,4,EC,13.475,1.8326644
8H2,10.13,4,EC,11.056001,0.47119033
5R4,6.25,4,EC,13.277,1.6768041
5R4,6.25,4,EC,9.939,-0.5127232
98V,16.03,4,EC,13.770999,2.056708
97R,17.93,4,EC,8.493,-1.3307811
42T,15.96,4,EC,10.421,-0.11583941
42T,15.96,4,EC,9.999,-0.24051437
2T6,5.18,4,EC,6.8760004,-2.1098804
5H6,11.03,4,EC,11.096999,0.5753351
74K,20.81,4,EC,10.821,0.29015112
43N,17.0,4,EC,8.242,-1.2605945
3R7,3.32,4,EC,9.740999,-0.4385688
3R7,3.32,4,EC,8.774,-1.0183053
2S2,6.31,4,EC,7.294,-1.9977757
2S2,6.31,4,EC,5.993,-2.61926
56R,14.95,4,EC,11.945999,0.9342912
50P,15.59,4,EC,9.026,-0.99245507
1T9,4.11,4,EC,8.628,-1.1258289
4S3,3.18,4,EC,7.381999,-1.971101
3R7,3.32,4,EC,6.951,-2.4271264
37V,15.07,4,EC,10.696,0.12245671
98V,16.03,4,EC,8.044001,-1.6288416
50P,15.59,4,EC,9.056001,-0.8812877
74K,20.81,4,EC,10.024,-0.21534376
82V,16.01,4,EC,7.8509994,-2.1748304
1T9,4.11,4,EC,14.8480015,2.839781
3R7,3.32,4,EC,10.486,0.009043682
2S2,6.31,4,EC,8.244,-1.4512095
50P,15.59,4,EC,10.395999,0.11124229
1P5,6.21,4,EC,9.712999,-0.6218391
1G8,7.88,4,EC,12.636,1.322376
3D1,13.11,4,EC,11.1380005,0.47073907
1G8,7.88,4,EC,9.2630005,-0.61370564
8H2,10.13,4,EC,9.85,-0.552112
2F2,11.04,4,EC,10.835,0.12711324
7M4,8.15,4,EC,8.878,-1.0788107
97R,17.93,4,EC,12.266,1.4816641
2I1,10.27,4,EC,12.126,1.0105468
1L1,8.17,4,EC,9.089,-0.82013094
82V,16.01,4,EC,10.178999,-0.26236233
3K1,9.01,4,EC,9.488999,-0.6822077
56R,14.95,4,EC,14.119,2.6321144
3T5,5.12,4,EC,10.811,0.333578
2F2,11.04,4,EC,10.557,0.06355216
2T6,5.18,4,EC,14.508,2.6863542
46Z,13.97,4,EC,10.882,0.27157304
2V1,4.3,4,EC,5.2149997,-2.891796
74K,20.81,4,EC,10.942999,0.3073058
1T9,4.11,4,EC,11.463999,0.83354545
3R7,3.32,4,EC,9.282999,-0.56675845
2S2,6.31,4,EC,14.529001,2.587555
3K1,9.01,4,EC,8.5199995,-1.1889615
98V,16.03,4,EC,13.783999,1.9865638
7M4,8.15,4,EC,10.306,0.06210985
42T,15.96,4,EC,8.753,-1.1822509
82V,16.01,4,EC,10.491,0.015994966
43N,17.0,4,EC,10.951,0.29231292
1P5,6.21,4,EC,12.056001,1.2505744
3K1,9.01,4,EC,9.474001,-0.6343577
5R4,6.25,4,EC,8.757,-1.1299137
98V,16.03,4,EC,8.363,-1.3159536
2F2,11.04,4,EC,12.645,1.344611
74K,20.81,4,EC,10.356001,-0.002986872
43N,17.0,4,EC,11.369001,0.6427944
6O7,6.03,4,EC,9.9,-0.2845316
56R,14.95,4,EC,11.715,0.85472363
56R,14.95,4,EC,13.775,1.9923925
56R,14.95,4,EC,11.721,0.84501946
3T5,5.12,4,EC,6.4379997,-2.650833
3T5,5.12,4,EC,10.129,-0.3507572
8H2,10.13,4,EC,10.58,0.20279925
5R4,6.25,4,EC,10.89,0.2529516
98V,16.03,4,EC,10.12,-0.25727096
7M4,8.15,4,EC,9.892,-0.3972935
97R,17.93,4,EC,10.404,-0.022036437
42T,15.96,4,EC,11.208,0.45641482
91O,15.86,4,EC,7.2489996,-2.1572678
4Q6,3.22,4,EC,8.332,-1.057175
74K,20.81,4,EC,9.162001,-0.83002144
8I6,9.9,4,EC,9.191,-0.8920241
42T,15.96,4,EC,6.8549995,-2.511321
3R7,3.32,4,EC,9.265,-0.8717132
3K1,9.01,4,EC,10.033,-0.26488414
56R,14.95,4,EC,11.342999,0.63153374
1G8,7.88,4,EC,10.826001,0.11436401
2T2,4.09,4,EC,6.6159997,-2.6605775
42T,15.96,4,EC,9.8550005,-0.29750872
0G3,9.1,4,EC,10.4939995,0.101341665
43N,17.0,4,EC,9.717,-0.46734694
6O7,6.03,4,EC,10.193,-0.16220094
1G8,7.88,4,EC,9.52,-0.55106544
2S2,6.31,4,EC,9.577001,-0.37080437
2S2,6.31,4,EC,10.101,-0.31701273
8H2,10.13,4,EC,9.452,-0.5055748
97R,17.93,4,EC,13.372,1.6697489
0G3,9.1,4,EC,10.640001,0.06446319
74K,20.81,4,EC,12.25,1.0283407
37V,15.07,4,EC,8.565,-1.1596657
2S2,6.31,4,EC,7.4880004,-1.8936818
2S2,6.31,4,EC,8.247,-1.5167359
56R,14.95,4,EC,14.282,2.691816
2F2,11.04,4,EC,12.48,1.316644
42T,15.96,4,EC,8.252,-1.2385694
8C9,12.12,4,EC,8.870001,-0.92485934
1T9,4.11,4,EC,8.841001,-1.1316541
3R7,3.32,4,EC,13.702001,1.808637
1G8,7.88,4,EC,8.429001,-1.3239554
8H2,10.13,4,EC,8.825999,-1.1592674
2F2,11.04,4,EC,11.296,0.42816028
7M4,8.15,4,EC,11.589,0.70175815
42T,15.96,4,EC,8.384999,-1.2644402
4J6,7.15,4,EC,7.5309997,-1.9824595
41N,16.74,4,EC,11.264,0.4647735
2V1,4.3,4,EC,13.634999,2.1451588
7F0,11.2,4,EC,6.322,-2.4405172
3E4,11.99,4,EC,7.217,-2.1748834
2S2,6.31,4,EC,10.67,0.2045898
3R7,3.32,4,EC,10.020999,-0.1650717
3R7,3.32,4,EC,8.424999,-1.1540128
3R7,3.32,4,EC,11.877001,1.0356439
2S2,6.31,4,EC,8.6380005,-1.243187
2S2,6.31,4,EC,9.034,-0.9310921
3K1,9.01,4,EC,8.917001,-1.0185715
3K1,9.01,4,EC,11.877001,1.1213297
1G8,7.88,4,EC,8.144,-1.3412844
2F2,11.04,4,EC,10.468,0.09333018
97R,17.93,4,EC,12.039999,0.9617333
42T,15.96,4,EC,12.4,1.0607159
2I1,10.27,4,EC,10.25,-0.12270306
74K,20.81,4,EC,10.379,-0.011481561
8C9,12.12,4,EC,12.575,1.4606726
3E4,11.99,4,EC,10.192999,-0.3845906
3R7,3.32,4,EC,10.022,-0.37956834
2S2,6.31,4,EC,6.166,-2.9369164
56R,14.95,4,EC,8.562,-0.9556208
3D1,13.11,4,EC,11.509,0.88451886
2T2,4.09,4,EC,8.441,-1.341941
50P,15.59,4,EC,8.252001,-1.2304128
42T,15.96,4,EC,10.110999,-0.29028144
42T,15.96,4,EC,11.349,0.50236535
7F0,11.2,4,EC,9.088999,-0.917178
8H2,10.13,4,EC,9.285,-0.64384645
3K1,9.01,4,EC,9.915999,-0.35411543
56R,14.95,4,EC,13.766001,2.0686085
5R4,6.25,4,EC,10.513999,0.005748483
50P,15.59,4,EC,11.782001,0.63799757
50P,15.59,4,EC,13.316,1.9707116
7M4,8.15,4,EC,10.314,-0.053157806
97R,17.93,4,EC,11.266,0.69519323
97R,17.93,4,EC,13.803001,2.3379157
82V,16.01,4,EC,8.415,-1.155744
0B9,12.11,4,EC,11.264,0.49348307
1G8,7.88,4,EC,10.949,0.25380865
91O,15.86,4,EC,8.033,-1.6499168
6D9,13.11,4,EC,11.0130005,0.4559765
3R7,3.32,4,EC,9.513,-0.52227837
3R7,3.32,4,EC,7.085,-2.4692023
3R7,3.32,4,EC,11.219999,0.5964398
3R7,3.32,4,EC,10.657,0.13389763
3K1,9.01,4,EC,9.464,-0.5928012
1G8,7.88,4,EC,9.376,-0.5211443
2T2,4.09,4,EC,9.4,-0.7308945
2T2,4.09,4,EC,9.649,-0.5157428
2F2,11.04,4,EC,12.148001,1.0310587
4J6,7.15,4,EC,11.346,0.6101733
7F0,11.2,4,EC,9.839,-0.44383153
1T9,4.11,4,EC,8.200001,-1.6328452
1G8,7.88,4,EC,10.705999,0.10238167
6D9,13.11,4,EC,9.265,-0.72459507
3R7,3.32,4,EC,7.91,-1.6647007
56R,14.95,4,EC,12.611,1.3611759
56R,14.95,4,EC,14.298999,2.6954668
8H2,10.13,4,EC,8.306,-1.235807
2F2,11.04,4,EC,7.968,-1.6419156
41N,16.74,4,EC,14.095999,2.1014128
3R7,3.32,4,EC,11.865,0.87670106
2S2,6.31,4,EC,11.777,0.79443794
3D1,13.11,4,EC,10.24,-0.29550427
98V,16.03,4,EC,9.114,-0.9645477
2F2,11.04,4,EC,10.110001,-0.10856024
2F2,11.04,4,EC,9.212999,-0.6371979
50P,15.59,4,EC,15.185,3.0304017
7M4,8.15,4,EC,10.651999,0.1451762
42T,15.96,4,EC,8.6050005,-1.2547945
31S,17.0,4,EC,9.529,-0.5680427
2V1,4.3,4,EC,10.272,-0.16561288
74K,20.81,4,EC,12.1779995,0.9916405
6O7,6.03,4,EC,13.75,2.4604287
6O7,6.03,4,EC,8.135,-1.5025598
6D9,13.11,4,EC,8.493,-1.3892956
3R7,3.32,4,EC,9.406,-0.84536266
1G8,7.88,4,EC,11.705,0.6998102
8H2,10.13,4,EC,11.239,0.6490504
8H2,10.13,4,EC,11.334,0.52427274
2F2,11.04,4,EC,10.200999,-0.13454005
7M4,8.15,4,EC,8.713,-1.1223829
2T6,5.18,4,EC,9.37,-0.5898725
31S,17.0,4,EC,10.808001,0.28833035
46Z,13.97,4,EC,8.55,-1.0693619
2V1,4.3,4,EC,7.3989997,-2.0750513
82V,16.01,4,EC,12.788,1.6022959
56K,19.93,4,EC,8.830999,-1.0862379
3R7,3.32,4,EC,9.691,-0.44244492
3R7,3.32,4,EC,9.937,-0.27551338
1G8,7.88,4,EC,8.49,-1.551965
