animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3E4,11.99,6,dlPFC,13.886,1.4136597
1P5,6.21,6,dlPFC,12.309,0.18852764
6D9,13.11,6,dlPFC,10.599,-0.7280088
41N,16.74,6,dlPFC,14.736002,1.9235834
1V8,4.31,6,dlPFC,10.304001,-0.95651287
7F0,11.2,6,dlPFC,11.33,-0.46544987
74K,20.81,6,dlPFC,16.05,2.909913
74K,20.81,6,dlPFC,10.8029995,-0.5022279
4S3,3.18,6,dlPFC,10.333,-0.69737154
6D9,13.11,6,dlPFC,8.706,-1.8550067
2S2,6.31,6,dlPFC,12.797,0.49877194
8H2,10.13,6,dlPFC,10.648,-0.7045877
42T,15.96,6,dlPFC,13.103999,1.2210034
4J6,7.15,6,dlPFC,10.122,-0.82587063
2V1,4.3,6,dlPFC,11.154,-0.31906384
6O7,6.03,6,dlPFC,9.05,-2.2592447
3E4,11.99,6,dlPFC,11.386999,-0.22620793
3E4,11.99,6,dlPFC,14.932001,1.9565853
4S3,3.18,6,dlPFC,11.237,-0.18936086
2T2,4.09,6,dlPFC,11.816,0.110503316
2V1,4.3,6,dlPFC,12.889999,0.81680113
6O7,6.03,6,dlPFC,11.033999,-0.4649647
6O7,6.03,6,dlPFC,11.523,-0.21234964
2C6,14.03,6,dlPFC,14.497999,1.7976685
3E4,11.99,6,dlPFC,13.343,1.0604593
3E4,11.99,6,dlPFC,11.121,-0.29374498
1P5,6.21,6,dlPFC,13.833,1.4608973
3T5,5.12,6,dlPFC,15.573999,2.4247644
8B3,13.09,6,dlPFC,10.844,-0.6248591
42T,15.96,6,dlPFC,12.733999,0.6114413
31S,17.0,6,dlPFC,13.236,0.8249606
31S,17.0,6,dlPFC,10.3550005,-0.966369
91O,15.86,6,dlPFC,13.264,1.025939
74K,20.81,6,dlPFC,14.704999,1.6728501
2C6,14.03,6,dlPFC,12.455999,0.51233184
1P5,6.21,6,dlPFC,10.4939995,-0.837752
5H6,11.03,6,dlPFC,8.976,-1.825576
2S2,6.31,6,dlPFC,11.544001,-0.11677485
3K1,9.01,6,dlPFC,8.944,-1.7590649
42T,15.96,6,dlPFC,12.713999,0.46685928
31S,17.0,6,dlPFC,12.028,0.18795234
2I1,10.27,6,dlPFC,12.539,0.46358186
82V,16.01,6,dlPFC,12.589,0.4768152
2S2,6.31,6,dlPFC,10.843,-0.55212045
5R4,6.25,6,dlPFC,10.849999,-0.66172534
8B3,13.09,6,dlPFC,13.5199995,1.0167044
3E4,11.99,6,dlPFC,13.117,0.74619097
1P5,6.21,6,dlPFC,9.567999,-1.4865483
5R4,6.25,6,dlPFC,13.328,1.104264
2F2,11.04,6,dlPFC,11.761999,-0.0511988
4Q6,3.22,6,dlPFC,11.79,-0.06547102
4J6,7.15,6,dlPFC,9.091,-1.8426998
