animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
1G8,7.88,7,ACC,10.396,-0.3022975
1G8,7.88,7,ACC,7.13,-2.444393
8H2,10.13,7,ACC,11.65,0.44441578
97R,17.93,7,ACC,8.308001,-1.6707685
31S,17.0,7,ACC,9.772,-0.9178763
4J6,7.15,7,ACC,13.247,1.5429133
4J6,7.15,7,ACC,13.254,1.3772167
7F0,11.2,7,ACC,9.509001,-1.0422889
0G3,9.1,7,ACC,11.763,0.61337405
43N,17.0,7,ACC,13.106999,1.5038923
2C6,14.03,7,ACC,9.147,-1.2351636
8I6,9.9,7,ACC,8.236,-1.8131036
2Q0,3.21,7,ACC,4.708,-4.7088213
4S3,3.18,7,ACC,10.969,0.13062015
46Z,13.97,7,ACC,10.285,-0.37225005
8C9,12.12,7,ACC,11.611,0.53199905
8I6,9.9,7,ACC,11.052,0.07891158
2Q0,3.21,7,ACC,9.05,-1.3624983
8C9,12.12,7,ACC,13.450999,1.6863937
37V,15.07,7,ACC,10.212999,-0.65639323
3T5,5.12,7,ACC,9.788,-0.7213678
46Z,13.97,7,ACC,11.017,0.15342046
46Z,13.97,7,ACC,10.917001,0.07587093
4Q6,3.22,7,ACC,9.211,-1.1569637
74K,20.81,7,ACC,14.081999,2.153344
4S3,3.18,7,ACC,12.392,0.95568603
8C9,12.12,7,ACC,9.715001,-0.80919975
8C9,12.12,7,ACC,15.244,2.7479925
91O,15.86,7,ACC,10.862,0.11475973
91O,15.86,7,ACC,10.587,-0.30006513
37V,15.07,7,ACC,10.858,0.06139284
56R,14.95,7,ACC,10.907999,-0.0709462
7M4,8.15,7,ACC,10.691999,-0.1820191
2T6,5.18,7,ACC,9.502001,-0.883423
91O,15.86,7,ACC,7.9059997,-2.112717
46Z,13.97,7,ACC,11.9470005,1.001152
4Q6,3.22,7,ACC,12.02,0.7496985
1L1,8.17,7,ACC,8.603,-1.4376988
0G3,9.1,7,ACC,13.147,1.3374951
0B9,12.11,7,ACC,11.962,0.73894566
6O7,6.03,7,ACC,10.060999,-0.7646047
2C6,14.03,7,ACC,12.136,0.6172712
2Q0,3.21,7,ACC,12.034,0.5681894
8C9,12.12,7,ACC,12.848999,1.311434
8C9,12.12,7,ACC,11.9210005,0.77580464
91O,15.86,7,ACC,12.934,1.3788649
55R,14.97,7,ACC,8.685,-1.4520277
3T5,5.12,7,ACC,11.25,0.24697456
4Q6,3.22,7,ACC,8.997,-1.2205335
7F0,11.2,7,ACC,9.83,-0.6708294
74K,20.81,7,ACC,7.3300004,-2.6028626
74K,20.81,7,ACC,10.549,-0.14722748
