animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8B3,13.09,8,IPP,10.059999,-0.119122885
42T,15.96,8,IPP,8.714999,-0.73311216
42T,15.96,8,IPP,10.575,0.31744593
31S,17.0,8,IPP,6.7979994,-2.0243156
31S,17.0,8,IPP,11.646,0.99209875
91O,15.86,8,IPP,12.976,1.5183449
91O,15.86,8,IPP,7.618,-1.7547464
4Q6,3.22,8,IPP,10.934999,0.32207674
4Q6,3.22,8,IPP,9.15,-0.8656337
4Q6,3.22,8,IPP,10.015,-0.31054723
4Q6,3.22,8,IPP,11.65,0.8920878
4J6,7.15,8,IPP,9.912001,-0.32221285
2I1,10.27,8,IPP,11.969,0.97459024
1V8,4.31,8,IPP,11.867001,0.8659662
1V8,4.31,8,IPP,8.59,-1.0986814
2V1,4.3,8,IPP,10.59,0.2817778
2C0,11.0,8,IPP,9.278,-0.61784554
7F0,11.2,8,IPP,9.622,-0.35324344
0G3,9.1,8,IPP,7.8619995,-1.1728016
82V,16.01,8,IPP,12.765,1.4416234
43N,17.0,8,IPP,11.657999,0.85530216
0B9,12.11,8,IPP,10.769,0.24545734
1T9,4.11,8,IPP,6.711,-2.0317664
2C6,14.03,8,IPP,9.955999,-0.13065027
1P5,6.21,8,IPP,11.439,0.7513335
2Q0,3.21,8,IPP,6.657,-2.1379774
2S6,3.17,8,IPP,11.398,0.5418751
2S6,3.17,8,IPP,7.171,-1.9291713
42T,15.96,8,IPP,9.387001,-0.6842821
42T,15.96,8,IPP,8.094,-1.366545
42T,15.96,8,IPP,10.691999,0.16109474
42T,15.96,8,IPP,9.825999,-0.4076397
2T6,5.18,8,IPP,10.058001,-0.19961013
31S,17.0,8,IPP,12.028,1.0519408
31S,17.0,8,IPP,11.974,1.0234321
46Z,13.97,8,IPP,11.715001,0.8400208
4Q6,3.22,8,IPP,13.963,2.2198172
5H6,11.03,8,IPP,10.209001,-0.10016626
6L4,8.2,8,IPP,10.679999,0.24438302
6L4,8.2,8,IPP,8.782001,-0.9021255
41N,16.74,8,IPP,10.257999,-0.087631896
1V8,4.31,8,IPP,9.744,-0.2675952
2C0,11.0,8,IPP,10.92,0.563864
7F0,11.2,8,IPP,11.663,0.7923517
7F0,11.2,8,IPP,10.559999,0.11076001
0G3,9.1,8,IPP,11.25,0.509546
82V,16.01,8,IPP,5.5629997,-3.6290429
82V,16.01,8,IPP,12.066,1.114572
82V,16.01,8,IPP,8.158999,-1.2978402
43N,17.0,8,IPP,9.665,-0.31648055
8C9,12.12,8,IPP,9.832,-0.27158526
8C9,12.12,8,IPP,9.677,-0.5324273
1T9,4.11,8,IPP,10.566,0.11375405
1T9,4.11,8,IPP,6.9449997,-1.8066462
6O7,6.03,8,IPP,8.521999,-0.9334576
6O7,6.03,8,IPP,8.417,-1.0632646
6O7,6.03,8,IPP,11.351999,0.7157031
2C6,14.03,8,IPP,8.047,-1.5310135
3E4,11.99,8,IPP,9.528,-0.42204183
8I6,9.9,8,IPP,10.057,0.009475108
8I6,9.9,8,IPP,8.038,-1.0287826
8I6,9.9,8,IPP,11.615,0.88130873
2Q0,3.21,8,IPP,10.078001,-0.14239126
2S6,3.17,8,IPP,10.399,0.05405877
2S6,3.17,8,IPP,9.273999,-0.70086247
50P,15.59,8,IPP,8.5,-1.2080461
8B3,13.09,8,IPP,11.968,1.008007
8B3,13.09,8,IPP,12.840999,1.4547952
91O,15.86,8,IPP,9.67,-0.3249827
