animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3D1,13.11,8,M1,10.5390005,0.57145756
2Q0,3.21,8,M1,8.540999,-0.7417132
4S3,3.18,8,M1,10.287,0.41707325
6D9,13.11,8,M1,9.101999,-0.3261885
37V,15.07,8,M1,8.2630005,-0.974152
3D1,13.11,8,M1,11.483999,0.9616933
2T2,4.09,8,M1,9.338,-0.15223716
2F2,11.04,8,M1,6.818,-2.1352189
91O,15.86,8,M1,9.474001,-0.04550537
6D9,13.11,8,M1,8.606,-0.760718
1G8,7.88,8,M1,9.126,-0.43492067
2F2,11.04,8,M1,10.335,0.20235734
31S,17.0,8,M1,10.098001,0.22151625
2Q0,3.21,8,M1,8.0060005,-1.0273982
8B3,13.09,8,M1,10.111,0.29906118
3R7,3.32,8,M1,8.161,-0.8552991
77V,16.15,8,M1,12.157,1.4085523
4J6,7.15,8,M1,10.141,0.58336186
3R7,3.32,8,M1,10.271001,0.36075822
37V,15.07,8,M1,11.122,1.0240939
5R4,6.25,8,M1,7.872,-1.1975754
4S3,3.18,8,M1,10.864,0.59945434
5R4,6.25,8,M1,7.486,-1.1546739
8B3,13.09,8,M1,11.114,0.74624383
46Z,13.97,8,M1,12.499999,1.6673135
46Z,13.97,8,M1,13.866,2.586456
55R,14.97,8,M1,11.884,1.3465562
8H2,10.13,8,M1,12.712999,1.831925
1G8,7.88,8,M1,8.419001,-0.77684414
2T6,5.18,8,M1,8.065001,-0.99527276
4J6,7.15,8,M1,10.737,0.53090715
1L1,8.17,8,M1,9.655001,-0.1566785
6O7,6.03,8,M1,10.971,0.8119875
2Q0,3.21,8,M1,8.5060005,-0.6803832
5R4,6.25,8,M1,9.212,-0.41444603
4J6,7.15,8,M1,8.837999,-0.6931385
4J6,7.15,8,M1,9.197,-0.4642494
2S6,3.17,8,M1,8.687,-0.6819897
8C9,12.12,8,M1,9.061999,-0.3578838
2S2,6.31,8,M1,8.411,-0.91765314
3D1,13.11,8,M1,7.3739996,-1.6216916
2T2,4.09,8,M1,8.383,-0.9118644
4J6,7.15,8,M1,11.143,0.7992313
56K,19.93,8,M1,10.2699995,0.49587846
0B9,12.11,8,M1,10.662,0.62460685
2S6,3.17,8,M1,11.651,1.183332
0G3,9.1,8,M1,10.008001,0.23647074
43N,17.0,8,M1,10.518,0.53675145
2S6,3.17,8,M1,9.136999,-0.46487898
8H2,10.13,8,M1,11.055,0.8743682
4J6,7.15,8,M1,8.580999,-0.97555494
74K,20.81,8,M1,9.278001,-0.63097143
1P5,6.21,8,M1,8.115,-1.3529668
3R7,3.32,8,M1,10.343,0.47870815
2T2,4.09,8,M1,8.209,-0.9836042
8B3,13.09,8,M1,8.617001,-0.75332475
2V1,4.3,8,M1,4.8910003,-2.8773046
4S3,3.18,8,M1,7.342,-1.4229892
2T2,4.09,8,M1,9.1779995,-0.43677726
5H6,11.03,8,M1,8.266001,-1.0707071
2Q0,3.21,8,M1,11.462,1.1756252
31S,17.0,8,M1,9.437,-0.28417176
6O7,6.03,8,M1,5.82,-2.3645148
3E4,11.99,8,M1,10.025999,0.0018774337
3E4,11.99,8,M1,6.4480004,-2.1038039
37V,15.07,8,M1,6.9230003,-1.8493768
3D1,13.11,8,M1,10.047999,0.30469856
2S6,3.17,8,M1,10.566,0.55048287
2S6,3.17,8,M1,9.141,-0.28027537
2S2,6.31,8,M1,9.489,-0.17146942
4J6,7.15,8,M1,10.129,0.2121741
5R4,6.25,8,M1,10.763,0.6431117
2T2,4.09,8,M1,7.724,-1.1389518
2Q0,3.21,8,M1,10.507999,0.41402802
3D1,13.11,8,M1,12.191999,1.445578
7F0,11.2,8,M1,11.643,0.95622367
6O7,6.03,8,M1,13.967,2.8480363
2Q0,3.21,8,M1,9.464999,-0.11534245
3D1,13.11,8,M1,9.460001,-0.33739024
0B9,12.11,8,M1,10.367,0.23806313
