animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3R7,3.32,9,lCb,9.682001,-0.14527895
3R7,3.32,9,lCb,6.0889997,-2.5740104
3R7,3.32,9,lCb,7.433,-1.3557773
37V,15.07,9,lCb,12.353,1.3596998
3K1,9.01,9,lCb,9.307,-0.47592345
56R,14.95,9,lCb,12.464,1.4149435
3T5,5.12,9,lCb,10.736,0.47204196
1G8,7.88,9,lCb,6.6049995,-2.0872488
1G8,7.88,9,lCb,11.901,1.1509209
98V,16.03,9,lCb,12.951999,1.899423
50P,15.59,9,lCb,9.1189995,-0.4082346
97R,17.93,9,lCb,13.985001,2.5656197
42T,15.96,9,lCb,5.76,-2.7920394
42T,15.96,9,lCb,10.973,0.6909973
42T,15.96,9,lCb,11.053999,0.5687976
98V,16.03,9,lCb,12.978,2.0724792
5H6,11.03,9,lCb,13.37,1.9909798
1L1,8.17,9,lCb,7.3980002,-1.4304421
7F0,11.2,9,lCb,9.499,-0.44580737
74K,20.81,9,lCb,13.393999,2.0194924
3E4,11.99,9,lCb,11.98,1.0784651
4Q6,3.22,9,lCb,10.013,-0.009993803
5H6,11.03,9,lCb,10.146,0.28071317
4J6,7.15,9,lCb,9.406,-0.3966254
4J6,7.15,9,lCb,12.707,1.6987523
4J6,7.15,9,lCb,7.864001,-1.2830439
6L4,8.2,9,lCb,10.243001,0.31310552
2I1,10.27,9,lCb,9.688001,-0.070499636
2V1,4.3,9,lCb,4.782,-3.3135393
0G3,9.1,9,lCb,7.832,-1.3378799
74K,20.81,9,lCb,11.876,1.3731809
43N,17.0,9,lCb,13.559999,1.9986883
0B9,12.11,9,lCb,13.326999,1.913919
2C6,14.03,9,lCb,12.553999,1.5577478
8I6,9.9,9,lCb,12.123,1.1596303
2Q0,3.21,9,lCb,7.477,-1.6137455
4S3,3.18,9,lCb,3.9170003,-3.6544187
4S3,3.18,9,lCb,3.325,-4.024471
4S3,3.18,9,lCb,3.7020001,-4.0645566
2S6,3.17,9,lCb,6.2180004,-2.2933793
6D9,13.11,9,lCb,10.921999,0.6718212
37V,15.07,9,lCb,15.426,3.2985888
55R,14.97,9,lCb,10.542,0.3247458
55R,14.97,9,lCb,13.7039995,2.167607
55R,14.97,9,lCb,10.344,0.3760289
3D1,13.11,9,lCb,13.539,2.4395475
3T5,5.12,9,lCb,10.988,0.6085507
1G8,7.88,9,lCb,5.852,-2.922521
1G8,7.88,9,lCb,12.429999,1.5387367
1G8,7.88,9,lCb,9.247999,-0.35628527
97R,17.93,9,lCb,12.358999,1.428797
5R4,6.25,9,lCb,11.555,1.0467147
98V,16.03,9,lCb,10.634,0.48623696
6L4,8.2,9,lCb,15.679998,3.6196132
6L4,8.2,9,lCb,7.9020004,-1.1989965
74K,20.81,9,lCb,15.042,2.8452604
43N,17.0,9,lCb,8.735001,-0.7504846
5H6,11.03,9,lCb,11.808,1.1768892
4J6,7.15,9,lCb,11.394,0.71787524
4J6,7.15,9,lCb,8.819,-0.71556824
41N,16.74,9,lCb,8.143,-1.178025
1V8,4.31,9,lCb,7.3269997,-1.8214257
2V1,4.3,9,lCb,11.674999,1.0880963
7F0,11.2,9,lCb,13.506,1.9250562
74K,20.81,9,lCb,14.336,2.6477873
82V,16.01,9,lCb,14.028,2.2067556
43N,17.0,9,lCb,11.027999,0.6101134
43N,17.0,9,lCb,12.566,1.712184
8C9,12.12,9,lCb,8.24,-1.2932992
3E4,11.99,9,lCb,9.371,-0.38742933
2S6,3.17,9,lCb,6.932,-1.8512409
4S3,3.18,9,lCb,3.3240001,-4.37622
4S3,3.18,9,lCb,6.6990004,-2.0055869
4S3,3.18,9,lCb,3.6910005,-3.6535664
4S3,3.18,9,lCb,9.439001,-0.5454143
4S3,3.18,9,lCb,3.6890004,-3.8541622
4S3,3.18,9,lCb,3.211,-5.317788
3R7,3.32,9,lCb,9.591001,-0.1499668
37V,15.07,9,lCb,10.389999,0.29486367
8M0,8.12,9,lCb,13.771998,2.4480948
2S2,6.31,9,lCb,10.214,0.27300325
2S2,6.31,9,lCb,13.099001,1.6574302
3D1,13.11,9,lCb,12.972,1.692225
3D1,13.11,9,lCb,11.741,1.2618028
98V,16.03,9,lCb,14.316,2.6254365
2F2,11.04,9,lCb,10.4800005,0.5148621
2F2,11.04,9,lCb,10.547999,0.43589255
50P,15.59,9,lCb,10.069999,0.055977494
8B3,13.09,9,lCb,9.788,-0.25272107
8B3,13.09,9,lCb,9.200999,-0.49571812
2T6,5.18,9,lCb,11.757,1.299544
46Z,13.97,9,lCb,12.070001,1.2590047
5R4,6.25,9,lCb,9.468,-0.43061456
98V,16.03,9,lCb,12.052,1.3822548
2F2,11.04,9,lCb,8.37,-1.0658567
97R,17.93,9,lCb,12.034999,1.6769105
2I1,10.27,9,lCb,13.8029995,2.498991
1L1,8.17,9,lCb,10.809,0.5199627
4Q6,3.22,9,lCb,14.247999,2.6534228
4Q6,3.22,9,lCb,14.052,2.4721255
4Q6,3.22,9,lCb,4.783,-3.3220131
5H6,11.03,9,lCb,11.129,0.7524498
4J6,7.15,9,lCb,9.206,-0.5338981
6L4,8.2,9,lCb,5.5750003,-2.3579345
41N,16.74,9,lCb,13.476,1.840461
2I1,10.27,9,lCb,8.450999,-0.9398032
0G3,9.1,9,lCb,10.139001,0.15219821
74K,20.81,9,lCb,13.064,1.8787287
56K,19.93,9,lCb,15.025999,3.1330013
56K,19.93,9,lCb,13.991,2.4482944
43N,17.0,9,lCb,13.858999,2.2429574
0B9,12.11,9,lCb,9.658,-0.1051027
2Q0,3.21,9,lCb,5.148,-3.1292694
2S6,3.17,9,lCb,7.9609995,-1.3563641
2S6,3.17,9,lCb,6.725,-2.2132092
2S6,3.17,9,lCb,7.811,-1.235065
4S3,3.18,9,lCb,5.375,-2.7134917
4S3,3.18,9,lCb,3.184,-4.1065145
4S3,3.18,9,lCb,10.837,0.42084152
4S3,3.18,9,lCb,7.3119993,-1.6642853
2Q0,3.21,9,lCb,3.2030003,-4.008051
3T5,5.12,9,lCb,7.9550004,-1.1291536
3R7,3.32,9,lCb,9.233,-0.48583674
3K1,9.01,9,lCb,10.273,0.15627548
56R,14.95,9,lCb,13.306,2.3251898
55R,14.97,9,lCb,12.558001,1.5614938
98V,16.03,9,lCb,9.747999,-0.25801834
2F2,11.04,9,lCb,11.869,1.3134403
2F2,11.04,9,lCb,11.709,1.2372186
50P,15.59,9,lCb,8.923,-0.75754803
50P,15.59,9,lCb,11.464,1.1594733
7M4,8.15,9,lCb,5.5840006,-2.5669944
2F2,11.04,9,lCb,11.399,0.8256864
4Q6,3.22,9,lCb,5.559,-2.9871788
5H6,11.03,9,lCb,10.566,0.5954382
5H6,11.03,9,lCb,9.721,-0.017763577
4J6,7.15,9,lCb,8.777,-0.726081
4J6,7.15,9,lCb,7.0200005,-1.6981757
6L4,8.2,9,lCb,6.6800003,-1.9748582
2I1,10.27,9,lCb,11.308001,0.8776841
1V8,4.31,9,lCb,10.792999,0.43511006
0G3,9.1,9,lCb,12.798,1.65791
0G3,9.1,9,lCb,14.516001,2.7126226
74K,20.81,9,lCb,9.809,-0.14928038
82V,16.01,9,lCb,13.242999,1.9688596
82V,16.01,9,lCb,11.672999,0.8586695
0B9,12.11,9,lCb,9.257,-0.4427463
2C6,14.03,9,lCb,12.948999,1.7951593
2C6,14.03,9,lCb,12.936999,1.7327843
3E4,11.99,9,lCb,10.117999,0.0074593956
2S6,3.17,9,lCb,3.4190001,-4.6017303
2S6,3.17,9,lCb,5.5509996,-3.3763275
2S6,3.17,9,lCb,9.455999,-0.5598395
4S3,3.18,9,lCb,5.862,-2.2810662
4S3,3.18,9,lCb,3.309,-4.2743645
3R7,3.32,9,lCb,7.478999,-1.4896328
3R7,3.32,9,lCb,9.418,-0.2725671
3R7,3.32,9,lCb,7.359,-1.8675349
3K1,9.01,9,lCb,10.091,0.03681247
6D9,13.11,9,lCb,9.695,-0.05914861
3R7,3.32,9,lCb,3.3209999,-4.499038
3R7,3.32,9,lCb,6.4830003,-1.9737954
