louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,2353,47,11.112610240756482,-0.05620418885278368,1.7201581056325193,0.7882,0.0,0.7855,0.0
1,6012,46,10.863707553942115,0.09995599581781436,1.3188102525643528,0.8685,0.0,0.8673,0.0
2,11866,47,11.209910448988708,-0.10254389422769511,1.725296290657063,0.8865,0.0,0.8867,0.0
3,8458,47,8.05709361890518,-0.20435749609629938,2.1160611702140195,0.9019,0.0,0.9029,0.0
4,2900,46,11.010619575,0.17096397169806551,1.2632677952893065,0.8454,0.0,0.8448,0.0
5,6196,47,11.450274325677857,-0.051344503621989994,1.7138949669370933,0.8725,0.0,0.8708,0.0
6,5172,46,6.259410845765661,-0.2559130439293503,1.890969417829828,0.8162,0.0,0.8119,0.0
7,1829,46,10.922087989502462,0.32994654777271737,1.2288704288367998,0.7403,0.0,0.7297,0.0
8,2646,46,9.518475409334844,-0.091245019928647,1.5283759873960805,0.8672,0.0,0.8657,0.0
9,2646,46,10.631679112433863,0.15615904438843536,1.5318347679099944,0.8079,0.0,0.8112,0.0
10,13065,47,11.97429367567547,-0.07133452641002527,1.3688362192775216,0.8819,0.0,0.8836,0.0
11,5291,46,5.999855796446797,-0.12145348954560005,1.7421508204685159,0.8122,0.0,0.8105,0.0
12,3546,47,11.71473622676255,0.3892687775221884,1.1856521122482289,0.7678,0.0,0.7605,0.0
