animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
5R4,6.25,0,lCb,13.333,1.6100842
43N,17.0,0,lCb,16.614,3.388953
41N,16.74,0,lCb,10.093,-0.6953101
3T5,5.12,0,lCb,11.078,-0.20430224
42T,15.96,0,lCb,11.806,0.38844562
1L1,8.17,0,lCb,9.151999,-1.1800722
43N,17.0,0,lCb,12.384999,0.6088101
0B9,12.11,0,lCb,9.807001,-0.72855544
8B3,13.09,0,lCb,11.677,0.3473154
42T,15.96,0,lCb,10.952001,-0.29034516
43N,17.0,0,lCb,13.242,1.4570528
98V,16.03,0,lCb,11.691,0.23459901
7M4,8.15,0,lCb,11.009001,-0.24194804
42T,15.96,0,lCb,11.573,0.33202076
6L4,8.2,0,lCb,9.601,-0.91411275
2I1,10.27,0,lCb,12.824,0.969453
2V1,4.3,0,lCb,11.728,0.29766044
2Q0,3.21,0,lCb,7.91,-2.3764968
31S,17.0,0,lCb,12.9470005,1.0940776
7F0,11.2,0,lCb,8.597,-1.5967672
74K,20.81,0,lCb,12.377,0.956685
56K,19.93,0,lCb,14.131,1.7452859
97R,17.93,0,lCb,11.753,0.39580527
4J6,7.15,0,lCb,9.13,-1.4714935
82V,16.01,0,lCb,13.719999,1.5962642
0B9,12.11,0,lCb,14.186999,1.9920288
2S6,3.17,0,lCb,4.198,-4.555919
41N,16.74,0,lCb,8.623,-1.7259163
4S3,3.18,0,lCb,3.795,-5.0307207
8M0,8.12,0,lCb,10.974999,-0.11315461
98V,16.03,0,lCb,12.7369995,1.1580873
2F2,11.04,0,lCb,12.792999,0.9304297
2S6,3.17,0,lCb,10.445001,-0.68005055
4J6,7.15,0,lCb,13.591001,1.370087
4J6,7.15,0,lCb,9.131,-1.1836492
1V8,4.31,0,lCb,11.559999,0.36746946
2V1,4.3,0,lCb,10.249,-0.52239263
50P,15.59,0,lCb,9.476,-1.390876
8B3,13.09,0,lCb,11.379,0.007949977
8B3,13.09,0,lCb,12.181001,0.7096632
43N,17.0,0,lCb,13.673999,1.6120341
5R4,6.25,0,lCb,12.144,0.8841095
0G3,9.1,0,lCb,14.0720005,2.1623507
3R7,3.32,0,lCb,6.376,-3.2184167
3D1,13.11,0,lCb,11.33,0.11790561
3D1,13.11,0,lCb,12.751999,0.96297276
4J6,7.15,0,lCb,8.444,-1.5604755
43N,17.0,0,lCb,15.728999,3.3673646
43N,17.0,0,lCb,11.568001,0.22328779
3R7,3.32,0,lCb,7.9920006,-2.3112507
2F2,11.04,0,lCb,11.668,0.38377988
3D1,13.11,0,lCb,12.914,1.2182374
4J6,7.15,0,lCb,8.139,-2.0405416
3D1,13.11,0,lCb,11.008,0.03671828
55R,14.97,0,lCb,12.8220005,1.3361466
97R,17.93,0,lCb,9.872999,-0.99781615
2I1,10.27,0,lCb,9.414,-1.2789301
2C6,14.03,0,lCb,8.389999,-2.1527145
3D1,13.11,0,lCb,12.995999,1.3517022
37V,15.07,0,lCb,9.974,-0.8221112
0G3,9.1,0,lCb,12.451,0.821258
82V,16.01,0,lCb,8.704,-1.5537857
0B9,12.11,0,lCb,12.064,0.47658247
2F2,11.04,0,lCb,13.530001,1.5759826
82V,16.01,0,lCb,13.129,1.4339688
43N,17.0,0,lCb,14.117,2.0637956
3D1,13.11,0,lCb,13.379,1.3877878
3D1,13.11,0,lCb,12.295,1.0114726
41N,16.74,0,lCb,10.424,-0.46799058
1V8,4.31,0,lCb,13.682001,1.6719056
3E4,11.99,0,lCb,13.003,0.96875954
3R7,3.32,0,lCb,14.200999,2.4275692
6L4,8.2,0,lCb,10.941,0.17657831
0B9,12.11,0,lCb,11.351,0.05904098
8I6,9.9,0,lCb,9.664999,-0.837679
2Q0,3.21,0,lCb,8.594,-1.6035302
3D1,13.11,0,lCb,10.458,-0.5826191
6L4,8.2,0,lCb,14.428999,2.2422948
2I1,10.27,0,lCb,11.7699995,0.41784644
1G8,7.88,0,lCb,9.481,-1.1412463
