louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,3540,46,10.730839227316384,0.11859618291741525,1.2367637008103975,0.7851,0.0,0.7803,0.0
1,29798,47,11.39489608856299,0.0909064614998728,1.6156996158696464,0.8841,0.0,0.8828,0.0
2,113339,47,11.362193212410556,0.042106573300713074,1.7364576316809655,0.9123,0.0,0.9123,0.0
3,115608,47,10.495859627177184,0.11146624063355107,1.7138783639041881,0.9119,0.0,0.9122,0.0
4,115146,47,12.207000019010644,0.014341960731688438,1.454889608183697,0.9127,0.0,0.9131,0.0
5,68321,47,11.221544266191948,0.180005907446577,1.5325708914310718,0.9128,0.0,0.9129,0.0
6,109348,47,11.300868876244651,0.07943427331807541,1.6574177114980166,0.8858,0.0,0.8862,0.0
7,8263,47,10.071378630557907,0.003764576618400098,1.478148311126355,0.807,0.0,0.8161,0.0
8,48873,47,13.665861310412701,0.05027916561612036,1.558683392691852,0.7859,0.0,0.7831,0.0
9,100839,47,5.258314269882685,0.008658510945011298,1.5025012681752412,0.6055,0.0,0.5938,0.0
