animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
37V,15.07,8,lCb,14.505,0.5981444
37V,15.07,8,lCb,12.44,-1.155444
6D9,13.11,8,lCb,14.398,0.52648646
3K1,9.01,8,lCb,9.946001,-2.710719
3K1,9.01,8,lCb,10.261,-2.9735458
56R,14.95,8,lCb,12.381999,-1.066869
56R,14.95,8,lCb,15.8029995,1.7492683
55R,14.97,8,lCb,14.205999,0.49889082
3D1,13.11,8,lCb,16.122,2.1674523
3D1,13.11,8,lCb,13.191,-0.21869335
3D1,13.11,8,lCb,14.478,0.59112567
3D1,13.11,8,lCb,14.610001,0.82801706
3T5,5.12,8,lCb,13.335001,-0.36005658
98V,16.03,8,lCb,13.63,0.14345959
98V,16.03,8,lCb,12.583,-0.70513576
2F2,11.04,8,lCb,13.891001,0.16951583
2F2,11.04,8,lCb,13.278,-0.27711475
50P,15.59,8,lCb,11.393999,-2.0277913
50P,15.59,8,lCb,15.381,1.6772863
7M4,8.15,8,lCb,11.278,-1.9511219
97R,17.93,8,lCb,14.939,1.2080855
42T,15.96,8,lCb,14.030001,0.53792804
42T,15.96,8,lCb,13.564,0.07861767
42T,15.96,8,lCb,15.216001,1.4591188
42T,15.96,8,lCb,14.417,0.6164584
98V,16.03,8,lCb,13.198999,-0.3724911
2F2,11.04,8,lCb,11.361,-2.011061
42T,15.96,8,lCb,14.292,0.5339781
5H6,11.03,8,lCb,13.905001,0.39928177
7F0,11.2,8,lCb,14.184999,0.38974208
7F0,11.2,8,lCb,14.919001,0.86061436
82V,16.01,8,lCb,16.95,2.5256221
82V,16.01,8,lCb,13.824,0.2990579
43N,17.0,8,lCb,14.647,0.94395435
43N,17.0,8,lCb,10.677,-2.206439
43N,17.0,8,lCb,14.266001,0.4733645
43N,17.0,8,lCb,12.858999,-0.6045957
43N,17.0,8,lCb,11.7,-1.5199699
43N,17.0,8,lCb,12.675,-0.84903795
4J6,7.15,8,lCb,10.602,-2.405558
4J6,7.15,8,lCb,8.108999,-5.127302
4J6,7.15,8,lCb,12.503,-0.9021961
4J6,7.15,8,lCb,12.219999,-1.265162
4J6,7.15,8,lCb,10.382001,-2.7533464
4J6,7.15,8,lCb,8.898,-4.460467
4J6,7.15,8,lCb,11.658999,-1.6359538
4J6,7.15,8,lCb,12.865,-0.36948356
6L4,8.2,8,lCb,13.259,-0.3840838
1L1,8.17,8,lCb,14.385,0.82709503
7F0,11.2,8,lCb,13.479999,-0.17743385
0G3,9.1,8,lCb,14.747999,0.9560556
0G3,9.1,8,lCb,12.893001,-0.667767
0G3,9.1,8,lCb,13.926,0.13767986
0G3,9.1,8,lCb,11.173,-1.7779257
0G3,9.1,8,lCb,13.325999,-0.21477841
0G3,9.1,8,lCb,10.384001,-2.6662865
0G3,9.1,8,lCb,14.661,0.9229277
0G3,9.1,8,lCb,12.037999,-1.3987755
0G3,9.1,8,lCb,12.143001,-1.1881095
74K,20.81,8,lCb,13.939,0.49329284
82V,16.01,8,lCb,14.335001,0.70999485
82V,16.01,8,lCb,10.316,-2.3892448
56K,19.93,8,lCb,14.784999,0.96629447
56K,19.93,8,lCb,15.830999,1.754038
43N,17.0,8,lCb,14.869,1.1346215
43N,17.0,8,lCb,16.107,2.1441948
43N,17.0,8,lCb,14.216001,0.44333872
43N,17.0,8,lCb,16.749998,2.5169823
43N,17.0,8,lCb,15.545,1.6903728
43N,17.0,8,lCb,17.0,2.6085505
43N,17.0,8,lCb,17.0,3.0048442
43N,17.0,8,lCb,17.0,2.526276
43N,17.0,8,lCb,14.492,0.67782503
43N,17.0,8,lCb,14.931,1.0751477
43N,17.0,8,lCb,17.0,2.6852074
43N,17.0,8,lCb,17.092999,2.778008
43N,17.0,8,lCb,16.378,2.0930603
43N,17.0,8,lCb,15.036,1.2503532
43N,17.0,8,lCb,14.874001,1.0424955
43N,17.0,8,lCb,15.426999,1.3784548
43N,17.0,8,lCb,16.327,2.5549073
43N,17.0,8,lCb,16.805,2.7762048
43N,17.0,8,lCb,15.2230015,1.188297
0B9,12.11,8,lCb,12.128,-1.3484129
0B9,12.11,8,lCb,10.578,-1.8879592
0B9,12.11,8,lCb,12.106999,-1.3017405
0B9,12.11,8,lCb,14.809,1.1089888
0B9,12.11,8,lCb,12.95,-0.5512207
8C9,12.12,8,lCb,12.492001,-0.90448743
2C6,14.03,8,lCb,12.381,-0.96972144
3E4,11.99,8,lCb,13.313001,-0.2586689
4S3,3.18,8,lCb,10.174,-2.9251235
3R7,3.32,8,lCb,9.284,-3.4430153
37V,15.07,8,lCb,11.271,-1.8550777
6D9,13.11,8,lCb,10.889,-2.0693636
3R7,3.32,8,lCb,12.633,-0.82101434
2S2,6.31,8,lCb,12.936,-0.5905033
3K1,9.01,8,lCb,14.232,0.7558486
3K1,9.01,8,lCb,13.023001,-0.58627516
55R,14.97,8,lCb,12.899,-0.754671
3D1,13.11,8,lCb,15.343,1.4766504
3T5,5.12,8,lCb,11.073,-2.3251214
1G8,7.88,8,lCb,13.625,-0.042600587
1G8,7.88,8,lCb,13.115001,-0.44671765
1G8,7.88,8,lCb,13.495,-0.11895643
1G8,7.88,8,lCb,13.55,-0.08385927
5R4,6.25,8,lCb,11.879001,-1.0571992
98V,16.03,8,lCb,13.103999,-0.32164484
98V,16.03,8,lCb,14.468,0.7578101
50P,15.59,8,lCb,12.889,-0.5302024
50P,15.59,8,lCb,13.986,0.22056536
50P,15.59,8,lCb,11.715,-1.2756971
50P,15.59,8,lCb,15.823,1.6752446
7M4,8.15,8,lCb,10.574999,-2.3192425
97R,17.93,8,lCb,13.4279995,-0.1513167
97R,17.93,8,lCb,14.195,0.69360614
97R,17.93,8,lCb,14.900999,1.0135245
8B3,13.09,8,lCb,13.748001,0.14493963
97R,17.93,8,lCb,14.414999,0.68261045
43N,17.0,8,lCb,14.452001,0.6416381
43N,17.0,8,lCb,17.0,2.7511904
43N,17.0,8,lCb,17.066998,2.558247
43N,17.0,8,lCb,15.392001,1.3411543
43N,17.0,8,lCb,15.57,1.6096144
43N,17.0,8,lCb,14.469999,0.8053582
43N,17.0,8,lCb,14.704999,0.9699024
4J6,7.15,8,lCb,9.622999,-2.9513524
4J6,7.15,8,lCb,10.948999,-1.8736175
4J6,7.15,8,lCb,10.974999,-1.8508812
4J6,7.15,8,lCb,9.387,-3.0833163
4J6,7.15,8,lCb,12.548999,-0.7977556
6L4,8.2,8,lCb,11.67,-1.3367299
41N,16.74,8,lCb,13.19,-0.18124573
41N,16.74,8,lCb,15.1449995,1.3141885
41N,16.74,8,lCb,16.944,2.441121
2I1,10.27,8,lCb,13.348999,-0.224713
2I1,10.27,8,lCb,14.408,0.7675586
7F0,11.2,8,lCb,10.979,-1.9275907
0G3,9.1,8,lCb,12.763,-0.7638033
0G3,9.1,8,lCb,13.928001,0.21053939
0G3,9.1,8,lCb,14.423001,0.72782135
0G3,9.1,8,lCb,12.622,-0.79232365
0G3,9.1,8,lCb,10.242,-2.8313947
82V,16.01,8,lCb,13.225,-0.272403
82V,16.01,8,lCb,14.276001,0.51231396
43N,17.0,8,lCb,15.492999,1.4938873
43N,17.0,8,lCb,14.719,1.1170048
43N,17.0,8,lCb,16.462002,2.3409543
43N,17.0,8,lCb,14.957001,1.1135055
43N,17.0,8,lCb,17.255999,3.4928586
43N,17.0,8,lCb,17.0,2.795786
43N,17.0,8,lCb,16.157999,2.0640943
43N,17.0,8,lCb,16.122,2.2078216
43N,17.0,8,lCb,17.0,2.8373673
43N,17.0,8,lCb,15.1710005,1.271499
43N,17.0,8,lCb,17.0,2.991535
43N,17.0,8,lCb,17.092999,2.890125
43N,17.0,8,lCb,17.0,2.9132595
43N,17.0,8,lCb,16.386,2.0393977
43N,17.0,8,lCb,16.277,2.2855778
43N,17.0,8,lCb,15.33,1.3839179
43N,17.0,8,lCb,12.816999,-0.58844054
43N,17.0,8,lCb,15.714999,1.5644221
43N,17.0,8,lCb,14.8880005,1.15235
0B9,12.11,8,lCb,13.153999,-0.26887816
0B9,12.11,8,lCb,12.223,-1.2236205
0B9,12.11,8,lCb,12.548,-0.6997353
0B9,12.11,8,lCb,13.259999,-0.15233989
0B9,12.11,8,lCb,13.023001,-0.46890992
2C6,14.03,8,lCb,11.466,-1.8387668
8I6,9.9,8,lCb,13.011,-0.29730943
4S3,3.18,8,lCb,10.039,-3.0214553
37V,15.07,8,lCb,13.913999,0.15224794
37V,15.07,8,lCb,11.660001,-1.5559663
3D1,13.11,8,lCb,12.756001,-0.6555275
37V,15.07,8,lCb,12.256,-1.2025692
55R,14.97,8,lCb,14.353,0.44701406
55R,14.97,8,lCb,11.674,-1.545318
1G8,7.88,8,lCb,9.306,-3.1495247
98V,16.03,8,lCb,12.072,-1.4943061
50P,15.59,8,lCb,15.667,1.8976803
50P,15.59,8,lCb,11.157,-1.9752052
50P,15.59,8,lCb,14.422,0.71799594
50P,15.59,8,lCb,14.089,0.486426
50P,15.59,8,lCb,12.009,-1.1399224
50P,15.59,8,lCb,13.826001,0.21146683
50P,15.59,8,lCb,13.245,-0.23792194
50P,15.59,8,lCb,13.657001,0.15744627
7M4,8.15,8,lCb,14.801001,1.1627877
97R,17.93,8,lCb,14.746,0.904871
8B3,13.09,8,lCb,12.076,-1.1112521
8B3,13.09,8,lCb,10.287,-2.8574433
2T6,5.18,8,lCb,14.181999,0.37160805
31S,17.0,8,lCb,15.205,1.3047945
2F2,11.04,8,lCb,12.033999,-1.393524
97R,17.93,8,lCb,15.333,1.6253899
82V,16.01,8,lCb,14.43,0.5599125
43N,17.0,8,lCb,15.3949995,1.3662074
43N,17.0,8,lCb,15.702001,1.70053
43N,17.0,8,lCb,15.442999,1.596697
43N,17.0,8,lCb,14.104001,0.26682404
4J6,7.15,8,lCb,10.0789995,-2.7187066
4J6,7.15,8,lCb,9.472001,-3.6223888
6L4,8.2,8,lCb,12.668001,-1.0549101
41N,16.74,8,lCb,14.323,0.63123333
41N,16.74,8,lCb,13.119,-0.32055277
41N,16.74,8,lCb,12.852,-0.6516374
41N,16.74,8,lCb,14.770999,1.2456989
2I1,10.27,8,lCb,12.763,-0.78793025
7F0,11.2,8,lCb,11.908,-1.2044315
0G3,9.1,8,lCb,11.947,-1.3617536
0G3,9.1,8,lCb,10.969001,-2.3069136
0G3,9.1,8,lCb,8.503,-4.083801
0G3,9.1,8,lCb,9.971001,-2.9045808
0G3,9.1,8,lCb,11.903,-1.5230017
74K,20.81,8,lCb,13.283999,-0.24386339
56K,19.93,8,lCb,15.521998,1.3978273
43N,17.0,8,lCb,14.108999,0.50208694
43N,17.0,8,lCb,16.807001,2.4982486
43N,17.0,8,lCb,17.028,2.5604172
43N,17.0,8,lCb,16.185001,2.146367
43N,17.0,8,lCb,15.01,1.3049183
43N,17.0,8,lCb,12.164,-1.0548513
43N,17.0,8,lCb,16.896,2.6065602
43N,17.0,8,lCb,16.973999,2.7805731
43N,17.0,8,lCb,14.736002,0.9984454
43N,17.0,8,lCb,16.403,2.4720848
43N,17.0,8,lCb,14.578,0.8515311
43N,17.0,8,lCb,16.901,2.9805257
43N,17.0,8,lCb,14.757998,1.0472655
43N,17.0,8,lCb,16.42,2.354233
43N,17.0,8,lCb,15.01,1.1243905
43N,17.0,8,lCb,16.536,2.3328745
43N,17.0,8,lCb,12.375001,-1.1513672
43N,17.0,8,lCb,14.673999,0.7685353
0B9,12.11,8,lCb,13.573,-0.12595472
0B9,12.11,8,lCb,13.065999,-0.5163807
2C6,14.03,8,lCb,14.562001,0.70402616
3E4,11.99,8,lCb,12.842,-0.74559414
8I6,9.9,8,lCb,10.689,-2.3877356
4S3,3.18,8,lCb,14.244,0.5110505
3R7,3.32,8,lCb,10.026999,-2.9863331
6D9,13.11,8,lCb,14.580999,0.8694539
3R7,3.32,8,lCb,12.205,-1.255378
37V,15.07,8,lCb,13.157001,-0.3629119
37V,15.07,8,lCb,13.738001,0.04341957
37V,15.07,8,lCb,15.083,1.310499
55R,14.97,8,lCb,12.676,-0.8231835
3D1,13.11,8,lCb,15.461001,1.6648691
3D1,13.11,8,lCb,15.014,1.123469
3D1,13.11,8,lCb,14.4539995,0.43089697
3D1,13.11,8,lCb,14.656,0.84828055
2F2,11.04,8,lCb,12.914999,-0.6772283
50P,15.59,8,lCb,14.617,0.76734906
50P,15.59,8,lCb,14.134,0.525596
50P,15.59,8,lCb,15.726001,1.9941121
50P,15.59,8,lCb,16.235,2.1100018
50P,15.59,8,lCb,14.163,0.5333617
50P,15.59,8,lCb,12.038,-1.1227171
7M4,8.15,8,lCb,13.988001,0.37047145
97R,17.93,8,lCb,11.655,-1.5171893
97R,17.93,8,lCb,17.929998,3.4396539
97R,17.93,8,lCb,10.494,-2.4320362
97R,17.93,8,lCb,15.0130005,1.0689847
8B3,13.09,8,lCb,13.494,-0.08445381
42T,15.96,8,lCb,13.566,0.02544178
31S,17.0,8,lCb,12.412001,-1.0079376
46Z,13.97,8,lCb,14.189,0.68725604
2F2,11.04,8,lCb,12.143,-1.4013387
97R,17.93,8,lCb,15.3619995,1.2910756
82V,16.01,8,lCb,15.627001,1.542127
82V,16.01,8,lCb,13.0,-0.3795137
43N,17.0,8,lCb,13.542999,0.022867503
43N,17.0,8,lCb,16.014,1.9053262
5H6,11.03,8,lCb,14.386999,0.81197345
4J6,7.15,8,lCb,11.969,-1.2084764
4J6,7.15,8,lCb,10.077,-3.0086489
4J6,7.15,8,lCb,10.054999,-2.941318
4J6,7.15,8,lCb,13.521001,-0.10411892
6L4,8.2,8,lCb,13.751001,0.116271995
6L4,8.2,8,lCb,11.504,-1.7765539
41N,16.74,8,lCb,11.429,-1.8328693
41N,16.74,8,lCb,14.119,0.5654199
41N,16.74,8,lCb,14.066999,0.42505702
41N,16.74,8,lCb,12.721001,-0.68246096
1L1,8.17,8,lCb,10.867,-1.9782907
7F0,11.2,8,lCb,12.163,-0.9557784
0G3,9.1,8,lCb,9.189,-3.6441026
0G3,9.1,8,lCb,12.299,-1.1132463
0G3,9.1,8,lCb,10.852,-2.1835172
0G3,9.1,8,lCb,11.916,-1.3420609
0G3,9.1,8,lCb,11.799001,-1.4648725
0G3,9.1,8,lCb,12.858,-0.66998774
43N,17.0,8,lCb,12.76,-0.6928221
43N,17.0,8,lCb,14.918001,1.2140548
43N,17.0,8,lCb,13.973,0.2163052
43N,17.0,8,lCb,15.907001,1.9549268
43N,17.0,8,lCb,17.0,2.741912
43N,17.0,8,lCb,15.735001,1.5958666
43N,17.0,8,lCb,17.0,2.9864793
43N,17.0,8,lCb,17.0,2.5015795
43N,17.0,8,lCb,15.210001,1.0648537
43N,17.0,8,lCb,16.859,2.9613495
43N,17.0,8,lCb,15.179001,1.2652483
43N,17.0,8,lCb,17.0,2.9016821
43N,17.0,8,lCb,17.0,2.6738288
43N,17.0,8,lCb,13.953,0.18367206
43N,17.0,8,lCb,15.732999,1.5712959
43N,17.0,8,lCb,14.200999,0.5520928
43N,17.0,8,lCb,11.746,-1.5782021
43N,17.0,8,lCb,14.466001,0.49113184
43N,17.0,8,lCb,14.396001,0.6083796
43N,17.0,8,lCb,15.214999,1.3676239
0B9,12.11,8,lCb,13.825,0.23035687
8I6,9.9,8,lCb,14.518001,0.68956906
4S3,3.18,8,lCb,15.332001,1.5068843
3D1,13.11,8,lCb,13.732,0.005749172
6D9,13.11,8,lCb,14.478,0.92157423
6D9,13.11,8,lCb,13.565999,0.03138129
8M0,8.12,8,lCb,13.592999,-0.10096593
2S2,6.31,8,lCb,11.731999,-1.8216013
3K1,9.01,8,lCb,12.340001,-1.0634986
3K1,9.01,8,lCb,13.075,-0.42337793
56R,14.95,8,lCb,12.4,-1.1825515
56R,14.95,8,lCb,12.985001,-0.49551305
55R,14.97,8,lCb,14.085001,0.5854755
55R,14.97,8,lCb,15.5,1.4141701
3D1,13.11,8,lCb,14.031,0.41571105
1G8,7.88,8,lCb,14.217999,0.5600643
1G8,7.88,8,lCb,14.621,0.88365287
98V,16.03,8,lCb,11.882001,-1.2766018
50P,15.59,8,lCb,13.379,-0.28365204
50P,15.59,8,lCb,10.136,-2.8123102
50P,15.59,8,lCb,11.506999,-1.9788207
50P,15.59,8,lCb,13.090001,-0.29658446
50P,15.59,8,lCb,13.811999,0.059205666
50P,15.59,8,lCb,14.234001,0.5827817
50P,15.59,8,lCb,11.544,-1.7548718
50P,15.59,8,lCb,14.356,0.4874999
50P,15.59,8,lCb,15.206999,1.3357167
7M4,8.15,8,lCb,12.95,-0.5574004
97R,17.93,8,lCb,10.492,-2.281084
97R,17.93,8,lCb,15.686999,1.7196685
42T,15.96,8,lCb,15.536,1.4201481
42T,15.96,8,lCb,15.356,1.2829088
42T,15.96,8,lCb,13.251999,-0.40487036
5R4,6.25,8,lCb,15.479999,1.4472716
97R,17.93,8,lCb,14.650999,0.78065884
97R,17.93,8,lCb,16.416,2.1009243
42T,15.96,8,lCb,14.535001,0.8424544
1L1,8.17,8,lCb,15.49,1.3904207
7F0,11.2,8,lCb,13.405001,-0.07415479
7F0,11.2,8,lCb,12.147,-1.0175883
74K,20.81,8,lCb,12.858,-0.56813425
43N,17.0,8,lCb,16.781,2.5095475
43N,17.0,8,lCb,14.314,0.7593753
3E4,11.99,8,lCb,12.566,-0.9955417
3E4,11.99,8,lCb,15.703,1.7953758
4J6,7.15,8,lCb,12.329,-1.007072
4J6,7.15,8,lCb,9.465001,-2.6548643
4J6,7.15,8,lCb,7.658,-4.5684385
4J6,7.15,8,lCb,13.351001,-0.13100132
4J6,7.15,8,lCb,11.151,-2.1806238
4J6,7.15,8,lCb,11.168,-2.1618803
6L4,8.2,8,lCb,12.462,-1.1113516
41N,16.74,8,lCb,13.33,-0.019645022
41N,16.74,8,lCb,13.813998,0.1620998
41N,16.74,8,lCb,15.143,1.1495348
41N,16.74,8,lCb,15.224001,1.2938535
2I1,10.27,8,lCb,12.361,-0.77588564
1L1,8.17,8,lCb,14.543001,0.7968628
2V1,4.3,8,lCb,10.574,-2.7666907
7F0,11.2,8,lCb,12.370001,-1.2361265
7F0,11.2,8,lCb,13.008,-0.5641716
0G3,9.1,8,lCb,14.079,0.40433463
0G3,9.1,8,lCb,10.567,-2.2997272
0G3,9.1,8,lCb,12.884,-0.65544015
0G3,9.1,8,lCb,10.955999,-2.5630813
0G3,9.1,8,lCb,12.782,-0.64485705
0G3,9.1,8,lCb,11.0910015,-1.9902583
0G3,9.1,8,lCb,12.506,-0.8821117
74K,20.81,8,lCb,13.742,0.1495693
74K,20.81,8,lCb,14.537,0.59907055
82V,16.01,8,lCb,15.539999,1.6310033
56K,19.93,8,lCb,13.174001,-0.35774666
43N,17.0,8,lCb,14.460001,0.788753
43N,17.0,8,lCb,15.109999,1.334067
43N,17.0,8,lCb,14.383,0.5991719
43N,17.0,8,lCb,16.973999,2.8642879
43N,17.0,8,lCb,16.896,2.648269
43N,17.0,8,lCb,17.0,2.9539561
43N,17.0,8,lCb,17.0,2.7442317
43N,17.0,8,lCb,15.414999,1.2446834
0B9,12.11,8,lCb,13.361,-0.42002892
2C6,14.03,8,lCb,12.378,-1.0427511
2C6,14.03,8,lCb,13.7,-0.018641097
3E4,11.99,8,lCb,16.468,2.0853236
8I6,9.9,8,lCb,12.9210005,-0.40228274
8I6,9.9,8,lCb,12.887999,-0.61851996
4S3,3.18,8,lCb,13.115999,-0.29990146
4S3,3.18,8,lCb,13.148,-0.47995374
4S3,3.18,8,lCb,12.682001,-0.90073246
3K1,9.01,8,lCb,10.966,-2.4767957
3D1,13.11,8,lCb,10.077001,-3.0903685
1G8,7.88,8,lCb,14.011,0.39590108
1G8,7.88,8,lCb,9.036,-3.30877
1G8,7.88,8,lCb,14.092,0.3774952
37V,15.07,8,lCb,9.907,-2.942094
8M0,8.12,8,lCb,14.235001,0.36148947
3K1,9.01,8,lCb,14.6050005,0.7410785
3D1,13.11,8,lCb,13.773999,0.22036709
1G8,7.88,8,lCb,12.743,-0.6344363
2F2,11.04,8,lCb,14.962999,1.0927099
2F2,11.04,8,lCb,13.974001,0.41311985
50P,15.59,8,lCb,15.747,1.7649207
50P,15.59,8,lCb,12.884,-0.75642496
