louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,173,37,11.826155968786127,0.24399131208092484,1.563992941498341,0.2416,0.1498,0.231,0.169
3,210,49,11.36125708857143,0.26570313237476184,0.9796309559112779,-0.0991,0.4979,-0.0876,0.5494
4,312,32,10.340589821474358,-0.31252407371474356,1.6023172221281092,0.5945,0.0003,0.5876,0.0004
5,187,41,10.829759326737967,0.07048543631925129,0.9636925618262888,0.124,0.44,0.1174,0.4647
6,1569,50,9.94350147839388,-0.2317596999593754,1.309470498200351,0.5328,0.0001,0.5247,0.0001
14,106,36,10.269037819811322,-0.021016348877358506,1.0753821755301531,0.419,0.011,0.4334,0.0083
16,887,51,9.933854508455466,-0.3487990053890643,1.1954842779219688,0.3792,0.0061,0.3932,0.0043
19,131,30,10.110534333587786,-0.1879892818206107,1.173886226965351,-0.1557,0.4114,-0.1407,0.4584
20,1665,34,9.949939796576578,-0.057377525838258246,1.9617613834008754,0.3156,0.0691,0.333,0.0543
22,1541,28,10.700410487475665,-0.00882827168153796,2.1445412439912537,0.5708,0.0015,0.5724,0.0015
23,1664,21,7.672139417487982,-0.05680508712457932,2.3247966673523495,0.5482,0.0101,0.5264,0.0142
24,1216,29,10.63238391274671,0.018001749190789472,2.286800650304396,0.4444,0.0157,0.448,0.0148
