animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2C6,14.03,0,HIP,13.445002,1.1340611
3D1,13.11,0,HIP,12.265,0.4762975
7F0,11.2,0,HIP,11.075999,-0.27804232
2S6,3.17,0,HIP,12.078001,0.48151264
42T,15.96,0,HIP,13.631,1.6570708
46Z,13.97,0,HIP,14.551999,2.3276987
77V,16.15,0,HIP,15.903,2.9647975
3R7,3.32,0,HIP,13.045,1.0190407
0B9,12.11,0,HIP,11.764,0.20832367
46Z,13.97,0,HIP,13.044001,1.3715962
31S,17.0,0,HIP,10.255,-0.76227355
0B9,12.11,0,HIP,11.9,0.27502966
1P5,6.21,0,HIP,10.554001,-0.47672635
3E4,11.99,0,HIP,11.932,0.40894583
46Z,13.97,0,HIP,14.083,2.008936
2S2,6.31,0,HIP,13.485001,1.7328377
5H6,11.03,0,HIP,10.580999,-0.50457406
50P,15.59,0,HIP,9.837999,-1.0830832
0G3,9.1,0,HIP,12.130999,0.60375834
2I1,10.27,0,HIP,12.343,0.47468236
56K,19.93,0,HIP,13.873001,1.4441686
46Z,13.97,0,HIP,13.941999,1.5663117
56K,19.93,0,HIP,13.941,1.8566961
4J6,7.15,0,HIP,12.047999,0.5218161
3D1,13.11,0,HIP,13.710001,1.6290069
2I1,10.27,0,HIP,14.804001,2.0582628
2F2,11.04,0,HIP,13.994,1.8363503
82V,16.01,0,HIP,12.401999,0.7499882
5R4,6.25,0,HIP,14.719999,2.0352035
77V,16.15,0,HIP,10.885,-0.3129825
2T2,4.09,0,HIP,10.644999,-0.59741163
2S6,3.17,0,HIP,15.699,2.9819117
46Z,13.97,0,HIP,11.775999,0.20961525
77V,16.15,0,HIP,11.444,0.007762518
1P5,6.21,0,HIP,12.739,0.9057237
5H6,11.03,0,HIP,12.998999,0.9055065
41N,16.74,0,HIP,14.2960005,2.020938
3D1,13.11,0,HIP,12.497,0.77460814
56R,14.95,0,HIP,10.988,-0.27727607
3T5,5.12,0,HIP,15.2699995,2.627658
3E4,11.99,0,HIP,12.906,1.0953497
8I6,9.9,0,HIP,11.903,0.1581115
5H6,11.03,0,HIP,11.282001,-0.051349487
56K,19.93,0,HIP,13.811,1.7848722
56R,14.95,0,HIP,12.087999,0.5569192
5R4,6.25,0,HIP,14.483999,2.0890622
8B3,13.09,0,HIP,10.668,-0.4550603
91O,15.86,0,HIP,13.7630005,1.9195123
77V,16.15,0,HIP,14.633,2.1508877
4Q6,3.22,0,HIP,11.452,0.078707
0B9,12.11,0,HIP,6.6309996,-3.3327935
91O,15.86,0,HIP,13.125,1.0526379
7M4,8.15,0,HIP,8.580999,-2.111008
82V,16.01,0,HIP,12.145,0.62222534
3T5,5.12,0,HIP,10.9279995,-0.26809198
8I6,9.9,0,HIP,8.137,-2.338424
46Z,13.97,0,HIP,12.167,0.40216976
8I6,9.9,0,HIP,10.014,-0.7593334
82V,16.01,0,HIP,13.165998,0.98764586
77V,16.15,0,HIP,13.615,1.3899891
2S6,3.17,0,HIP,6.224,-3.3415172
77V,16.15,0,HIP,8.296,-2.014058
