animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
56R,14.95,13,mdTN,12.833,1.8620006
55R,14.97,13,mdTN,10.851999,0.9693962
1G8,7.88,13,mdTN,4.793,-2.8732018
6O7,6.03,13,mdTN,8.296,-0.75732934
55R,14.97,13,mdTN,11.629,1.241357
5R4,6.25,13,mdTN,7.4769998,-1.3322451
82V,16.01,13,mdTN,9.989,0.30699897
6O7,6.03,13,mdTN,9.705,0.23026472
2S6,3.17,13,mdTN,6.9940004,-1.5625273
56R,14.95,13,mdTN,9.938,0.30727276
5R4,6.25,13,mdTN,9.025001,-0.49736574
42T,15.96,13,mdTN,13.446001,2.342768
4Q6,3.22,13,mdTN,11.066,0.97872895
4S3,3.18,13,mdTN,9.486,0.07413814
42T,15.96,13,mdTN,12.568,1.8131706
82V,16.01,13,mdTN,12.323999,1.7315146
1T9,4.11,13,mdTN,4.6140003,-3.2419803
2Q0,3.21,13,mdTN,4.452,-3.3324769
1G8,7.88,13,mdTN,7.91,-1.2835042
5R4,6.25,13,mdTN,6.436,-1.980689
5R4,6.25,13,mdTN,10.226999,0.50280553
97R,17.93,13,mdTN,14.089999,2.72129
77V,16.15,13,mdTN,9.816,0.12097466
55R,14.97,13,mdTN,14.098,2.9062812
55R,14.97,13,mdTN,10.9210005,0.7389121
5R4,6.25,13,mdTN,5.706,-2.1863031
5R4,6.25,13,mdTN,7.407,-1.3159778
5R4,6.25,13,mdTN,9.245,-0.36610025
1V8,4.31,13,mdTN,9.895,0.2436886
2V1,4.3,13,mdTN,7.0269995,-1.7419585
55R,14.97,13,mdTN,12.620001,1.7006053
4Q6,3.22,13,mdTN,12.938001,2.3264291
55R,14.97,13,mdTN,13.330999,2.8704503
7F0,11.2,13,mdTN,8.207,-0.7558853
1G8,7.88,13,mdTN,6.668,-1.7460811
3T5,5.12,13,mdTN,11.934,1.1840694
2F2,11.04,13,mdTN,9.924001,0.19151492
5R4,6.25,13,mdTN,9.565001,-0.0075692195
7M4,8.15,13,mdTN,10.48,0.6705961
42T,15.96,13,mdTN,12.629,1.8832984
2C6,14.03,13,mdTN,7.047,-1.5969871
55R,14.97,13,mdTN,10.207,0.34507865
3E4,11.99,13,mdTN,5.992,-2.0344296
1G8,7.88,13,mdTN,10.5529995,0.64006144
3R7,3.32,13,mdTN,9.583,0.10350204
5R4,6.25,13,mdTN,6.25,-2.227252
97R,17.93,13,mdTN,16.139,4.4387984
5R4,6.25,13,mdTN,10.261,0.3892105
7F0,11.2,13,mdTN,12.311,1.5631427
8I6,9.9,13,mdTN,11.912,1.5104778
1L1,8.17,13,mdTN,5.4789996,-2.5875022
3E4,11.99,13,mdTN,13.091001,2.1558867
2S6,3.17,13,mdTN,10.631,0.6217531
4S3,3.18,13,mdTN,6.217,-2.243764
5R4,6.25,13,mdTN,6.222,-1.919982
4Q6,3.22,13,mdTN,10.59,0.6278144
5R4,6.25,13,mdTN,10.4210005,0.60674894
1G8,7.88,13,mdTN,6.031,-2.102739
56R,14.95,13,mdTN,12.384999,1.871504
1G8,7.88,13,mdTN,13.579,2.5501883
5R4,6.25,13,mdTN,7.4309998,-1.2949373
7M4,8.15,13,mdTN,10.227999,0.5748739
