animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
7M4,8.15,15,MB,8.269,0.126728
1P5,6.21,15,MB,8.040999,-0.17296663
2Q0,3.21,15,MB,6.0889997,-1.4197683
91O,15.86,15,MB,10.098,0.9888855
1P5,6.21,15,MB,4.71,-2.2124958
2S6,3.17,15,MB,7.533,-0.3923678
42T,15.96,15,MB,7.3200006,-0.47282115
43N,17.0,15,MB,10.886999,1.839016
7F0,11.2,15,MB,9.978999,1.0708598
91O,15.86,15,MB,8.307,0.33372062
82V,16.01,15,MB,8.918,0.43122754
2S6,3.17,15,MB,7.458,-0.41301757
31S,17.0,15,MB,6.4799995,-1.0685189
3R7,3.32,15,MB,7.263999,-0.51692635
82V,16.01,15,MB,6.9410005,-0.8668293
2C6,14.03,15,MB,4.5730004,-2.3156497
2Q0,3.21,15,MB,5.571,-1.5858504
5R4,6.25,15,MB,11.601,2.076415
43N,17.0,15,MB,9.817999,1.2280128
1P5,6.21,15,MB,7.75,-0.19379994
2S6,3.17,15,MB,6.9779997,-0.7665804
1T9,4.11,15,MB,8.811,0.67472786
4S3,3.18,15,MB,7.6489997,-0.23998994
43N,17.0,15,MB,6.249,-1.1900429
3T5,5.12,15,MB,8.735,0.35430616
43N,17.0,15,MB,10.023,1.8527333
31S,17.0,15,MB,10.196,1.4506195
4J6,7.15,15,MB,5.537,-1.4788616
4S3,3.18,15,MB,7.544,-0.47876543
5R4,6.25,15,MB,9.401999,0.6948831
2S2,6.31,15,MB,7.715,-0.33232668
7M4,8.15,15,MB,5.6780005,-1.5495834
2Q0,3.21,15,MB,5.358,-1.7253083
5R4,6.25,15,MB,9.311,0.74251306
2Q0,3.21,15,MB,6.053,-1.3251787
2Q0,3.21,15,MB,5.995,-1.2364503
4S3,3.18,15,MB,9.013,0.43809927
2C6,14.03,15,MB,12.078001,2.2304363
2Q0,3.21,15,MB,5.188,-1.9207479
5R4,6.25,15,MB,11.962,2.5716977
2Q0,3.21,15,MB,9.119,0.5946075
2Q0,3.21,15,MB,9.004999,0.64541554
7M4,8.15,15,MB,5.071,-1.7747972
1P5,6.21,15,MB,6.3859997,-1.2057319
7F0,11.2,15,MB,5.85,-1.4692616
5R4,6.25,15,MB,8.076,-0.053913012
1T9,4.11,15,MB,6.866,-0.83551073
7M4,8.15,15,MB,5.9620004,-1.3587549
1P5,6.21,15,MB,8.503,0.2873871
1P5,6.21,15,MB,10.393999,1.6771156
3R7,3.32,15,MB,5.8669996,-1.4449655
0G3,9.1,15,MB,8.507999,0.422482
82V,16.01,15,MB,7.3270006,-0.5551508
43N,17.0,15,MB,6.657,-1.0980843
2S6,3.17,15,MB,9.196,0.7801728
3E4,11.99,15,MB,11.279,2.1086223
1P5,6.21,15,MB,9.795,1.1390213
5R4,6.25,15,MB,7.6400003,-0.50223124
4S3,3.18,15,MB,9.1189995,0.8108466
4S3,3.18,15,MB,8.308001,0.042571366
0G3,9.1,15,MB,10.190001,1.4106163
4S3,3.18,15,MB,11.082,2.134809
4S3,3.18,15,MB,8.299,0.11940855
4S3,3.18,15,MB,4.194,-2.4807875
4Q6,3.22,15,MB,8.184999,0.09445622
1P5,6.21,15,MB,8.127,0.07133047
2S2,6.31,15,MB,8.8029995,0.57589674
82V,16.01,15,MB,11.167001,2.3637567
6O7,6.03,15,MB,8.6,0.3498597
4Q6,3.22,15,MB,4.576,-2.5426395
1P5,6.21,15,MB,6.0849996,-1.2760836
1P5,6.21,15,MB,9.0199995,0.67276156
1P5,6.21,15,MB,9.311999,0.7021687
2Q0,3.21,15,MB,5.982,-1.1714456
2Q0,3.21,15,MB,7.554,-0.3979534
8M0,8.12,15,MB,10.59,1.8463808
6O7,6.03,15,MB,6.5839996,-1.0974488
2S2,6.31,15,MB,9.030001,0.57194704
7M4,8.15,15,MB,6.1659994,-1.4562707
1P5,6.21,15,MB,4.71,-2.3664858
98V,16.03,15,MB,8.628,0.3520198
2Q0,3.21,15,MB,10.87,1.9693683
1P5,6.21,15,MB,10.499999,1.4618098
2Q0,3.21,15,MB,10.46,1.6401728
2S6,3.17,15,MB,8.832,0.37145224
3T5,5.12,15,MB,8.356,0.1384691
1P5,6.21,15,MB,6.814,-0.73448896
3T5,5.12,15,MB,6.361,-1.1921673
2S2,6.31,15,MB,7.8199997,-0.34710553
1P5,6.21,15,MB,5.0099998,-2.181221
0B9,12.11,15,MB,10.825999,1.5378357
2Q0,3.21,15,MB,5.271,-1.8436527
42T,15.96,15,MB,11.584001,2.1224442
2Q0,3.21,15,MB,5.3809996,-1.5323954
4S3,3.18,15,MB,7.2479997,-0.63898677
2Q0,3.21,15,MB,9.881,1.2232879
98V,16.03,15,MB,7.042,-0.9484051
2V1,4.3,15,MB,6.2050004,-1.1853743
5R4,6.25,15,MB,5.932,-1.3543162
2Q0,3.21,15,MB,8.882,0.64287764
2Q0,3.21,15,MB,5.0099998,-1.9833316
31S,17.0,15,MB,9.223999,0.6658489
31S,17.0,15,MB,8.7109995,0.664294
2S6,3.17,15,MB,8.691,0.33311468
1P5,6.21,15,MB,5.944,-1.2262424
4S3,3.18,15,MB,7.9539995,-0.13892713
2Q0,3.21,15,MB,8.026,-0.14221002
1P5,6.21,15,MB,6.689,-0.9110129
43N,17.0,15,MB,9.694,1.2939322
1T9,4.11,15,MB,8.421,0.16184439
6O7,6.03,15,MB,10.758,1.6974168
2Q0,3.21,15,MB,5.6099997,-1.4710295
2Q0,3.21,15,MB,6.5479994,-1.3411916
91O,15.86,15,MB,9.711,1.0373123
82V,16.01,15,MB,7.519,-0.29352435
1P5,6.21,15,MB,7.8529997,-0.08120679
0B9,12.11,15,MB,7.846999,-0.23825142
4S3,3.18,15,MB,5.869,-1.3833185
91O,15.86,15,MB,11.436,2.5395494
43N,17.0,15,MB,10.384001,1.7327495
2Q0,3.21,15,MB,11.244,2.1467195
3T5,5.12,15,MB,4.014,-2.9437208
43N,17.0,15,MB,7.324,-0.43694478
2Q0,3.21,15,MB,5.6099997,-1.6738995
2S2,6.31,15,MB,12.081,2.6216128
5R4,6.25,15,MB,6.0409994,-1.4266421
7M4,8.15,15,MB,8.415999,0.2740162
4Q6,3.22,15,MB,9.933,1.0269241
4Q6,3.22,15,MB,10.733,1.9505743
1P5,6.21,15,MB,9.224,0.638175
6O7,6.03,15,MB,7.4490004,-0.21206693
2Q0,3.21,15,MB,9.377001,0.61843365
1P5,6.21,15,MB,8.786,0.21197645
2Q0,3.21,15,MB,8.007,-0.14072227
1P5,6.21,15,MB,7.139,-0.6164961
2S2,6.31,15,MB,11.186,2.1869612
82V,16.01,15,MB,12.061,2.5984647
1P5,6.21,15,MB,5.6099997,-1.491079
5R4,6.25,15,MB,8.013,-0.18576503
7F0,11.2,15,MB,6.2510004,-1.4041855
43N,17.0,15,MB,10.501,1.4652404
2C6,14.03,15,MB,4.606,-2.3876123
1P5,6.21,15,MB,5.31,-1.8125888
43N,17.0,15,MB,9.586,1.1453819
7F0,11.2,15,MB,7.8459997,-0.32850397
43N,17.0,15,MB,8.993,0.84255326
0G3,9.1,15,MB,9.018001,0.51033604
82V,16.01,15,MB,9.308001,0.97148776
4Q6,3.22,15,MB,10.927,1.8015198
1P5,6.21,15,MB,5.841,-1.4199035
42T,15.96,15,MB,9.615,1.0254121
3E4,11.99,15,MB,7.342,-0.48738435
1P5,6.21,15,MB,7.532,-0.46818274
2Q0,3.21,15,MB,8.33,0.4207633
2Q0,3.21,15,MB,4.3030005,-2.1453469
8M0,8.12,15,MB,10.620001,1.3622402
3T5,5.12,15,MB,9.82,1.3238559
5R4,6.25,15,MB,7.8970003,-0.0036058386
1P5,6.21,15,MB,9.791,1.0102803
2Q0,3.21,15,MB,9.198999,0.669066
5R4,6.25,15,MB,7.4479995,-0.55430686
6L4,8.2,15,MB,11.99,2.3004436
