animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3D1,13.11,16,CN,11.527999,-0.25541773
97R,17.93,16,CN,10.973001,-0.46894175
1V8,4.31,16,CN,13.372999,1.1261714
1T9,4.11,16,CN,10.257,-0.9590783
1G8,7.88,16,CN,12.663,0.6157409
43N,17.0,16,CN,10.404001,-0.90558755
6O7,6.03,16,CN,11.898001,-0.018116392
1P5,6.21,16,CN,7.832,-2.8069935
6D9,13.11,16,CN,11.5720005,-0.007244579
91O,15.86,16,CN,12.258,0.28110456
8C9,12.12,16,CN,10.591,-0.95039064
77V,16.15,16,CN,8.4279995,-2.4514642
37V,15.07,16,CN,13.526001,1.3561345
2I1,10.27,16,CN,12.281,0.2675723
8C9,12.12,16,CN,11.307001,-0.30624405
1V8,4.31,16,CN,10.433001,-0.9541338
37V,15.07,16,CN,13.561,1.2869322
43N,17.0,16,CN,8.855,-2.3212762
43N,17.0,16,CN,9.7699995,-1.3587699
43N,17.0,16,CN,13.942999,1.429106
98V,16.03,16,CN,11.1050005,-0.51142275
82V,16.01,16,CN,8.567,-2.15247
8M0,8.12,16,CN,11.299001,-0.57199156
1P5,6.21,16,CN,8.203,-2.6581595
7M4,8.15,16,CN,12.357,0.75989383
46Z,13.97,16,CN,13.330999,1.1124845
4J6,7.15,16,CN,7.9630003,-2.6817057
3D1,13.11,16,CN,10.338,-1.0273883
8C9,12.12,16,CN,13.075,0.95342225
46Z,13.97,16,CN,12.148,0.23230581
8M0,8.12,16,CN,14.039,1.5863278
8M0,8.12,16,CN,13.051,0.79676145
97R,17.93,16,CN,11.886999,0.12203699
5H6,11.03,16,CN,13.05,0.936915
4Q6,3.22,16,CN,8.419,-3.0521533
7M4,8.15,16,CN,10.504999,-0.9687171
37V,15.07,16,CN,11.248,-0.34273514
74K,20.81,16,CN,8.939,-2.1005354
3D1,13.11,16,CN,9.141999,-1.8415794
98V,16.03,16,CN,10.775,-0.671725
56R,14.95,16,CN,12.355,0.25768378
43N,17.0,16,CN,13.275999,0.9169501
98V,16.03,16,CN,13.459,1.1963323
56R,14.95,16,CN,12.032999,0.16013782
4J6,7.15,16,CN,13.6519985,1.3047814
2T6,5.18,16,CN,9.104,-2.202545
55R,14.97,16,CN,10.178,-0.95828754
42T,15.96,16,CN,11.745,-0.06286205
77V,16.15,16,CN,11.585,-0.14534456
2I1,10.27,16,CN,8.611,-2.138699
2T2,4.09,16,CN,12.205999,0.35454452
2Q0,3.21,16,CN,8.906,-1.9111565
97R,17.93,16,CN,9.923,-1.4272718
2Q0,3.21,16,CN,10.929,-0.5152832
56K,19.93,16,CN,8.011999,-2.6160214
8M0,8.12,16,CN,12.743001,0.6753003
2Q0,3.21,16,CN,10.207999,-1.0438439
3D1,13.11,16,CN,9.797,-1.3201822
2F2,11.04,16,CN,10.977,-0.5627741
1G8,7.88,16,CN,9.290999,-1.9284508
8M0,8.12,16,CN,14.3,2.0480719
8M0,8.12,16,CN,14.166,1.7055912
56R,14.95,16,CN,8.811,-2.113573
43N,17.0,16,CN,11.621,-0.24204125
42T,15.96,16,CN,14.536,1.7569168
77V,16.15,16,CN,10.33,-1.0622582
97R,17.93,16,CN,12.754,0.5220679
41N,16.74,16,CN,10.95,-0.46375152
74K,20.81,16,CN,12.712,0.62266827
55R,14.97,16,CN,13.489,1.1301388
8M0,8.12,16,CN,9.924,-1.3026347
98V,16.03,16,CN,13.936,1.4398953
2F2,11.04,16,CN,12.158,0.43320763
46Z,13.97,16,CN,11.214,-0.53151006
2I1,10.27,16,CN,9.241,-1.7098396
46Z,13.97,16,CN,11.711,-0.049331866
41N,16.74,16,CN,10.764,-0.7938393
55R,14.97,16,CN,9.459001,-1.7100397
6L4,8.2,16,CN,10.804,-0.6596275
0G3,9.1,16,CN,10.904001,-0.6096834
8M0,8.12,16,CN,11.997,0.101977356
2F2,11.04,16,CN,12.893001,0.71489024
8C9,12.12,16,CN,11.079,-0.5346201
0G3,9.1,16,CN,10.246,-1.0495018
8M0,8.12,16,CN,14.371,1.8665634
0G3,9.1,16,CN,13.956999,1.8385502
2Q0,3.21,16,CN,8.539,-2.4846523
8M0,8.12,16,CN,10.101999,-1.0837505
8C9,12.12,16,CN,11.064,-0.5549678
1P5,6.21,16,CN,13.997999,1.3705533
41N,16.74,16,CN,9.917,-1.416129
2S2,6.31,16,CN,11.58,-0.24219278
1G8,7.88,16,CN,9.414,-1.8034619
56R,14.95,16,CN,10.467,-1.0278883
77V,16.15,16,CN,10.669001,-0.6872579
42T,15.96,16,CN,12.474001,0.5258112
8C9,12.12,16,CN,9.399,-1.64197
5H6,11.03,16,CN,11.393,-0.16464081
8C9,12.12,16,CN,10.625001,-0.92051
2Q0,3.21,16,CN,9.700999,-1.3021642
56R,14.95,16,CN,12.636,0.5014574
56K,19.93,16,CN,10.337,-0.9517493
77V,16.15,16,CN,11.254,-0.63014
3D1,13.11,16,CN,12.689001,0.6198842
97R,17.93,16,CN,12.780001,0.7859679
42T,15.96,16,CN,13.113001,0.897878
8C9,12.12,16,CN,9.232,-2.4430778
77V,16.15,16,CN,12.403,0.48713994
1P5,6.21,16,CN,12.307,0.21192205
8C9,12.12,16,CN,12.097,0.2763182
8H2,10.13,16,CN,10.313001,-0.8663405
6D9,13.11,16,CN,11.154,-0.45619285
0G3,9.1,16,CN,10.861,-0.53894824
4J6,7.15,16,CN,8.563001,-2.0959852
2Q0,3.21,16,CN,11.478999,-0.26030973
1P5,6.21,16,CN,8.971,-1.8752991
8C9,12.12,16,CN,13.959,1.7995723
0G3,9.1,16,CN,11.505,-0.236212
0G3,9.1,16,CN,9.463999,-1.7144461
0G3,9.1,16,CN,11.606,-0.07232899
8C9,12.12,16,CN,12.243,0.18502973
74K,20.81,16,CN,10.391001,-0.93794125
55R,14.97,16,CN,9.328,-1.4954302
77V,16.15,16,CN,13.506999,1.1212807
5H6,11.03,16,CN,9.931,-1.2207906
41N,16.74,16,CN,8.610999,-2.2791183
56K,19.93,16,CN,9.507,-1.6762758
46Z,13.97,16,CN,13.034001,0.9514735
2Q0,3.21,16,CN,9.432,-1.5768498
5H6,11.03,16,CN,12.922,0.5863553
46Z,13.97,16,CN,12.559,0.61300117
41N,16.74,16,CN,11.106,-0.42981398
3D1,13.11,16,CN,11.35,-0.35099006
43N,17.0,16,CN,8.812,-2.0518832
55R,14.97,16,CN,8.847,-2.1976027
4J6,7.15,16,CN,13.625999,1.1292548
3D1,13.11,16,CN,12.219999,0.19087781
98V,16.03,16,CN,11.652,-0.069539174
41N,16.74,16,CN,11.792999,0.090874
42T,15.96,16,CN,13.56,1.1779761
8C9,12.12,16,CN,9.893,-1.2202626
42T,15.96,16,CN,12.801999,0.7241012
46Z,13.97,16,CN,13.462001,1.1607716
3D1,13.11,16,CN,9.128,-1.7417269
1G8,7.88,16,CN,10.167,-1.246683
