animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
31S,17.0,2,NAc,15.811999,3.1455972
43N,17.0,2,NAc,14.032,1.8327308
50P,15.59,2,NAc,11.976,0.32914037
31S,17.0,2,NAc,14.323,1.7800671
31S,17.0,2,NAc,10.853999,-0.33762884
2C6,14.03,2,NAc,14.157,2.0187476
2C6,14.03,2,NAc,12.611,0.72479284
3R7,3.32,2,NAc,12.281,0.30322474
8I6,9.9,2,NAc,13.691,1.6987389
7M4,8.15,2,NAc,11.407,-0.04981856
5R4,6.25,2,NAc,10.200999,-0.8779166
2I1,10.27,2,NAc,12.351,0.83798265
2C6,14.03,2,NAc,14.834999,2.2234442
2S6,3.17,2,NAc,10.573999,-0.57573503
0B9,12.11,2,NAc,14.058001,2.0278277
8I6,9.9,2,NAc,12.15,0.63502324
50P,15.59,2,NAc,12.872999,1.063714
50P,15.59,2,NAc,15.898999,3.1673522
31S,17.0,2,NAc,14.976,2.4053204
5R4,6.25,2,NAc,9.82,-1.2369181
50P,15.59,2,NAc,13.768,1.5888149
31S,17.0,2,NAc,13.695,1.642146
31S,17.0,2,NAc,15.671,2.900825
1T9,4.11,2,NAc,7.1240005,-2.996411
1T9,4.11,2,NAc,8.997,-2.1378388
50P,15.59,2,NAc,11.896999,0.2527959
31S,17.0,2,NAc,13.603999,1.8181885
0B9,12.11,2,NAc,10.905,-0.47330734
50P,15.59,2,NAc,11.466001,-0.078778684
50P,15.59,2,NAc,8.823,-1.8837441
2C6,14.03,2,NAc,13.135,1.0720509
50P,15.59,2,NAc,10.332,-0.8248388
50P,15.59,2,NAc,15.275,2.5697076
5R4,6.25,2,NAc,9.492,-1.2655139
8I6,9.9,2,NAc,12.761999,0.8678996
5R4,6.25,2,NAc,11.097,-0.5074175
2C6,14.03,2,NAc,12.250001,0.5266082
31S,17.0,2,NAc,15.233,2.9188795
1T9,4.11,2,NAc,10.692999,-0.6438899
31S,17.0,2,NAc,15.290001,2.6125417
7F0,11.2,2,NAc,10.955,-0.4429372
31S,17.0,2,NAc,13.425,1.2036072
2C6,14.03,2,NAc,12.139999,0.27309233
2C6,14.03,2,NAc,12.734,0.8528589
8I6,9.9,2,NAc,12.284,0.33646622
7M4,8.15,2,NAc,12.929998,1.2502522
31S,17.0,2,NAc,14.65,2.214566
82V,16.01,2,NAc,10.075,-0.9764275
50P,15.59,2,NAc,13.95,1.6790748
31S,17.0,2,NAc,15.686,3.3258028
2I1,10.27,2,NAc,15.941,2.9203014
82V,16.01,2,NAc,11.423999,-0.059055146
0B9,12.11,2,NAc,14.602999,2.1521733
5R4,6.25,2,NAc,10.954,-0.5182299
31S,17.0,2,NAc,15.189,2.6168404
8I6,9.9,2,NAc,12.964999,1.019211
5R4,6.25,2,NAc,7.106,-3.2145724
82V,16.01,2,NAc,15.055,2.7186177
0B9,12.11,2,NAc,14.806999,2.3829415
50P,15.59,2,NAc,14.259,1.6937149
31S,17.0,2,NAc,15.587,3.5060508
31S,17.0,2,NAc,11.785,0.33405685
8I6,9.9,2,NAc,9.258,-1.6552956
7M4,8.15,2,NAc,11.733999,0.18687661
31S,17.0,2,NAc,13.977,1.7772504
1T9,4.11,2,NAc,8.122,-2.270487
2C6,14.03,2,NAc,13.893,1.5457515
31S,17.0,2,NAc,12.617001,0.68421906
31S,17.0,2,NAc,13.825,1.5439166
31S,17.0,2,NAc,14.068001,2.0131488
7F0,11.2,2,NAc,13.462001,1.26242
82V,16.01,2,NAc,13.264999,1.2408795
2C6,14.03,2,NAc,13.165001,1.1396631
50P,15.59,2,NAc,13.837999,1.877956
31S,17.0,2,NAc,11.01,-0.38151383
2Q0,3.21,2,NAc,14.739,2.3501792
