louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,413,38,12.805670604116221,0.39376386738740926,1.7774707211587293,-0.116,0.4881,-0.1381,0.4083
1,165,24,13.069139175757575,0.395396266739394,1.4323715745142107,-0.1265,0.5558,-0.1635,0.4453
2,4440,52,10.698632854166666,0.13326177274462384,1.2551728531985469,0.5695,0.0,0.5664,0.0
3,1147,52,10.396300781517,0.005297542002092418,1.123336817318486,0.3041,0.0284,0.2929,0.0351
4,6180,52,10.606991050032363,-0.1146620540304327,1.3558589766256535,0.7182,0.0,0.7133,0.0
5,1430,40,10.034600029580421,0.056190865671538484,1.800011572843325,0.3779,0.0162,0.367,0.0198
6,1186,52,10.1320683232715,-0.07613831776740726,1.3703125300957157,0.1197,0.3981,0.1203,0.3954
8,189,29,11.575269671957676,0.2980548271798942,1.5867061559496483,0.2525,0.1863,0.2026,0.292
10,256,42,10.24782795625,0.0851215290296875,1.0610093424945457,0.034,0.8309,0.0615,0.6989
11,778,37,8.720560350385606,0.017584960916478123,1.6337270886501798,0.3389,0.0402,0.3473,0.0352
12,670,39,10.57816710358209,-0.20876378257611944,1.322517098573177,0.3194,0.0475,0.2951,0.0682
15,195,42,7.066964027692307,-0.20853194878615383,1.7756332399440204,0.2631,0.0924,0.2608,0.0953
17,635,27,9.750804857480315,-0.05754297919118111,1.4702714746087502,0.3498,0.0736,0.3524,0.0714
18,429,14,10.222305314685315,-0.2240510144832168,1.6634196618565202,0.5441,0.0443,0.5472,0.0429
19,468,31,8.855589774145297,0.18123713117735044,1.3846509816562482,0.4766,0.0067,0.4533,0.0104
20,552,37,10.05322102518116,-0.13613198167518115,1.1864774328477576,0.1313,0.4387,0.1367,0.4198
21,52672,52,10.883941548069183,0.07253070390590269,1.436330431549221,0.8481,0.0,0.8475,0.0
22,3635,51,11.103342221650617,0.20723332946578543,1.4146377563685923,0.6389,0.0,0.6385,0.0
23,7527,52,10.528029519091271,0.07958429476154529,1.1292716814867718,0.6461,0.0,0.6353,0.0
25,3626,51,7.993381894070601,-0.009765828413541093,1.1033550135774535,0.342,0.014,0.3174,0.0232
26,321,18,10.582429914953272,-0.08311172451339562,1.3892745206722663,0.0661,0.7945,0.0694,0.7843
27,822,52,9.95650741569343,-0.1686215534043796,1.0276420992659123,0.1561,0.2691,0.1461,0.3012
28,591,20,8.759328329103216,-0.08444444260930627,1.6505758588187591,0.3566,0.1227,0.3295,0.156
29,334,22,10.82450910958084,-0.0072554228113772415,1.2858293373527858,0.3274,0.137,0.3507,0.1096
30,202,26,9.558029815841584,-0.2289384717768317,1.0808415034665193,0.4012,0.0422,0.4156,0.0347
