louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
1,185,46,10.363416163783784,-0.07247877486486487,1.0747865717221337,-0.0932,0.5377,-0.0902,0.5511
2,476,44,11.48462825630252,-0.07275959404865545,1.034480428958931,-0.0409,0.792,-0.0441,0.7763
3,303,40,11.823755794059405,-0.008222041701650161,1.3563841774794265,0.1705,0.293,0.1792,0.2685
6,139,34,11.619453310791366,0.621848057676259,1.447881170465961,0.2109,0.2311,0.1982,0.2612
8,6213,48,8.885473622066636,-0.1492409788965614,1.2742500488037316,0.4456,0.0015,0.4475,0.0014
9,69620,52,9.929771427808102,0.13288108905563778,1.2356878360809607,0.7787,0.0,0.7791,0.0
10,18063,52,9.647852918014724,0.100012477776696,1.2742290332524397,0.6433,0.0,0.6451,0.0
11,22024,52,9.657724441005268,-0.009147129677358336,1.2520685393723148,0.8272,0.0,0.8273,0.0
12,1854,49,10.355204415318232,0.07196406039755125,1.100371419417838,0.3922,0.0053,0.3697,0.0089
13,686,30,5.4888846364431485,0.025227008946209918,1.1176737664448846,0.0575,0.7629,0.0523,0.7838
17,159,27,6.444666632704402,-0.5160751323773586,1.2258529635594657,0.5718,0.0018,0.5653,0.0021
20,150,19,11.944453840000001,0.527406708936,0.964523404474463,0.1593,0.5147,0.1397,0.5685
21,1127,51,10.455850043389528,0.02954894784392193,1.8475702611739215,0.3989,0.0037,0.398,0.0038
22,1519,48,10.021246885911784,-0.30017320516945356,1.407080173355224,0.3332,0.0207,0.3126,0.0305
23,1777,52,10.288896980135059,0.16223847285644344,1.0168493022683451,0.0809,0.5688,0.0822,0.5623
24,106,31,10.787028482075472,-0.20204313528301884,1.3369842900159254,0.3478,0.0552,0.3597,0.0468
27,424,45,8.701849070283018,0.14238676601179245,1.479084132778299,0.272,0.0707,0.274,0.0685
28,106,26,10.778132097169811,-0.2007009840377359,1.1551384572106675,0.3315,0.0981,0.3279,0.1019
29,111,20,10.587207474774779,0.8541342736846848,1.414121336324135,0.4397,0.0524,0.4629,0.0398
