louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,6471,52,11.104023112532838,0.155804520379983,1.69167542197275,0.8788,0.0,0.8785,0.0
1,2471,52,11.263914578470255,0.22488200070999595,1.11042387831497,0.639,0.0,0.6351,0.0
2,2619,52,10.713295161893852,0.10114771426379635,1.3085977562878548,0.7261,0.0,0.7194,0.0
3,8750,52,10.757354175485714,0.021801963737505148,1.2812119770749115,0.8125,0.0,0.81,0.0
5,2188,52,9.44622850169104,0.15226738450452468,1.7462876973228598,0.8136,0.0,0.8147,0.0
6,4903,52,11.501434785070366,0.2455249182483255,1.2471090106884763,0.8062,0.0,0.8042,0.0
16,12187,52,11.348298148207107,0.10088282484046986,1.3301876850699696,0.861,0.0,0.861,0.0
17,12670,52,10.847349080694555,0.19164360705770647,1.919211140756403,0.8757,0.0,0.8762,0.0
18,6435,52,11.151658066200467,0.1834997351102362,1.1907529268102293,0.7614,0.0,0.7612,0.0
20,6962,52,10.99036322262281,0.2307272560258963,1.2160847551489167,0.7959,0.0,0.7976,0.0
22,5110,52,10.806681387749512,0.08049496992746379,1.2530930209593656,0.7145,0.0,0.7188,0.0
23,6852,52,10.370233777437244,0.1020784055017484,1.1421252811042428,0.7487,0.0,0.7457,0.0
24,2079,52,11.366984566570466,0.22121428788560366,1.072155061196817,0.6922,0.0,0.6917,0.0
26,3683,52,11.485752613032854,0.22136823510659517,1.2107877598098453,0.753,0.0,0.7553,0.0
27,4931,52,11.749410975481647,0.3021142922715109,1.3057352546705638,0.8655,0.0,0.8671,0.0
28,948,52,11.232492525738396,0.0452817677831962,1.214327366802603,0.4613,0.0006,0.458,0.0006
29,3722,52,11.672996429876411,0.31874879578030085,1.541296011253102,0.8767,0.0,0.8752,0.0
30,5838,52,11.594112660226104,0.1747831577345238,1.3392653381026236,0.8316,0.0,0.8317,0.0
