animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
77V,16.15,0,CN,15.444998,1.8454288
77V,16.15,0,CN,14.17,1.2236966
2Q0,3.21,0,CN,10.667999,-1.4143803
77V,16.15,0,CN,14.261,1.159913
74K,20.81,0,CN,9.517,-1.6788831
56R,14.95,0,CN,9.256,-2.3135953
43N,17.0,0,CN,11.371,-0.5726706
2Q0,3.21,0,CN,13.673999,0.77506363
2Q0,3.21,0,CN,10.6779995,-1.0609031
43N,17.0,0,CN,12.183,-0.14718516
3D1,13.11,0,CN,10.518999,-1.1198572
77V,16.15,0,CN,14.559999,1.35373
43N,17.0,0,CN,13.786,0.8239107
0B9,12.11,0,CN,14.6,1.3287053
77V,16.15,0,CN,13.375999,0.56929386
2S2,6.31,0,CN,14.26,1.2300028
2V1,4.3,0,CN,9.931,-1.6678774
77V,16.15,0,CN,16.131,2.2931972
77V,16.15,0,CN,15.143,1.8825799
2V1,4.3,0,CN,12.986,0.20581676
77V,16.15,0,CN,12.391,-0.052042186
77V,16.15,0,CN,16.328,2.2413251
0G3,9.1,0,CN,13.622999,0.68160695
1P5,6.21,0,CN,8.016001,-2.8360798
2V1,4.3,0,CN,14.65,1.4044441
7M4,8.15,0,CN,9.875,-1.6150542
55R,14.97,0,CN,12.425,0.031282835
1V8,4.31,0,CN,16.149998,2.2461627
77V,16.15,0,CN,15.445,1.7566354
77V,16.15,0,CN,15.444998,2.0262632
6L4,8.2,0,CN,13.425,0.47523344
77V,16.15,0,CN,15.444998,1.8061533
56R,14.95,0,CN,13.801,0.73368096
6L4,8.2,0,CN,13.375,0.38956732
43N,17.0,0,CN,10.807,-0.8337151
77V,16.15,0,CN,15.622999,1.9027408
6L4,8.2,0,CN,13.157,0.25028566
6L4,8.2,0,CN,9.519,-1.9804455
77V,16.15,0,CN,15.444998,1.809974
77V,16.15,0,CN,16.149998,2.3747597
41N,16.74,0,CN,12.258,-0.21049267
77V,16.15,0,CN,15.444998,1.8369868
77V,16.15,0,CN,16.131,2.4995039
77V,16.15,0,CN,15.622999,1.8757222
1G8,7.88,0,CN,15.845999,2.1871798
46Z,13.97,0,CN,11.384999,-0.62105566
77V,16.15,0,CN,16.149998,2.5055006
77V,16.15,0,CN,14.964999,1.7064801
77V,16.15,0,CN,16.149998,2.4671595
1P5,6.21,0,CN,12.158,-0.15292372
2Q0,3.21,0,CN,8.343,-2.8242722
77V,16.15,0,CN,15.354999,1.825791
55R,14.97,0,CN,13.896998,0.8972641
31S,17.0,0,CN,11.66,-0.47836804
7M4,8.15,0,CN,11.112,-0.91558176
82V,16.01,0,CN,9.792,-1.8750585
4Q6,3.22,0,CN,10.516,-1.1257681
6L4,8.2,0,CN,9.487999,-1.91233
77V,16.15,0,CN,14.964999,1.548464
4Q6,3.22,0,CN,9.346999,-1.7184083
55R,14.97,0,CN,12.485,-0.11310688
77V,16.15,0,CN,15.354999,1.9444764
6L4,8.2,0,CN,8.23,-2.7430835
1P5,6.21,0,CN,8.435999,-2.49843
50P,15.59,0,CN,9.635,-1.9353137
91O,15.86,0,CN,10.684,-1.1270359
77V,16.15,0,CN,13.002001,0.46078813
2Q0,3.21,0,CN,9.712,-1.7662364
3D1,13.11,0,CN,11.398001,-0.669979
77V,16.15,0,CN,16.149998,2.1751425
42T,15.96,0,CN,16.328,2.7749045
77V,16.15,0,CN,15.445,2.0432453
2V1,4.3,0,CN,13.764999,0.5568048
97R,17.93,0,CN,16.131,2.3326626
6L4,8.2,0,CN,13.464999,0.605007
6L4,8.2,0,CN,11.089999,-0.8785509
6L4,8.2,0,CN,9.521,-1.6999419
2V1,4.3,0,CN,14.964999,1.5145828
98V,16.03,0,CN,13.297999,0.31167683
77V,16.15,0,CN,15.444998,1.7366844
2Q0,3.21,0,CN,10.096001,-1.6840923
77V,16.15,0,CN,15.444998,1.9219843
97R,17.93,0,CN,12.344999,-0.1541612
77V,16.15,0,CN,15.444998,1.7076416
2F2,11.04,0,CN,13.832001,0.70717186
2S2,6.31,0,CN,9.561,-1.904411
3D1,13.11,0,CN,11.33,-0.66230667
2Q0,3.21,0,CN,12.332,-0.1198313
77V,16.15,0,CN,12.266,-0.21475784
74K,20.81,0,CN,12.738001,0.22403929
97R,17.93,0,CN,12.648001,0.03538538
2Q0,3.21,0,CN,7.919,-2.6051373
4Q6,3.22,0,CN,11.3880005,-0.55305946
1P5,6.21,0,CN,12.782999,0.122803494
77V,16.15,0,CN,16.149998,2.3067648
77V,16.15,0,CN,15.622999,1.7961597
77V,16.15,0,CN,15.622999,1.9184132
42T,15.96,0,CN,16.328,2.1817153
1G8,7.88,0,CN,16.328,2.4348006
77V,16.15,0,CN,15.445,1.9483733
77V,16.15,0,CN,14.964999,1.7973729
77V,16.15,0,CN,16.328,2.070894
77V,16.15,0,CN,16.328,2.4276328
77V,16.15,0,CN,16.131,2.3237095
97R,17.93,0,CN,15.426001,1.7684052
0G3,9.1,0,CN,16.149998,2.2027488
77V,16.15,0,CN,14.964999,1.6007001
2Q0,3.21,0,CN,9.101,-2.2766328
4S3,3.18,0,CN,11.685999,-0.54640996
77V,16.15,0,CN,16.328,2.0693545
77V,16.15,0,CN,16.149998,2.209463
77V,16.15,0,CN,16.149998,2.4617255
77V,16.15,0,CN,15.444998,1.9622141
77V,16.15,0,CN,14.259999,1.2297966
74K,20.81,0,CN,10.622,-1.0678576
