animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
0G3,9.1,0,IPP,9.551001,-0.9990717
8I6,9.9,0,IPP,8.700999,-1.341681
56K,19.93,0,IPP,12.941,1.435305
8C9,12.12,0,IPP,12.136001,0.8516488
8C9,12.12,0,IPP,10.108,-0.3775295
4Q6,3.22,0,IPP,7.6729994,-2.2280047
77V,16.15,0,IPP,14.593,2.4776206
0G3,9.1,0,IPP,14.228999,2.2351365
2Q0,3.21,0,IPP,8.264,-2.1784427
2C0,11.0,0,IPP,8.705999,-1.6015065
43N,17.0,0,IPP,12.991,1.6103468
2C0,11.0,0,IPP,12.477999,0.94768864
2Q0,3.21,0,IPP,6.718,-2.557814
4S3,3.18,0,IPP,5.48,-3.8472311
3E4,11.99,0,IPP,13.742,1.6808712
2S6,3.17,0,IPP,7.377,-2.723984
0G3,9.1,0,IPP,12.466,1.0368733
77V,16.15,0,IPP,13.914,1.557907
2Q0,3.21,0,IPP,9.133,-1.2818599
77V,16.15,0,IPP,7.686,-2.1918597
7F0,11.2,0,IPP,14.807001,2.6114802
46Z,13.97,0,IPP,10.352999,-0.17298137
77V,16.15,0,IPP,11.287,0.28071538
2C0,11.0,0,IPP,11.445001,0.3996522
2C0,11.0,0,IPP,12.762,1.2701632
82V,16.01,0,IPP,12.4470005,0.84227693
0B9,12.11,0,IPP,7.636,-2.4956822
2S6,3.17,0,IPP,7.1189995,-2.744639
4J6,7.15,0,IPP,13.734999,1.9356917
77V,16.15,0,IPP,7.593,-2.2982743
2S2,6.31,0,IPP,13.424001,1.6546407
77V,16.15,0,IPP,12.6710005,1.3439596
2C0,11.0,0,IPP,13.2300005,1.8833162
8C9,12.12,0,IPP,12.147999,0.84845936
2Q0,3.21,0,IPP,6.4549994,-3.4980133
2C0,11.0,0,IPP,11.125,0.120314844
0B9,12.11,0,IPP,8.316,-1.3412374
4Q6,3.22,0,IPP,11.05,0.14643455
4S3,3.18,0,IPP,9.5130005,-1.0278412
77V,16.15,0,IPP,11.759999,0.5541836
2C0,11.0,0,IPP,9.787001,-0.7711762
41N,16.74,0,IPP,13.524,1.8705875
77V,16.15,0,IPP,9.897,-0.59242713
2Q0,3.21,0,IPP,12.191,0.9430661
2C0,11.0,0,IPP,11.344,0.4124351
2C0,11.0,0,IPP,12.014,0.66782653
37V,15.07,0,IPP,13.202001,1.4329759
37V,15.07,0,IPP,14.725,2.7755919
3K1,9.01,0,IPP,11.49,0.50848675
77V,16.15,0,IPP,14.1119995,2.1476333
0G3,9.1,0,IPP,6.872,-2.992451
2C0,11.0,0,IPP,9.323,-1.2551905
2Q0,3.21,0,IPP,7.1949997,-2.3396616
46Z,13.97,0,IPP,13.625999,2.0460532
3E4,11.99,0,IPP,12.945,1.4339676
2Q0,3.21,0,IPP,7.186,-2.4403293
2F2,11.04,0,IPP,11.778001,0.71845347
