animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6D9,13.11,0,dlPFC,9.312,-0.9178735
6D9,13.11,0,dlPFC,11.848999,0.32135367
37V,15.07,0,dlPFC,12.233999,0.59674793
2S2,6.31,0,dlPFC,7.581,-2.2953
2S2,6.31,0,dlPFC,8.419001,-1.8875464
55R,14.97,0,dlPFC,14.085001,1.7890726
1G8,7.88,0,dlPFC,10.058,-0.6110491
8H2,10.13,0,dlPFC,9.217,-1.17048
2T2,4.09,0,dlPFC,9.711,-1.0252601
98V,16.03,0,dlPFC,9.365999,-1.1892775
2F2,11.04,0,dlPFC,14.139,2.2036788
7M4,8.15,0,dlPFC,9.895,-0.7098216
97R,17.93,0,dlPFC,15.103,2.6735241
8B3,13.09,0,dlPFC,11.184,0.029481243
8B3,13.09,0,dlPFC,11.372,0.076599784
42T,15.96,0,dlPFC,13.512999,1.3133945
42T,15.96,0,dlPFC,12.107,0.76218134
2T6,5.18,0,dlPFC,10.342001,-0.65784395
31S,17.0,0,dlPFC,15.213999,2.3733408
31S,17.0,0,dlPFC,12.086,0.73137957
4Q6,3.22,0,dlPFC,10.664,-0.29333222
5H6,11.03,0,dlPFC,12.404,0.8916689
4J6,7.15,0,dlPFC,11.366,0.2329886
2V1,4.3,0,dlPFC,10.556001,-0.33111966
0B9,12.11,0,dlPFC,11.980999,0.42526618
3E4,11.99,0,dlPFC,10.789999,-0.23996934
3E4,11.99,0,dlPFC,12.478001,0.98661387
4S3,3.18,0,dlPFC,11.704,0.11957375
4S3,3.18,0,dlPFC,11.73,0.5683746
4J6,7.15,0,dlPFC,10.765,-0.11207175
4J6,7.15,0,dlPFC,14.190001,2.092304
6L4,8.2,0,dlPFC,12.499,0.8018366
3R7,3.32,0,dlPFC,7.757,-2.320306
37V,15.07,0,dlPFC,13.1,1.1687567
3K1,9.01,0,dlPFC,10.271,-0.6969835
55R,14.97,0,dlPFC,13.959,1.8796446
3T5,5.12,0,dlPFC,10.448999,-0.35693052
3T5,5.12,0,dlPFC,9.362,-1.1924
5R4,6.25,0,dlPFC,11.781,0.40320888
2T2,4.09,0,dlPFC,8.509001,-1.7813083
98V,16.03,0,dlPFC,11.654,0.30686983
2F2,11.04,0,dlPFC,13.519,1.6997324
50P,15.59,0,dlPFC,10.757,-0.24841373
8B3,13.09,0,dlPFC,11.858,0.48972484
42T,15.96,0,dlPFC,16.057999,2.9241803
91O,15.86,0,dlPFC,9.985,-0.65923715
91O,15.86,0,dlPFC,10.739,-0.3949185
4Q6,3.22,0,dlPFC,4.768,-4.3731594
8H2,10.13,0,dlPFC,12.683999,0.90341616
31S,17.0,0,dlPFC,11.401999,0.1260854
41N,16.74,0,dlPFC,11.171,0.13360646
2I1,10.27,0,dlPFC,16.953,3.8233304
74K,20.81,0,dlPFC,12.967,1.1950113
82V,16.01,0,dlPFC,13.959999,1.9079895
56K,19.93,0,dlPFC,10.944001,-0.18132713
43N,17.0,0,dlPFC,15.128,2.665554
8C9,12.12,0,dlPFC,12.950999,1.1081245
1T9,4.11,0,dlPFC,7.325,-2.650268
3E4,11.99,0,dlPFC,12.176,0.718032
1P5,6.21,0,dlPFC,12.019,0.53729796
2Q0,3.21,0,dlPFC,7.6270003,-2.3686845
2Q0,3.21,0,dlPFC,8.209001,-1.9156125
2S6,3.17,0,dlPFC,3.7720006,-5.3287754
4S3,3.18,0,dlPFC,7.703,-2.104776
6D9,13.11,0,dlPFC,12.775999,1.0322617
6D9,13.11,0,dlPFC,14.329,1.8262578
6D9,13.11,0,dlPFC,9.749,-0.8230601
37V,15.07,0,dlPFC,11.781,0.34325856
3K1,9.01,0,dlPFC,14.3619995,2.3254051
55R,14.97,0,dlPFC,14.677,2.360471
1G8,7.88,0,dlPFC,12.207,0.6534893
1G8,7.88,0,dlPFC,10.912999,0.049773935
1G8,7.88,0,dlPFC,9.339999,-1.0507352
2F2,11.04,0,dlPFC,11.255,0.1855616
2F2,11.04,0,dlPFC,14.6779995,2.3060594
7M4,8.15,0,dlPFC,12.150999,0.6478232
8B3,13.09,0,dlPFC,14.7960005,2.2797303
31S,17.0,0,dlPFC,10.886,-0.009871663
31S,17.0,0,dlPFC,12.783999,1.1726158
5H6,11.03,0,dlPFC,14.591001,2.3601885
4J6,7.15,0,dlPFC,11.731999,0.44113538
6L4,8.2,0,dlPFC,13.038,1.2709949
2V1,4.3,0,dlPFC,11.753,0.4562163
2V1,4.3,0,dlPFC,4.7799997,-4.0928087
56K,19.93,0,dlPFC,13.714,1.7129645
8C9,12.12,0,dlPFC,12.603,1.104089
2Q0,3.21,0,dlPFC,9.860001,-0.95083445
2S6,3.17,0,dlPFC,8.823,-1.6850216
2S6,3.17,0,dlPFC,8.336,-1.9212875
3R7,3.32,0,dlPFC,8.207001,-1.9213493
37V,15.07,0,dlPFC,13.970999,1.7082614
37V,15.07,0,dlPFC,14.075,1.7589663
37V,15.07,0,dlPFC,12.720999,1.0911707
56R,14.95,0,dlPFC,11.67,0.542616
56R,14.95,0,dlPFC,11.252,0.12312939
3D1,13.11,0,dlPFC,12.063999,0.6067535
1G8,7.88,0,dlPFC,13.173999,1.3802662
8H2,10.13,0,dlPFC,11.273001,0.013943973
5R4,6.25,0,dlPFC,12.827998,0.9121534
2T2,4.09,0,dlPFC,11.965,0.5374503
2T2,4.09,0,dlPFC,4.438,-4.3997555
2F2,11.04,0,dlPFC,12.804001,1.0924174
7M4,8.15,0,dlPFC,6.674,-3.099199
42T,15.96,0,dlPFC,13.641001,1.5230709
42T,15.96,0,dlPFC,13.024,1.3729674
2T6,5.18,0,dlPFC,9.598001,-1.0524307
91O,15.86,0,dlPFC,12.001,0.44182345
5H6,11.03,0,dlPFC,12.819,1.0992967
6L4,8.2,0,dlPFC,14.034999,1.964673
6L4,8.2,0,dlPFC,10.991,-0.14808911
82V,16.01,0,dlPFC,15.184999,2.6414118
43N,17.0,0,dlPFC,12.478,1.0703497
2Q0,3.21,0,dlPFC,7.160001,-2.340967
6L4,8.2,0,dlPFC,9.011,-1.3503519
43N,17.0,0,dlPFC,11.485999,0.4018686
6D9,13.11,0,dlPFC,12.410999,0.72191185
37V,15.07,0,dlPFC,14.261,2.1687388
37V,15.07,0,dlPFC,13.989,2.0297034
37V,15.07,0,dlPFC,12.761999,1.083485
2S2,6.31,0,dlPFC,9.657999,-0.811965
3K1,9.01,0,dlPFC,14.209002,2.0723195
56R,14.95,0,dlPFC,14.333,2.107732
55R,14.97,0,dlPFC,14.338,2.0669415
3T5,5.12,0,dlPFC,8.1779995,-1.8626631
8H2,10.13,0,dlPFC,13.3619995,1.4526466
8H2,10.13,0,dlPFC,12.44,0.93631816
2T2,4.09,0,dlPFC,7.7560005,-2.1100895
7M4,8.15,0,dlPFC,9.176999,-1.0442424
42T,15.96,0,dlPFC,12.834999,1.0972829
2T6,5.18,0,dlPFC,12.65,0.9186262
2T6,5.18,0,dlPFC,6.9779997,-2.4496493
31S,17.0,0,dlPFC,14.216001,1.8565079
31S,17.0,0,dlPFC,13.795001,1.6534922
91O,15.86,0,dlPFC,13.851999,1.6797621
8H2,10.13,0,dlPFC,10.776999,-0.2645314
4J6,7.15,0,dlPFC,11.719,0.27069286
6L4,8.2,0,dlPFC,11.148001,-0.14049299
77V,16.15,0,dlPFC,13.628,1.5648565
43N,17.0,0,dlPFC,12.5060005,0.78618985
1T9,4.11,0,dlPFC,4.87,-4.548366
3E4,11.99,0,dlPFC,11.142,0.1513549
2Q0,3.21,0,dlPFC,9.89,-0.8108578
2Q0,3.21,0,dlPFC,8.115,-1.939396
2S6,3.17,0,dlPFC,5.7720003,-3.652551
4J6,7.15,0,dlPFC,10.1119995,-0.7560836
2V1,4.3,0,dlPFC,5.311,-3.3592064
56K,19.93,0,dlPFC,13.136999,1.0969889
3R7,3.32,0,dlPFC,9.287,-1.2935336
3K1,9.01,0,dlPFC,10.964001,-0.17563319
3K1,9.01,0,dlPFC,7.505,-2.3532798
55R,14.97,0,dlPFC,11.33,0.13140225
55R,14.97,0,dlPFC,15.029999,2.7345774
3D1,13.11,0,dlPFC,12.141,0.670045
5R4,6.25,0,dlPFC,10.923,0.042067032
7M4,8.15,0,dlPFC,8.975,-1.4398928
91O,15.86,0,dlPFC,14.18,1.969083
4J6,7.15,0,dlPFC,11.965,0.69152623
41N,16.74,0,dlPFC,12.73,1.1469864
1L1,8.17,0,dlPFC,10.207,-0.48930222
77V,16.15,0,dlPFC,13.744,2.1426802
0B9,12.11,0,dlPFC,9.886,-0.65287083
8I6,9.9,0,dlPFC,10.726,-0.32406425
4S3,3.18,0,dlPFC,13.051999,1.3164847
82V,16.01,0,dlPFC,16.375002,3.3764174
3R7,3.32,0,dlPFC,7.0589995,-2.8345318
2S2,6.31,0,dlPFC,9.716,-1.0323291
3T5,5.12,0,dlPFC,9.721001,-0.8824684
8H2,10.13,0,dlPFC,13.997,1.6781702
5R4,6.25,0,dlPFC,9.757,-1.0003583
2T2,4.09,0,dlPFC,5.4410005,-3.2432256
2T2,4.09,0,dlPFC,6.068,-3.5083961
2F2,11.04,0,dlPFC,13.452001,1.5283358
2F2,11.04,0,dlPFC,12.457,0.98549783
42T,15.96,0,dlPFC,15.883,3.249348
31S,17.0,0,dlPFC,16.460999,3.6435404
91O,15.86,0,dlPFC,12.194,0.57542723
46Z,13.97,0,dlPFC,12.807001,1.1331728
4Q6,3.22,0,dlPFC,6.94,-2.7387598
8H2,10.13,0,dlPFC,13.290001,1.3648608
4J6,7.15,0,dlPFC,11.999,0.50872254
0G3,9.1,0,dlPFC,10.158,-0.6653768
74K,20.81,0,dlPFC,14.691002,2.653332
56K,19.93,0,dlPFC,14.922999,2.4699032
0B9,12.11,0,dlPFC,11.842001,0.37124723
2Q0,3.21,0,dlPFC,7.996,-1.7861521
82V,16.01,0,dlPFC,11.223001,0.12754792
82V,16.01,0,dlPFC,15.971001,3.2193868
0B9,12.11,0,dlPFC,14.393,1.812698
3R7,3.32,0,dlPFC,7.236,-2.2548885
37V,15.07,0,dlPFC,11.969999,0.47348198
8M0,8.12,0,dlPFC,12.051001,0.6207494
56R,14.95,0,dlPFC,11.17,0.03805377
56R,14.95,0,dlPFC,15.405001,3.2128272
3T5,5.12,0,dlPFC,10.402,-0.4055055
8H2,10.13,0,dlPFC,10.899,-0.14818454
8H2,10.13,0,dlPFC,13.422,1.5453345
2T2,4.09,0,dlPFC,7.2809997,-2.5911431
7M4,8.15,0,dlPFC,6.949,-2.9274073
97R,17.93,0,dlPFC,14.126001,2.1706502
97R,17.93,0,dlPFC,12.615,1.0442439
8B3,13.09,0,dlPFC,12.266,0.72732884
42T,15.96,0,dlPFC,12.661,0.7963475
42T,15.96,0,dlPFC,14.645999,2.1214695
2T6,5.18,0,dlPFC,8.405,-1.862067
31S,17.0,0,dlPFC,15.458002,3.0813396
5H6,11.03,0,dlPFC,12.001,0.6222666
4J6,7.15,0,dlPFC,10.976,-0.08304399
2I1,10.27,0,dlPFC,8.816999,-1.3307308
2V1,4.3,0,dlPFC,10.997,0.09807773
74K,20.81,0,dlPFC,8.806,-1.3935581
43N,17.0,0,dlPFC,13.561,1.6993594
0B9,12.11,0,dlPFC,12.342,0.74700713
3E4,11.99,0,dlPFC,12.642,1.183578
6L4,8.2,0,dlPFC,10.747,-0.22713836
6D9,13.11,0,dlPFC,7.3560004,-2.4412782
37V,15.07,0,dlPFC,11.794,0.3554918
8M0,8.12,0,dlPFC,11.348001,0.114297055
3K1,9.01,0,dlPFC,12.632999,1.0844433
55R,14.97,0,dlPFC,11.285999,0.34644428
3T5,5.12,0,dlPFC,12.384,0.77824074
8H2,10.13,0,dlPFC,11.164,0.03526988
8H2,10.13,0,dlPFC,11.505,0.37255335
2T2,4.09,0,dlPFC,7.6229997,-2.2576115
31S,17.0,0,dlPFC,12.376,0.81395173
91O,15.86,0,dlPFC,11.209999,0.08508993
4Q6,3.22,0,dlPFC,6.2440004,-3.0986292
4J6,7.15,0,dlPFC,14.153,2.0068007
77V,16.15,0,dlPFC,12.723001,1.1833704
77V,16.15,0,dlPFC,15.705999,3.0889719
77V,16.15,0,dlPFC,13.967999,1.7760032
43N,17.0,0,dlPFC,12.53,0.8603678
43N,17.0,0,dlPFC,15.020001,2.9671955
6O7,6.03,0,dlPFC,9.574,-0.8914413
77V,16.15,0,dlPFC,14.441,2.2747133
82V,16.01,0,dlPFC,11.758,0.4554498
2S2,6.31,0,dlPFC,11.18,-0.15967809
2S2,6.31,0,dlPFC,12.431,0.75919193
3K1,9.01,0,dlPFC,10.787,-0.40296823
56R,14.95,0,dlPFC,11.946001,0.7470171
2T2,4.09,0,dlPFC,9.093,-1.3612424
2F2,11.04,0,dlPFC,14.000999,1.8254721
7M4,8.15,0,dlPFC,12.695,1.1793909
42T,15.96,0,dlPFC,13.931,2.0620441
5H6,11.03,0,dlPFC,12.936999,1.2830231
4J6,7.15,0,dlPFC,12.068999,0.6907151
2I1,10.27,0,dlPFC,10.525,-0.35417792
2I1,10.27,0,dlPFC,7.0769997,-2.7750654
2I1,10.27,0,dlPFC,11.533,0.22423969
43N,17.0,0,dlPFC,12.823,1.3651402
2C6,14.03,0,dlPFC,13.642,1.7180734
2C6,14.03,0,dlPFC,12.353001,0.8489578
3E4,11.99,0,dlPFC,14.099001,2.078887
5H6,11.03,0,dlPFC,14.101,1.9518238
6L4,8.2,0,dlPFC,12.337999,1.0603077
77V,16.15,0,dlPFC,14.0529995,2.1123471
43N,17.0,0,dlPFC,14.335001,1.8878624
3R7,3.32,0,dlPFC,7.9240007,-2.1193
37V,15.07,0,dlPFC,13.469999,1.5602232
2S2,6.31,0,dlPFC,11.125,0.057335623
3K1,9.01,0,dlPFC,10.395,-0.40925583
56R,14.95,0,dlPFC,14.405001,2.006062
56R,14.95,0,dlPFC,10.124,-0.69074035
56R,14.95,0,dlPFC,11.493,0.38396764
98V,16.03,0,dlPFC,15.593999,3.3867736
98V,16.03,0,dlPFC,12.836,1.2262435
7M4,8.15,0,dlPFC,11.129,0.09616004
2T6,5.18,0,dlPFC,10.5529995,-0.42727694
31S,17.0,0,dlPFC,13.017,1.1600868
5H6,11.03,0,dlPFC,11.4470005,0.29395697
6L4,8.2,0,dlPFC,10.3029995,-0.33157945
6L4,8.2,0,dlPFC,12.188,0.81486243
6L4,8.2,0,dlPFC,12.521001,0.920858
41N,16.74,0,dlPFC,11.929,0.44194713
2I1,10.27,0,dlPFC,11.298,0.18720588
0G3,9.1,0,dlPFC,11.342,0.38014483
43N,17.0,0,dlPFC,13.174001,1.4693834
6O7,6.03,0,dlPFC,9.618,-0.86646456
1P5,6.21,0,dlPFC,10.146999,-0.8963297
2Q0,3.21,0,dlPFC,11.507,0.30729085
2S6,3.17,0,dlPFC,6.7120004,-2.9967718
4S3,3.18,0,dlPFC,5.2510004,-3.7870893
4S3,3.18,0,dlPFC,8.346,-2.020686
77V,16.15,0,dlPFC,13.283999,1.3552009
6D9,13.11,0,dlPFC,13.898001,1.6841795
3R7,3.32,0,dlPFC,8.948,-1.1340082
3R7,3.32,0,dlPFC,8.491,-1.5239447
8M0,8.12,0,dlPFC,11.004,-0.015423393
8M0,8.12,0,dlPFC,9.13,-1.081263
2S2,6.31,0,dlPFC,11.596001,0.2111364
56R,14.95,0,dlPFC,13.220001,1.2585411
1G8,7.88,0,dlPFC,9.826,-0.8494677
1G8,7.88,0,dlPFC,11.226999,0.09435015
2T2,4.09,0,dlPFC,5.057,-3.5067554
2T2,4.09,0,dlPFC,5.2839994,-3.6331968
97R,17.93,0,dlPFC,11.657999,0.32365626
97R,17.93,0,dlPFC,15.841001,3.2138731
8B3,13.09,0,dlPFC,12.217,0.7307273
42T,15.96,0,dlPFC,13.994,2.065328
31S,17.0,0,dlPFC,12.856,0.94498396
91O,15.86,0,dlPFC,13.521998,1.3944263
46Z,13.97,0,dlPFC,13.301,1.4590496
46Z,13.97,0,dlPFC,13.809,2.059648
46Z,13.97,0,dlPFC,14.724001,2.335372
4Q6,3.22,0,dlPFC,4.9870005,-3.9129932
6L4,8.2,0,dlPFC,8.212,-1.9920235
77V,16.15,0,dlPFC,8.582,-1.5204632
0G3,9.1,0,dlPFC,13.0529995,1.2381827
74K,20.81,0,dlPFC,15.891001,3.0066206
0B9,12.11,0,dlPFC,10.882999,-0.13820828
8C9,12.12,0,dlPFC,13.198,1.4798731
3E4,11.99,0,dlPFC,11.592001,0.4349487
5H6,11.03,0,dlPFC,11.786,0.6685252
