animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6D9,13.11,15,mdTN,8.533,-0.35871172
6D9,13.11,15,mdTN,9.521,0.04870988
3R7,3.32,15,mdTN,8.603,-0.505318
56R,14.95,15,mdTN,10.045,0.25249356
55R,14.97,15,mdTN,7.1260004,-1.2530485
3T5,5.12,15,mdTN,8.568999,-0.45736048
3T5,5.12,15,mdTN,8.665,-0.57710016
3T5,5.12,15,mdTN,11.250999,0.8398336
1G8,7.88,15,mdTN,12.907,2.4817054
5R4,6.25,15,mdTN,9.788,0.21381119
98V,16.03,15,mdTN,7.819001,-0.66136324
98V,16.03,15,mdTN,9.62,0.2550082
98V,16.03,15,mdTN,11.070001,0.90601027
7M4,8.15,15,mdTN,11.612,1.2595379
8B3,13.09,15,mdTN,10.215,0.57935756
8B3,13.09,15,mdTN,12.974001,2.3423479
8B3,13.09,15,mdTN,8.545,-0.48143572
8B3,13.09,15,mdTN,10.307001,0.66240114
42T,15.96,15,mdTN,7.9339995,-0.7940726
4Q6,3.22,15,mdTN,10.151999,0.5868374
4Q6,3.22,15,mdTN,10.083,0.45012927
1V8,4.31,15,mdTN,11.369,1.255453
2V1,4.3,15,mdTN,10.026999,0.39064878
2V1,4.3,15,mdTN,13.412001,2.6595674
2V1,4.3,15,mdTN,8.992,-0.075964436
2V1,4.3,15,mdTN,12.596999,2.028921
2V1,4.3,15,mdTN,11.088999,0.83315516
2V1,4.3,15,mdTN,10.57,0.79775757
7F0,11.2,15,mdTN,10.837999,0.7330691
7F0,11.2,15,mdTN,12.120999,1.9174674
74K,20.81,15,mdTN,5.7669997,-2.0073907
74K,20.81,15,mdTN,8.489,-0.50561094
74K,20.81,15,mdTN,14.792999,3.4361434
74K,20.81,15,mdTN,14.414999,2.8214617
43N,17.0,15,mdTN,8.989,-0.116479665
8C9,12.12,15,mdTN,11.209001,0.9127608
1T9,4.11,15,mdTN,7.3910003,-0.9922973
1T9,4.11,15,mdTN,7.8190002,-0.9955764
1T9,4.11,15,mdTN,10.261,0.7853532
1T9,4.11,15,mdTN,7.496001,-1.1940267
1T9,4.11,15,mdTN,5.309,-2.1008353
1T9,4.11,15,mdTN,8.791,-0.3932938
1P5,6.21,15,mdTN,11.26,1.0762011
8I6,9.9,15,mdTN,8.445999,-0.43389106
8I6,9.9,15,mdTN,11.861,1.264898
2Q0,3.21,15,mdTN,9.059,-0.20571013
2Q0,3.21,15,mdTN,11.669,1.51342
6D9,13.11,15,mdTN,9.8029995,0.3670619
6D9,13.11,15,mdTN,11.872,1.4850357
6D9,13.11,15,mdTN,8.672999,-0.27777794
6D9,13.11,15,mdTN,5.543,-2.2745345
6D9,13.11,15,mdTN,11.613,1.510896
37V,15.07,15,mdTN,10.106999,0.41018128
37V,15.07,15,mdTN,11.511001,1.3316662
3K1,9.01,15,mdTN,12.049,1.8492557
55R,14.97,15,mdTN,11.39,1.1082777
3D1,13.11,15,mdTN,10.686999,0.7878828
3D1,13.11,15,mdTN,12.323999,1.7408679
3T5,5.12,15,mdTN,9.129999,-0.032658108
3T5,5.12,15,mdTN,7.665,-0.98056006
3T5,5.12,15,mdTN,7.079,-1.4578145
