animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
6D9,13.11,22,EC,10.509001,-0.2750562
3R7,3.32,22,EC,9.941,-0.3139417
3R7,3.32,22,EC,9.585,-0.8139464
98V,16.03,22,EC,10.706,-0.14424331
7M4,8.15,22,EC,10.035,-0.31326106
8B3,13.09,22,EC,9.529,-0.66852635
1T9,4.11,22,EC,12.859001,1.1114895
3K1,9.01,22,EC,10.451999,-0.17866199
3T5,5.12,22,EC,12.705999,1.3986865
1G8,7.88,22,EC,10.209999,-0.28585985
1G8,7.88,22,EC,8.934999,-1.2147765
50P,15.59,22,EC,14.783,2.7888608
31S,17.0,22,EC,11.453001,0.7430165
31S,17.0,22,EC,9.977,-0.43785697
1L1,8.17,22,EC,11.323,0.3350933
82V,16.01,22,EC,10.882,0.04351609
82V,16.01,22,EC,16.583002,4.29991
1P5,6.21,22,EC,10.546,-0.2225869
2Q0,3.21,22,EC,10.885,0.2577062
3K1,9.01,22,EC,11.32,0.16162601
3K1,9.01,22,EC,9.442999,-0.8671611
3D1,13.11,22,EC,15.228999,2.7690828
1G8,7.88,22,EC,14.323001,2.2524693
2F2,11.04,22,EC,11.139,0.04806366
7M4,8.15,22,EC,10.142,-0.34758896
2T6,5.18,22,EC,8.645,-1.5324723
31S,17.0,22,EC,13.286,1.6928368
91O,15.86,22,EC,9.345,-0.9826096
5H6,11.03,22,EC,7.061,-2.3725207
4J6,7.15,22,EC,10.562,-0.10765712
56K,19.93,22,EC,13.426,1.6001471
8C9,12.12,22,EC,14.334,2.000683
8C9,12.12,22,EC,8.952,-0.9013692
3E4,11.99,22,EC,7.8599997,-1.9114703
2Q0,3.21,22,EC,13.589999,1.6065336
3K1,9.01,22,EC,13.862999,1.6914268
3D1,13.11,22,EC,10.522,-0.16202854
2F2,11.04,22,EC,12.815,1.1368514
50P,15.59,22,EC,10.091,-0.7461544
2T6,5.18,22,EC,10.844999,0.0025412147
31S,17.0,22,EC,15.081999,2.6919641
6L4,8.2,22,EC,8.367,-1.5043209
2V1,4.3,22,EC,11.235999,0.16075599
8C9,12.12,22,EC,9.217,-0.90537083
3E4,11.99,22,EC,7.932,-1.6177192
4S3,3.18,22,EC,13.754999,1.8001413
1G8,7.88,22,EC,8.895,-1.4123702
3K1,9.01,22,EC,11.198,0.22276388
2F2,11.04,22,EC,12.266,0.93428254
50P,15.59,22,EC,15.403,2.9652128
42T,15.96,22,EC,11.958,0.7781014
2T6,5.18,22,EC,10.561,-0.056571133
6L4,8.2,22,EC,8.9539995,-1.068664
41N,16.74,22,EC,11.371,0.115559764
41N,16.74,22,EC,9.059,-1.1426215
1V8,4.31,22,EC,11.635,0.61102134
82V,16.01,22,EC,10.320001,-0.3430035
56K,19.93,22,EC,16.206,3.2568567
1T9,4.11,22,EC,9.348001,-0.83868814
2F2,11.04,22,EC,9.149,-1.0134516
2F2,11.04,22,EC,9.115,-0.9937644
8B3,13.09,22,EC,14.461,2.3231146
5H6,11.03,22,EC,11.983,0.94229794
5H6,11.03,22,EC,11.735001,0.55077946
1L1,8.17,22,EC,10.365999,-0.49285063
3K1,9.01,22,EC,10.2,-0.2768538
56R,14.95,22,EC,13.316,1.7049191
2F2,11.04,22,EC,9.549,-0.6406779
50P,15.59,22,EC,9.922,-0.647566
50P,15.59,22,EC,11.112999,0.12878038
42T,15.96,22,EC,12.220999,0.8573597
2Q0,3.21,22,EC,5.5910006,-2.929445
3R7,3.32,22,EC,8.000999,-1.6671379
8M0,8.12,22,EC,10.526999,-0.035218664
3K1,9.01,22,EC,13.132001,1.4535432
3D1,13.11,22,EC,13.4539995,1.6544012
1G8,7.88,22,EC,9.727,-0.5664024
2F2,11.04,22,EC,14.001001,2.3276093
2F2,11.04,22,EC,8.099,-1.6882889
50P,15.59,22,EC,13.315,1.7313006
7M4,8.15,22,EC,10.267,-0.50282514
7M4,8.15,22,EC,9.606001,-0.7599228
74K,20.81,22,EC,10.911,-0.14700387
82V,16.01,22,EC,12.645,1.1316937
8C9,12.12,22,EC,7.7879996,-2.1082625
1T9,4.11,22,EC,10.026999,-0.56314445
1G8,7.88,22,EC,12.058001,0.56572354
6D9,13.11,22,EC,7.075,-2.4233832
6D9,13.11,22,EC,11.168,0.09670859
3R7,3.32,22,EC,8.045,-1.7674202
37V,15.07,22,EC,12.424001,0.81084067
3K1,9.01,22,EC,13.325002,1.6584744
56R,14.95,22,EC,10.633,-0.23293439
1G8,7.88,22,EC,8.379,-1.4888484
98V,16.03,22,EC,13.481999,2.2051396
2F2,11.04,22,EC,14.190001,2.161198
