animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8M0,8.12,22,M1,8.132001,-1.6274813
8M0,8.12,22,M1,11.978001,0.9294283
2F2,11.04,22,M1,10.87,0.07928955
97R,17.93,22,M1,11.283999,0.18722138
2T6,5.18,22,M1,15.4019985,3.0274415
5H6,11.03,22,M1,11.86,0.8342015
4J6,7.15,22,M1,11.57,0.5071713
4J6,7.15,22,M1,9.157001,-0.9307083
56K,19.93,22,M1,13.979001,2.2305403
8C9,12.12,22,M1,11.296999,0.5029674
1T9,4.11,22,M1,10.175,-0.34794897
1T9,4.11,22,M1,7.317,-2.244106
8I6,9.9,22,M1,12.688,1.4704741
2Q0,3.21,22,M1,11.559,0.4620287
4S3,3.18,22,M1,10.427,-0.14421916
37V,15.07,22,M1,10.765001,-0.011010854
56R,14.95,22,M1,9.033999,-1.2131023
56R,14.95,22,M1,9.206999,-0.8604041
3T5,5.12,22,M1,8.705,-1.5634501
5R4,6.25,22,M1,10.091,-0.48383394
91O,15.86,22,M1,8.349001,-1.5855149
46Z,13.97,22,M1,11.052,0.38424164
4J6,7.15,22,M1,12.217,1.0505642
2I1,10.27,22,M1,8.425001,-1.3473396
1L1,8.17,22,M1,10.444,-0.18851589
77V,16.15,22,M1,10.268,-0.27189478
77V,16.15,22,M1,10.626,-0.11448597
0G3,9.1,22,M1,12.871,1.487591
6O7,6.03,22,M1,9.899,-0.5832025
91O,15.86,22,M1,10.746,0.1361149
6D9,13.11,22,M1,10.706,0.12524067
3R7,3.32,22,M1,10.463,-0.06773231
2S2,6.31,22,M1,11.787999,0.80309194
3K1,9.01,22,M1,11.08,0.3108953
3D1,13.11,22,M1,13.698,2.135707
3T5,5.12,22,M1,9.959001,-0.5041401
98V,16.03,22,M1,10.74,-0.18749566
8B3,13.09,22,M1,10.806001,0.049456168
2V1,4.3,22,M1,9.704,-0.52675843
0G3,9.1,22,M1,11.677,0.7331543
1T9,4.11,22,M1,9.099999,-1.0665455
2Q0,3.21,22,M1,10.017,-0.553697
56R,14.95,22,M1,13.808001,1.9530597
8M0,8.12,22,M1,12.332001,1.0328958
8H2,10.13,22,M1,9.750999,-0.6740689
5R4,6.25,22,M1,10.638,-0.10706688
4Q6,3.22,22,M1,9.059999,-1.1822382
2V1,4.3,22,M1,8.636999,-1.3762316
2V1,4.3,22,M1,7.4940004,-2.1110322
7F0,11.2,22,M1,9.212,-1.0891045
7F0,11.2,22,M1,9.305,-0.8132474
1T9,4.11,22,M1,12.586,1.0706372
6O7,6.03,22,M1,8.864,-1.1409351
6O7,6.03,22,M1,10.382,-0.2509195
6O7,6.03,22,M1,9.152,-0.9130255
8M0,8.12,22,M1,9.368,-0.75162166
8M0,8.12,22,M1,12.644,1.0786762
8M0,8.12,22,M1,11.143999,0.35748807
3K1,9.01,22,M1,8.1119995,-1.7691463
1G8,7.88,22,M1,11.594,0.49576816
91O,15.86,22,M1,8.494,-1.245712
46Z,13.97,22,M1,11.919001,0.7233615
5H6,11.03,22,M1,10.849001,0.029588116
4J6,7.15,22,M1,11.82,0.63745326
0G3,9.1,22,M1,7.5479994,-1.979113
56K,19.93,22,M1,8.921,-1.0152991
56K,19.93,22,M1,12.024,0.9608708
6O7,6.03,22,M1,9.716001,-0.79013896
8I6,9.9,22,M1,9.770999,-0.75386894
2Q0,3.21,22,M1,6.443,-2.8959718
2S6,3.17,22,M1,8.233,-1.5417533
4S3,3.18,22,M1,9.891001,-0.52060235
4S3,3.18,22,M1,6.366,-2.5585036
55R,14.97,22,M1,12.332,0.9819761
6D9,13.11,22,M1,11.482,0.39623788
6D9,13.11,22,M1,7.433,-2.203969
8M0,8.12,22,M1,9.506,-0.78820294
3D1,13.11,22,M1,11.846999,0.7623666
98V,16.03,22,M1,14.616999,2.7923765
97R,17.93,22,M1,10.974,0.2507542
8B3,13.09,22,M1,9.813001,-0.6804895
91O,15.86,22,M1,11.34,0.39833406
6L4,8.2,22,M1,9.569,-0.86367536
6O7,6.03,22,M1,10.875,0.1820935
8I6,9.9,22,M1,12.522001,1.0952344
8I6,9.9,22,M1,11.336,0.3813457
2Q0,3.21,22,M1,8.004,-1.8120549
55R,14.97,22,M1,10.102,-0.5880109
3T5,5.12,22,M1,9.599,-0.828156
98V,16.03,22,M1,13.321001,1.6387334
98V,16.03,22,M1,9.639999,-0.7197409
2F2,11.04,22,M1,10.972,0.009645391
97R,17.93,22,M1,11.612,0.41048032
2V1,4.3,22,M1,10.831,0.24839169
0G3,9.1,22,M1,13.590001,1.9974556
0G3,9.1,22,M1,13.470999,1.634255
0G3,9.1,22,M1,10.207001,-0.3291657
82V,16.01,22,M1,10.147001,-0.43629277
56K,19.93,22,M1,12.267,1.0403906
2Q0,3.21,22,M1,12.177,1.0231481
2S2,6.31,22,M1,10.789,0.0022088452
56R,14.95,22,M1,9.882,-0.48847494
56R,14.95,22,M1,11.412999,0.7347164
3D1,13.11,22,M1,12.391001,1.2441101
7M4,8.15,22,M1,11.766001,0.65245545
8B3,13.09,22,M1,10.2699995,-0.22234562
46Z,13.97,22,M1,10.623,-0.12143529
46Z,13.97,22,M1,12.240999,0.97947985
4Q6,3.22,22,M1,7.092,-2.2923248
4J6,7.15,22,M1,10.977,0.26936218
6L4,8.2,22,M1,10.161,-0.16763806
6L4,8.2,22,M1,12.214,1.1828558
0G3,9.1,22,M1,10.608,0.030753756
0B9,12.11,22,M1,12.54,1.2722106
2Q0,3.21,22,M1,10.823999,0.109033085
2S6,3.17,22,M1,8.89,-1.3475233
2T2,4.09,22,M1,10.229,-0.18525311
91O,15.86,22,M1,11.363,0.4670699
6D9,13.11,22,M1,11.556,0.40008825
7M4,8.15,22,M1,8.1310005,-1.6612748
77V,16.15,22,M1,11.881,0.8643745
6O7,6.03,22,M1,10.429,-0.029001676
1G8,7.88,22,M1,10.544,-0.17864396
2F2,11.04,22,M1,6.94,-2.6358182
42T,15.96,22,M1,10.171999,-0.3181892
2T6,5.18,22,M1,9.92,-0.69244653
46Z,13.97,22,M1,8.959,-1.0406971
77V,16.15,22,M1,12.349001,1.0701156
0G3,9.1,22,M1,11.349,0.40473685
82V,16.01,22,M1,10.55,-0.19756623
43N,17.0,22,M1,7.359,-2.4835956
