animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
37V,15.07,23,ACC,9.940001,-0.8162396
8M0,8.12,23,ACC,9.750999,-0.7960586
56R,14.95,23,ACC,9.275,-1.4177994
3T5,5.12,23,ACC,9.827,-0.8410411
1G8,7.88,23,ACC,10.659,-0.35775188
8B3,13.09,23,ACC,11.103,0.123169824
2T6,5.18,23,ACC,10.789,-0.25459567
2I1,10.27,23,ACC,11.225,-0.025728092
1V8,4.31,23,ACC,12.155999,0.6011939
1G8,7.88,23,ACC,12.154,0.75749874
1G8,7.88,23,ACC,9.216,-1.2835033
98V,16.03,23,ACC,11.171,-0.077317476
7M4,8.15,23,ACC,9.923,-0.9454209
8B3,13.09,23,ACC,13.709,1.5700017
91O,15.86,23,ACC,12.702001,1.1838349
46Z,13.97,23,ACC,10.243,-0.721673
77V,16.15,23,ACC,12.963,1.3895832
77V,16.15,23,ACC,14.809,2.5358565
74K,20.81,23,ACC,12.537,0.8340342
37V,15.07,23,ACC,9.108999,-1.3848927
56R,14.95,23,ACC,10.278,-0.48087516
1G8,7.88,23,ACC,10.8810005,-0.048104648
7M4,8.15,23,ACC,10.688001,-0.4503545
4Q6,3.22,23,ACC,11.648001,0.4084823
1L1,8.17,23,ACC,11.274,0.06699261
1L1,8.17,23,ACC,9.892,-0.6366264
2V1,4.3,23,ACC,9.559,-1.0282435
56K,19.93,23,ACC,13.528,1.5229583
2F2,11.04,23,ACC,7.866,-2.806907
7M4,8.15,23,ACC,11.693,0.45636368
7M4,8.15,23,ACC,9.707,-0.99395716
97R,17.93,23,ACC,10.186,-0.4169717
4J6,7.15,23,ACC,10.777,-0.20763521
4J6,7.15,23,ACC,11.22,0.048279658
1L1,8.17,23,ACC,9.527,-1.076318
0G3,9.1,23,ACC,7.5690002,-2.6398458
43N,17.0,23,ACC,11.164,0.110299855
91O,15.86,23,ACC,12.693,1.2114342
7M4,8.15,23,ACC,10.462999,-0.35486528
6L4,8.2,23,ACC,11.049,0.045795374
41N,16.74,23,ACC,10.481,-0.28474316
1L1,8.17,23,ACC,11.473,0.2334664
1L1,8.17,23,ACC,11.896999,0.5323102
74K,20.81,23,ACC,13.475,1.582943
1T9,4.11,23,ACC,9.001,-1.6384424
2S2,6.31,23,ACC,13.611,1.5832998
7M4,8.15,23,ACC,9.589,-1.0492059
1L1,8.17,23,ACC,11.711,0.5237189
0B9,12.11,23,ACC,12.171,0.79723984
37V,15.07,23,ACC,9.195,-1.3548632
55R,14.97,23,ACC,11.962999,0.48965532
5R4,6.25,23,ACC,7.2090006,-2.6505547
2T2,4.09,23,ACC,7.9160004,-2.5297883
2F2,11.04,23,ACC,13.977,1.9387885
