animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
2V1,4.3,2,HIP,11.396001,-0.02539458
6O7,6.03,2,HIP,9.229001,-1.3355085
0B9,12.11,2,HIP,14.941999,2.5798044
2C6,14.03,2,HIP,11.489,-0.04483261
2C6,14.03,2,HIP,10.745,-0.5568734
8M0,8.12,2,HIP,8.423001,-1.7768849
7M4,8.15,2,HIP,9.780001,-1.0589314
6O7,6.03,2,HIP,10.989,-0.41607308
7M4,8.15,2,HIP,11.469,0.01920926
46Z,13.97,2,HIP,8.883,-1.7643362
6O7,6.03,2,HIP,10.414999,-0.75871855
2V1,4.3,2,HIP,9.733999,-1.4273347
82V,16.01,2,HIP,9.903999,-0.9632419
50P,15.59,2,HIP,10.374001,-0.7903151
91O,15.86,2,HIP,8.627,-2.17922
7M4,8.15,2,HIP,10.665,-0.7870181
82V,16.01,2,HIP,12.265,0.43282253
2C6,14.03,2,HIP,14.412001,2.0322797
8C9,12.12,2,HIP,11.3689995,-0.08441974
8C9,12.12,2,HIP,12.884,0.68627924
4S3,3.18,2,HIP,11.478,0.04499219
77V,16.15,2,HIP,9.635,-1.4040687
74K,20.81,2,HIP,13.032,1.1562067
2C6,14.03,2,HIP,12.484,0.5086583
77V,16.15,2,HIP,6.743,-3.0414352
1P5,6.21,2,HIP,11.511,0.033667628
3D1,13.11,2,HIP,8.127,-2.2164032
2Q0,3.21,2,HIP,10.768001,-0.36447796
3E4,11.99,2,HIP,12.93,0.8616381
6O7,6.03,2,HIP,10.967001,-0.28284422
2C6,14.03,2,HIP,11.691999,0.18265049
3D1,13.11,2,HIP,9.740001,-1.5055103
97R,17.93,2,HIP,11.379,-0.014131485
82V,16.01,2,HIP,12.541,0.40332752
8C9,12.12,2,HIP,13.346001,1.223291
2C6,14.03,2,HIP,13.548999,1.332108
1P5,6.21,2,HIP,13.766001,1.5177302
74K,20.81,2,HIP,12.856,0.84828854
3E4,11.99,2,HIP,9.887,-1.4374025
4S3,3.18,2,HIP,12.258,0.33514118
50P,15.59,2,HIP,13.527,1.1867957
97R,17.93,2,HIP,8.531001,-1.6793659
97R,17.93,2,HIP,11.111001,-0.21701549
1P5,6.21,2,HIP,12.562,0.68664134
2V1,4.3,2,HIP,12.065001,0.30361027
4Q6,3.22,2,HIP,9.321,-1.6130154
1P5,6.21,2,HIP,12.172001,0.45877737
8C9,12.12,2,HIP,13.217,1.0664037
0B9,12.11,2,HIP,11.966,0.25825638
8C9,12.12,2,HIP,13.17,0.8393625
8C9,12.12,2,HIP,10.363001,-0.6006824
2V1,4.3,2,HIP,11.668001,0.077166066
2S2,6.31,2,HIP,14.155001,1.5381634
82V,16.01,2,HIP,11.738,0.13073069
82V,16.01,2,HIP,12.089,0.33574867
8C9,12.12,2,HIP,12.7,0.6098806
82V,16.01,2,HIP,13.359001,1.0949507
4Q6,3.22,2,HIP,10.874001,-0.4074033
77V,16.15,2,HIP,8.969,-1.8269656
2C6,14.03,2,HIP,13.839999,1.3120977
7M4,8.15,2,HIP,11.444,-0.112952776
8C9,12.12,2,HIP,12.031,0.47136575
8C9,12.12,2,HIP,11.987,0.138564
8C9,12.12,2,HIP,12.589,0.5237274
6O7,6.03,2,HIP,11.495,-0.11011119
91O,15.86,2,HIP,9.324,-1.4430581
2V1,4.3,2,HIP,10.336,-0.67246455
0B9,12.11,2,HIP,10.908,-0.4699128
7F0,11.2,2,HIP,11.302,-0.021655062
4Q6,3.22,2,HIP,9.566,-1.3164502
7M4,8.15,2,HIP,11.464001,0.020955553
77V,16.15,2,HIP,12.654,0.8478977
82V,16.01,2,HIP,12.966001,0.95945466
2C6,14.03,2,HIP,12.288,0.22079667
82V,16.01,2,HIP,12.673,0.7301975
8C9,12.12,2,HIP,12.311,0.31710207
2C6,14.03,2,HIP,12.462,0.53350914
77V,16.15,2,HIP,12.458,0.55470294
4S3,3.18,2,HIP,13.797,1.7291033
77V,16.15,2,HIP,11.818,0.11605017
7M4,8.15,2,HIP,9.545,-1.295541
46Z,13.97,2,HIP,12.323,0.542451
1L1,8.17,2,HIP,11.173,-0.2255777
82V,16.01,2,HIP,10.314,-0.6889276
7M4,8.15,2,HIP,9.723001,-1.1780152
4Q6,3.22,2,HIP,10.441,-0.6220973
4J6,7.15,2,HIP,10.1970005,-0.9894197
8C9,12.12,2,HIP,13.561999,1.139802
1P5,6.21,2,HIP,12.773001,0.77688175
