animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
55R,14.97,2,NAc,7.879,-0.63680434
8B3,13.09,2,NAc,8.007,-0.7111436
6O7,6.03,2,NAc,7.222,-1.2947875
1P5,6.21,2,NAc,8.143999,-0.6306859
41N,16.74,2,NAc,9.278,0.3604083
0G3,9.1,2,NAc,7.6929994,-0.9397927
8M0,8.12,2,NAc,8.821,0.04280338
1P5,6.21,2,NAc,6.192,-1.982579
1V8,4.31,2,NAc,10.436,1.150007
3E4,11.99,2,NAc,8.889,0.07719534
6O7,6.03,2,NAc,6.0299997,-2.3210783
1P5,6.21,2,NAc,10.358999,1.197398
3E4,11.99,2,NAc,7.675,-0.971971
8M0,8.12,2,NAc,10.04,0.8982528
2F2,11.04,2,NAc,7.9450006,-0.6374663
6O7,6.03,2,NAc,7.6089997,-1.0577936
8B3,13.09,2,NAc,7.861,-0.7745162
82V,16.01,2,NAc,11.713,2.252092
6O7,6.03,2,NAc,7.418,-1.4647717
6O7,6.03,2,NAc,9.364,0.34627077
4J6,7.15,2,NAc,10.261001,1.1431428
3E4,11.99,2,NAc,7.609,-1.0272489
6O7,6.03,2,NAc,6.835,-1.694896
2F2,11.04,2,NAc,7.2409997,-1.300098
6O7,6.03,2,NAc,8.978,-0.08110055
3E4,11.99,2,NAc,7.818,-0.6919779
6O7,6.03,2,NAc,6.239,-2.1238747
4J6,7.15,2,NAc,8.531,-0.44559574
41N,16.74,2,NAc,6.925,-1.7222551
1P5,6.21,2,NAc,7.6309996,-0.9402214
8M0,8.12,2,NAc,11.087999,1.9706504
1P5,6.21,2,NAc,7.165,-1.2889193
1P5,6.21,2,NAc,7.2230005,-1.4727281
8M0,8.12,2,NAc,8.08,-0.7061027
55R,14.97,2,NAc,9.192,0.30450082
41N,16.74,2,NAc,8.281,-0.5625299
6O7,6.03,2,NAc,8.009001,-0.66509765
8M0,8.12,2,NAc,9.2039995,0.3629689
8M0,8.12,2,NAc,7.451,-1.0182462
8M0,8.12,2,NAc,8.22,-0.57813585
41N,16.74,2,NAc,8.834001,-0.026045384
6O7,6.03,2,NAc,8.768,-0.033094488
6O7,6.03,2,NAc,10.293001,1.0747204
6O7,6.03,2,NAc,6.6260004,-1.5828377
1P5,6.21,2,NAc,6.7699995,-1.7310338
55R,14.97,2,NAc,8.294001,-0.6519788
8M0,8.12,2,NAc,7.8740005,-0.8321804
8M0,8.12,2,NAc,7.493,-1.18104
1P5,6.21,2,NAc,7.2770004,-1.4144036
8M0,8.12,2,NAc,7.211,-1.48447
1P5,6.21,2,NAc,7.9760003,-0.7035443
82V,16.01,2,NAc,8.580999,-0.42279854
6O7,6.03,2,NAc,7.3669996,-1.5019021
6O7,6.03,2,NAc,6.9089994,-1.3539582
8M0,8.12,2,NAc,9.368,0.33962682
8M0,8.12,2,NAc,6.9019995,-1.6174065
56K,19.93,2,NAc,9.499,0.39152476
6O7,6.03,2,NAc,8.392,-0.3579406
55R,14.97,2,NAc,7.582,-1.0751085
4S3,3.18,2,NAc,8.36,-0.48507148
4J6,7.15,2,NAc,10.148001,1.1150945
6O7,6.03,2,NAc,6.0299997,-2.4307587
8B3,13.09,2,NAc,10.179,0.8590731
82V,16.01,2,NAc,9.937001,0.9410361
6O7,6.03,2,NAc,7.2510004,-1.2573857
6O7,6.03,2,NAc,8.3810005,-0.36518097
8M0,8.12,2,NAc,8.355,-0.34694028
8M0,8.12,2,NAc,8.796,-0.007940821
8M0,8.12,2,NAc,9.942,0.81656474
55R,14.97,2,NAc,7.8350005,-0.8962481
1P5,6.21,2,NAc,8.782001,0.014114937
8B3,13.09,2,NAc,8.203,-0.4564729
6O7,6.03,2,NAc,8.609999,-0.12283846
6O7,6.03,2,NAc,7.4830003,-1.0183407
8M0,8.12,2,NAc,6.33,-2.0424693
8M0,8.12,2,NAc,10.799001,1.5509897
8M0,8.12,2,NAc,7.454,-0.9584441
3E4,11.99,2,NAc,8.906,0.10052354
8M0,8.12,2,NAc,10.358999,1.1895756
55R,14.97,2,NAc,7.7879996,-0.9517923
41N,16.74,2,NAc,7.032,-1.867417
6O7,6.03,2,NAc,9.649,0.83805805
8M0,8.12,2,NAc,8.457,-0.19008847
82V,16.01,2,NAc,9.450001,0.541591
6O7,6.03,2,NAc,8.27,-0.52847785
6O7,6.03,2,NAc,8.907999,0.12822686
6O7,6.03,2,NAc,7.0240006,-1.3849075
1P5,6.21,2,NAc,9.176001,0.30375502
55R,14.97,2,NAc,9.717,0.76143897
8B3,13.09,2,NAc,10.443,1.3073788
41N,16.74,2,NAc,8.172,-0.48029983
6O7,6.03,2,NAc,6.0299997,-2.0104187
8M0,8.12,2,NAc,7.7230005,-0.8950607
4S3,3.18,2,NAc,9.661,0.7064645
6O7,6.03,2,NAc,8.172,-0.5042787
8M0,8.12,2,NAc,8.745,-0.004382563
4S3,3.18,2,NAc,8.504,-0.23987955
1P5,6.21,2,NAc,6.1559997,-2.2329235
8M0,8.12,2,NAc,8.321,-0.3667865
8M0,8.12,2,NAc,9.85,0.8266832
8B3,13.09,2,NAc,6.6519995,-1.6093112
1P5,6.21,2,NAc,6.21,-1.9350294
55R,14.97,2,NAc,6.5010004,-1.825708
4S3,3.18,2,NAc,8.996,0.08519552
1P5,6.21,2,NAc,6.6979995,-1.7923338
1P5,6.21,2,NAc,7.382001,-1.1354393
8M0,8.12,2,NAc,8.9140005,-0.042800073
1P5,6.21,2,NAc,7.2090006,-1.7064062
8B3,13.09,2,NAc,7.025,-1.4536586
6O7,6.03,2,NAc,10.487,1.4954824
6O7,6.03,2,NAc,8.245,-0.6215354
1V8,4.31,2,NAc,7.832,-0.96341175
8M0,8.12,2,NAc,8.7,-0.03734309
6O7,6.03,2,NAc,7.118,-1.43515
2F2,11.04,2,NAc,8.232,-0.6594472
8M0,8.12,2,NAc,7.8790007,-0.8105238
56K,19.93,2,NAc,8.934999,0.028663578
6O7,6.03,2,NAc,8.439,-0.23114668
1P5,6.21,2,NAc,6.3469996,-2.0326796
8M0,8.12,2,NAc,8.139,-0.500877
55R,14.97,2,NAc,11.531,2.0960748
6O7,6.03,2,NAc,7.4830003,-1.1948204
8B3,13.09,2,NAc,7.075,-1.3810892
1P5,6.21,2,NAc,7.068,-1.4494953
4S3,3.18,2,NAc,7.7860003,-0.78182137
8M0,8.12,2,NAc,7.532,-1.0599709
1P5,6.21,2,NAc,6.7650003,-1.8581847
1P5,6.21,2,NAc,7.068,-1.555253
3E4,11.99,2,NAc,8.515,-0.15378942
8I6,9.9,2,NAc,6.732,-1.5602777
82V,16.01,2,NAc,10.403,1.2598187
6O7,6.03,2,NAc,8.254,-0.4543885
6O7,6.03,2,NAc,8.381,-0.22760236
8M0,8.12,2,NAc,7.578,-1.0741743
55R,14.97,2,NAc,8.154,-0.69785804
6O7,6.03,2,NAc,5.9539995,-2.4685256
6O7,6.03,2,NAc,9.744,0.6973439
55R,14.97,2,NAc,7.2229996,-1.4653386
0G3,9.1,2,NAc,7.775,-0.9263503
55R,14.97,2,NAc,11.066,1.661958
6O7,6.03,2,NAc,9.346,0.13771585
8B3,13.09,2,NAc,7.0360003,-1.3588017
6O7,6.03,2,NAc,7.5199995,-1.0734129
4J6,7.15,2,NAc,9.769,0.88744503
1P5,6.21,2,NAc,6.693,-1.84893
82V,16.01,2,NAc,8.347001,-0.40417442
1P5,6.21,2,NAc,6.174,-2.4823139
8M0,8.12,2,NAc,8.558001,-0.15519166
6O7,6.03,2,NAc,7.822,-0.9078134
6O7,6.03,2,NAc,7.9800005,-0.7139083
8M0,8.12,2,NAc,10.021,0.9613818
3E4,11.99,2,NAc,7.222,-1.1456814
6O7,6.03,2,NAc,8.889,-0.013225293
3E4,11.99,2,NAc,9.454,0.4201344
8M0,8.12,2,NAc,8.499001,-0.22354913
55R,14.97,2,NAc,9.225,0.19511852
4S3,3.18,2,NAc,9.967999,0.99900067
8M0,8.12,2,NAc,8.816,-0.10722863
4J6,7.15,2,NAc,7.45,-1.1487019
0G3,9.1,2,NAc,9.1779995,0.22380558
3E4,11.99,2,NAc,8.492999,-0.36049512
41N,16.74,2,NAc,9.701,0.71198136
6O7,6.03,2,NAc,8.305,-0.3668583
6O7,6.03,2,NAc,7.3059998,-1.1673584
4S3,3.18,2,NAc,7.674,-0.9708405
6O7,6.03,2,NAc,8.619,-0.2230799
8M0,8.12,2,NAc,6.974,-1.4375737
0G3,9.1,2,NAc,8.545,-0.35321602
1P5,6.21,2,NAc,7.259,-1.372596
1P5,6.21,2,NAc,8.319,-0.43604678
6O7,6.03,2,NAc,8.462999,-0.46602142
3E4,11.99,2,NAc,10.271001,1.0388066
8M0,8.12,2,NAc,7.8090005,-0.8067035
1T9,4.11,2,NAc,6.4479995,-1.8230165
1P5,6.21,2,NAc,7.2090006,-1.7453442
4J6,7.15,2,NAc,8.993,0.08233981
41N,16.74,2,NAc,7.6949997,-0.8511747
6O7,6.03,2,NAc,7.114,-1.3014822
82V,16.01,2,NAc,10.67,1.4626102
6O7,6.03,2,NAc,7.118,-1.3536223
6O7,6.03,2,NAc,6.835,-1.3923017
1P5,6.21,2,NAc,7.707999,-0.9911356
6O7,6.03,2,NAc,8.567,-0.15875243
8M0,8.12,2,NAc,8.7439995,-0.23406611
55R,14.97,2,NAc,8.291,-0.4329727
1P5,6.21,2,NAc,6.593,-1.8573914
8I6,9.9,2,NAc,7.9380007,-0.79897726
8M0,8.12,2,NAc,7.493,-1.1536838
8M0,8.12,2,NAc,8.262,-0.54783595
6O7,6.03,2,NAc,8.849001,-0.051774032
2T2,4.09,2,NAc,6.484,-2.2248602
6O7,6.03,2,NAc,8.027,-0.7833042
6O7,6.03,2,NAc,9.036,0.1212023
8M0,8.12,2,NAc,7.1010003,-1.2169918
6O7,6.03,2,NAc,10.177,1.1102971
8I6,9.9,2,NAc,11.552,2.4015708
8M0,8.12,2,NAc,10.469,1.4646412
0G3,9.1,2,NAc,9.315001,0.25079992
4S3,3.18,2,NAc,10.455,1.2165997
3E4,11.99,2,NAc,8.857,-0.055845495
8M0,8.12,2,NAc,8.450999,-0.3663451
82V,16.01,2,NAc,9.280001,0.46175864
82V,16.01,2,NAc,9.699,0.5015508
55R,14.97,2,NAc,9.905,0.6411792
41N,16.74,2,NAc,8.799,-0.0077614225
6O7,6.03,2,NAc,8.091001,-0.66989005
6O7,6.03,2,NAc,7.1910005,-1.6954795
8M0,8.12,2,NAc,9.885,0.60683644
41N,16.74,2,NAc,7.31,-1.216264
3E4,11.99,2,NAc,9.364,0.3812521
0G3,9.1,2,NAc,9.8880005,0.5736359
1P5,6.21,2,NAc,8.918001,0.022785002
1P5,6.21,2,NAc,6.401,-1.8759749
8M0,8.12,2,NAc,7.493,-1.1124604
8M0,8.12,2,NAc,10.329,1.2526102
4J6,7.15,2,NAc,10.348001,1.1005008
6O7,6.03,2,NAc,8.533,-0.29255274
4S3,3.18,2,NAc,9.325,0.36012498
6O7,6.03,2,NAc,10.523001,1.3076677
31S,17.0,2,NAc,8.228,-0.6516248
8M0,8.12,2,NAc,7.9900002,-0.66249096
8M0,8.12,2,NAc,7.5320005,-0.9147812
8M0,8.12,2,NAc,8.227,-0.48709816
8M0,8.12,2,NAc,6.557,-2.0205913
82V,16.01,2,NAc,8.951,0.13235694
8M0,8.12,2,NAc,7.1540003,-1.3437594
55R,14.97,2,NAc,9.715,0.745867
82V,16.01,2,NAc,5.878,-2.5182564
41N,16.74,2,NAc,9.742999,0.6921182
1P5,6.21,2,NAc,7.9779997,-0.70943004
8M0,8.12,2,NAc,9.178,0.2908153
6O7,6.03,2,NAc,8.358,-0.40531448
6O7,6.03,2,NAc,6.0299997,-2.2407959
8M0,8.12,2,NAc,6.576,-1.8778608
8M0,8.12,2,NAc,6.9760003,-1.898003
55R,14.97,2,NAc,8.316,-0.57194465
8B3,13.09,2,NAc,10.146001,1.1164122
6O7,6.03,2,NAc,7.660001,-1.0567921
55R,14.97,2,NAc,8.514,-0.38030344
6O7,6.03,2,NAc,6.239,-2.011838
1P5,6.21,2,NAc,6.7699995,-1.7087778
4J6,7.15,2,NAc,8.712,-0.42175072
6O7,6.03,2,NAc,9.068,0.19787592
1P5,6.21,2,NAc,8.139,-0.6191108
8M0,8.12,2,NAc,7.903,-0.61806315
1P5,6.21,2,NAc,7.227,-1.5102098
8M0,8.12,2,NAc,7.493,-1.2024676
3E4,11.99,2,NAc,7.2479997,-1.1948265
1P5,6.21,2,NAc,7.2409997,-1.0236533
8I6,9.9,2,NAc,6.925,-1.6611152
41N,16.74,2,NAc,8.189,-0.33128074
6O7,6.03,2,NAc,7.824,-0.7276393
6O7,6.03,2,NAc,6.7660003,-1.7020023
6O7,6.03,2,NAc,9.110001,0.26121002
3E4,11.99,2,NAc,8.219999,-0.42389706
8M0,8.12,2,NAc,8.533,-0.32714513
82V,16.01,2,NAc,8.307,-0.51298696
6O7,6.03,2,NAc,7.259,-1.3630643
8M0,8.12,2,NAc,8.715,-0.31970036
55R,14.97,2,NAc,12.4140005,2.9051363
6O7,6.03,2,NAc,8.609,-0.07868822
8B3,13.09,2,NAc,7.3550005,-1.3333457
41N,16.74,2,NAc,6.912,-1.6515596
6O7,6.03,2,NAc,6.0299997,-2.122122
1P5,6.21,2,NAc,7.2090006,-1.7460028
2F2,11.04,2,NAc,9.252,0.14470603
4S3,3.18,2,NAc,8.337999,-0.3498683
