animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
8M0,8.12,12,CN,11.631999,0.62448084
3D1,13.11,12,CN,12.857999,1.5695354
3T5,5.12,12,CN,10.805,0.034228507
3T5,5.12,12,CN,10.733,0.16170914
3T5,5.12,12,CN,10.446,-0.22642715
1G8,7.88,12,CN,12.375999,1.3047897
7M4,8.15,12,CN,9.274,-0.93370754
31S,17.0,12,CN,14.398999,2.0888064
31S,17.0,12,CN,10.995,-0.0004412904
4S3,3.18,12,CN,7.432,-2.27404
46Z,13.97,12,CN,10.078001,-0.37686628
46Z,13.97,12,CN,11.932,0.71863616
4J6,7.15,12,CN,8.004999,-2.077698
4J6,7.15,12,CN,13.459,1.7575206
4Q6,3.22,12,CN,13.247,1.4752796
5H6,11.03,12,CN,11.404,0.3550281
6L4,8.2,12,CN,15.658999,3.6008244
2I1,10.27,12,CN,9.455,-0.7385381
1T9,4.11,12,CN,11.035,0.3213541
8I6,9.9,12,CN,10.488,-0.12835139
2Q0,3.21,12,CN,10.101,-0.5238052
8M0,8.12,12,CN,9.6970005,-0.6821653
2S2,6.31,12,CN,9.8619995,-0.35437578
56R,14.95,12,CN,10.485001,-0.28155357
3D1,13.11,12,CN,13.408,1.7821496
8H2,10.13,12,CN,10.198999,-0.40285414
2T2,4.09,12,CN,8.6,-1.5948648
50P,15.59,12,CN,9.809,-0.6721088
97R,17.93,12,CN,13.492,1.9444747
42T,15.96,12,CN,11.379,0.3438443
31S,17.0,12,CN,10.315001,-0.018701788
31S,17.0,12,CN,14.13,2.4933753
46Z,13.97,12,CN,8.91,-1.1668091
4J6,7.15,12,CN,10.393999,-0.28464627
4J6,7.15,12,CN,11.396001,0.4531887
4J6,7.15,12,CN,11.102,0.19744922
6L4,8.2,12,CN,12.802,1.3897876
6L4,8.2,12,CN,12.581,1.05144
1V8,4.31,12,CN,7.3589997,-2.060966
2V1,4.3,12,CN,8.030001,-1.8899564
2V1,4.3,12,CN,9.414,-0.8225172
0G3,9.1,12,CN,10.368001,-0.0044114143
82V,16.01,12,CN,13.434999,1.7798092
43N,17.0,12,CN,12.115,0.70038193
0B9,12.11,12,CN,9.429001,-0.9103868
3E4,11.99,12,CN,10.008,-0.58048034
1P5,6.21,12,CN,10.204,-0.2723888
8I6,9.9,12,CN,11.594,0.5724187
6D9,13.11,12,CN,11.554,0.6151224
8M0,8.12,12,CN,11.964,0.8453823
2S2,6.31,12,CN,11.21,0.34007323
55R,14.97,12,CN,10.304999,-0.15973292
55R,14.97,12,CN,10.289,-0.19384296
3D1,13.11,12,CN,12.541,1.1213572
3T5,5.12,12,CN,8.29,-1.5564896
8H2,10.13,12,CN,7.789,-1.6373785
8H2,10.13,12,CN,12.349,1.0079647
8H2,10.13,12,CN,12.411,1.0296834
5R4,6.25,12,CN,12.642,1.128218
7M4,8.15,12,CN,11.956999,0.9350849
7M4,8.15,12,CN,10.089,-0.43303454
2T6,5.18,12,CN,9.966001,-0.50558716
4J6,7.15,12,CN,10.91,0.024513245
77V,16.15,12,CN,11.467,0.51329523
0G3,9.1,12,CN,9.21,-0.93367743
82V,16.01,12,CN,7.3280005,-2.17464
43N,17.0,12,CN,9.91,-0.7366227
8C9,12.12,12,CN,9.847,-0.54160666
2C6,14.03,12,CN,11.148999,0.094774574
3E4,11.99,12,CN,14.219,2.418986
8I6,9.9,12,CN,12.657001,1.2885351
8I6,9.9,12,CN,8.846999,-1.2402837
2Q0,3.21,12,CN,9.54,-0.7836418
2S6,3.17,12,CN,10.374001,-0.120417
7M4,8.15,12,CN,9.415,-0.6661239
7M4,8.15,12,CN,10.667,-0.07126184
42T,15.96,12,CN,8.813001,-1.50156
42T,15.96,12,CN,14.311999,2.2216828
46Z,13.97,12,CN,13.334,1.6205038
46Z,13.97,12,CN,9.374,-0.85712636
4Q6,3.22,12,CN,9.516001,-0.7672816
4Q6,3.22,12,CN,8.29,-1.6516601
2I1,10.27,12,CN,15.316999,2.8929775
2V1,4.3,12,CN,8.992001,-1.3448287
74K,20.81,12,CN,12.337001,1.0294788
43N,17.0,12,CN,11.029,-0.040998112
8C9,12.12,12,CN,9.601,-0.7840473
6O7,6.03,12,CN,9.538,-0.7485181
3E4,11.99,12,CN,12.251,0.9110181
1P5,6.21,12,CN,10.766001,-0.0009104981
8I6,9.9,12,CN,11.451001,0.3473829
3D1,13.11,12,CN,8.085,-1.7187555
3D1,13.11,12,CN,8.032,-1.6729732
3D1,13.11,12,CN,14.470999,2.550503
3T5,5.12,12,CN,7.8949995,-1.9065166
2F2,11.04,12,CN,8.606001,-1.3881849
5H6,11.03,12,CN,11.025001,0.28699166
6L4,8.2,12,CN,11.586,0.42966878
41N,16.74,12,CN,7.8229995,-1.8861139
0G3,9.1,12,CN,9.869,-0.4896976
82V,16.01,12,CN,10.375,-0.25748703
82V,16.01,12,CN,12.479,1.2173945
1P5,6.21,12,CN,11.877,0.9546749
8I6,9.9,12,CN,10.206,-0.18186307
2Q0,3.21,12,CN,8.991,-1.1496878
6D9,13.11,12,CN,11.486,0.393803
2S2,6.31,12,CN,7.6520004,-2.1915536
2S2,6.31,12,CN,8.639999,-1.2954419
1G8,7.88,12,CN,9.198,-1.3251894
5R4,6.25,12,CN,10.984,0.05735462
5R4,6.25,12,CN,11.389999,0.27003634
98V,16.03,12,CN,10.956,0.28404215
50P,15.59,12,CN,11.921,0.7843297
7M4,8.15,12,CN,9.93,-0.58470523
2T6,5.18,12,CN,10.112,-0.40190488
2T6,5.18,12,CN,12.436,0.95310706
91O,15.86,12,CN,12.685,1.3843707
6L4,8.2,12,CN,10.566,-0.16276087
2I1,10.27,12,CN,9.568,-0.62208706
2I1,10.27,12,CN,10.439001,-0.034398746
8C9,12.12,12,CN,6.94,-2.4710112
1T9,4.11,12,CN,7.9,-1.9798962
6O7,6.03,12,CN,9.529,-0.90104216
8I6,9.9,12,CN,9.990999,-0.5752966
8I6,9.9,12,CN,10.51,-0.06870765
6D9,13.11,12,CN,8.141001,-1.7775195
3K1,9.01,12,CN,13.12,1.7851002
3K1,9.01,12,CN,10.0529995,-0.58917654
3T5,5.12,12,CN,6.7259994,-2.7074492
3T5,5.12,12,CN,6.9589996,-2.6265419
98V,16.03,12,CN,10.643,-0.0711468
98V,16.03,12,CN,12.426001,1.0750622
2T6,5.18,12,CN,7.8589997,-1.8412237
4S3,3.18,12,CN,6.4309998,-3.136633
4J6,7.15,12,CN,7.2200003,-2.370514
5H6,11.03,12,CN,11.123,0.30009544
1V8,4.31,12,CN,11.436,0.4611941
1T9,4.11,12,CN,10.882999,0.08117533
