animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3E4,11.99,15,HIP,11.878,0.63747156
0G3,9.1,15,HIP,10.515,-0.46662167
0G3,9.1,15,HIP,11.046999,-0.15101966
56R,14.95,15,HIP,10.848,-0.2292561
56R,14.95,15,HIP,11.518,0.1139758
2T2,4.09,15,HIP,10.457999,-0.51388884
2T2,4.09,15,HIP,7.925,-2.0141528
56R,14.95,15,HIP,10.955,-0.08391903
56R,14.95,15,HIP,12.742,1.0163312
2T2,4.09,15,HIP,10.972,-0.13636804
0B9,12.11,15,HIP,12.123,0.7106318
1L1,8.17,15,HIP,10.834001,-0.3107599
56R,14.95,15,HIP,10.134,-0.9158499
1G8,7.88,15,HIP,12.18,0.71981317
1G8,7.88,15,HIP,9.693,-0.9197294
6O7,6.03,15,HIP,10.130999,-0.7797334
0G3,9.1,15,HIP,11.502,0.25211614
4Q6,3.22,15,HIP,10.338,-0.7083195
3E4,11.99,15,HIP,9.359,-1.2260715
56R,14.95,15,HIP,13.190999,1.2512155
2T2,4.09,15,HIP,7.6940002,-2.1917207
3E4,11.99,15,HIP,10.28,-0.66411746
56R,14.95,15,HIP,11.477,0.2811963
3E4,11.99,15,HIP,11.446,0.1606722
0G3,9.1,15,HIP,12.227999,0.88418376
56R,14.95,15,HIP,9.337,-1.4174752
1G8,7.88,15,HIP,10.845999,-0.2625261
1G8,7.88,15,HIP,7.565,-2.6245685
3K1,9.01,15,HIP,9.995,-0.72421414
1G8,7.88,15,HIP,11.481999,0.17390184
1T9,4.11,15,HIP,11.124,-0.023078142
4Q6,3.22,15,HIP,11.217999,0.04365403
3T5,5.12,15,HIP,11.641001,0.25859368
31S,17.0,15,HIP,9.131999,-1.4781504
74K,20.81,15,HIP,8.080999,-2.288286
56R,14.95,15,HIP,11.247,0.0011901924
3E4,11.99,15,HIP,9.642,-0.99194247
0G3,9.1,15,HIP,10.658999,-0.3466041
1G8,7.88,15,HIP,11.087999,-0.17559144
2Q0,3.21,15,HIP,11.247999,0.03839123
3T5,5.12,15,HIP,11.418,0.19182934
1L1,8.17,15,HIP,12.637999,1.0719967
3E4,11.99,15,HIP,9.758,-1.0991702
56R,14.95,15,HIP,9.216,-1.3731668
91O,15.86,15,HIP,11.047999,-0.2231473
56R,14.95,15,HIP,11.517,0.20190638
56R,14.95,15,HIP,13.361,1.4870604
3E4,11.99,15,HIP,12.968,1.31418
3D1,13.11,15,HIP,11.7960005,0.40083924
74K,20.81,15,HIP,12.103999,0.6955299
77V,16.15,15,HIP,11.206,-0.1094265
0G3,9.1,15,HIP,10.688999,-0.3800804
56R,14.95,15,HIP,11.098999,-0.039253
3E4,11.99,15,HIP,12.160999,0.8545924
3E4,11.99,15,HIP,10.748999,-0.28533176
74K,20.81,15,HIP,13.125999,1.1997869
2Q0,3.21,15,HIP,11.311999,0.23899113
56R,14.95,15,HIP,11.146,-0.05881315
1G8,7.88,15,HIP,10.793,-0.40449476
2C6,14.03,15,HIP,10.547,-0.4316023
2I1,10.27,15,HIP,8.928999,-1.6424468
3E4,11.99,15,HIP,11.815,0.34770045
2T2,4.09,15,HIP,9.434,-1.0858468
56R,14.95,15,HIP,13.803999,1.8634583
0G3,9.1,15,HIP,9.695,-1.1713187
3K1,9.01,15,HIP,11.966,0.5336905
3E4,11.99,15,HIP,11.924,0.36719438
3E4,11.99,15,HIP,12.606999,1.2484391
31S,17.0,15,HIP,11.092999,-0.17228596
56R,14.95,15,HIP,12.186998,0.7282714
1G8,7.88,15,HIP,8.378,-2.1828654
1G8,7.88,15,HIP,10.384,-0.6204186
41N,16.74,15,HIP,13.1779995,1.2593155
56R,14.95,15,HIP,7.3459992,-2.569908
3E4,11.99,15,HIP,12.099001,0.8339043
3E4,11.99,15,HIP,11.738999,0.44219202
56R,14.95,15,HIP,9.958,-0.6862953
1G8,7.88,15,HIP,12.134,0.69942224
56R,14.95,15,HIP,10.6189995,-0.38965482
77V,16.15,15,HIP,9.727999,-1.1051835
4Q6,3.22,15,HIP,11.202,-0.033178605
8B3,13.09,15,HIP,11.723001,0.44465664
74K,20.81,15,HIP,11.231999,0.06139258
74K,20.81,15,HIP,10.933001,-0.18333827
3E4,11.99,15,HIP,10.651,-0.4103032
2S6,3.17,15,HIP,11.021999,-0.19061407
2T2,4.09,15,HIP,9.740999,-0.95487964
3T5,5.12,15,HIP,12.266001,0.66364175
3E4,11.99,15,HIP,11.837,0.53704405
56R,14.95,15,HIP,10.741999,-0.16625917
2Q0,3.21,15,HIP,9.532,-1.187833
3E4,11.99,15,HIP,12.633,0.946733
56R,14.95,15,HIP,10.512,-0.46149686
3E4,11.99,15,HIP,12.978002,1.2294219
1G8,7.88,15,HIP,12.504999,1.0665687
31S,17.0,15,HIP,11.906,0.36766055
2C6,14.03,15,HIP,11.344999,0.14003757
56R,14.95,15,HIP,11.185999,-0.086097896
43N,17.0,15,HIP,8.994,-1.5567396
4Q6,3.22,15,HIP,10.8029995,-0.24964048
2I1,10.27,15,HIP,10.508,-0.4693057
31S,17.0,15,HIP,12.431,0.83991843
6O7,6.03,15,HIP,11.448,0.16054371
77V,16.15,15,HIP,8.739,-1.7300525
3T5,5.12,15,HIP,10.745,-0.22586381
2C6,14.03,15,HIP,8.872999,-1.5357689
0B9,12.11,15,HIP,11.853999,0.45448908
31S,17.0,15,HIP,11.908,0.60611755
97R,17.93,15,HIP,9.655001,-1.2159808
7F0,11.2,15,HIP,12.941999,1.6154231
1L1,8.17,15,HIP,11.065001,-0.19011131
2S6,3.17,15,HIP,8.537,-1.803278
