animal_id,age,louvain,region,neighbor_mean_age,neighbor_age_zscore
3R7,3.32,16,NAc,7.2939997,-0.38643137
41N,16.74,16,NAc,9.41,1.2644366
3E4,11.99,16,NAc,9.672,1.3319923
3T5,5.12,16,NAc,8.666,0.70144755
1V8,4.31,16,NAc,5.832,-1.4536653
3T5,5.12,16,NAc,6.3829994,-1.1608384
1V8,4.31,16,NAc,7.123,-0.5073814
3T5,5.12,16,NAc,8.8550005,0.8488725
6O7,6.03,16,NAc,5.865,-1.3340983
3R7,3.32,16,NAc,7.644,-0.07782443
1V8,4.31,16,NAc,5.123,-1.9508554
1V8,4.31,16,NAc,7.2910004,-0.46621552
2F2,11.04,16,NAc,6.5590005,-0.92525166
1P5,6.21,16,NAc,6.401,-1.0995525
1G8,7.88,16,NAc,8.144,0.11582978
3E4,11.99,16,NAc,10.040999,1.4090253
1V8,4.31,16,NAc,6.6800003,-0.86334985
1P5,6.21,16,NAc,5.4749994,-1.7615945
3K1,9.01,16,NAc,5.486,-1.7718873
56K,19.93,16,NAc,6.514,-0.9434949
74K,20.81,16,NAc,9.181,1.0851797
1V8,4.31,16,NAc,5.565,-1.4255389
3R7,3.32,16,NAc,9.846001,1.6271752
55R,14.97,16,NAc,8.371,0.34683514
1V8,4.31,16,NAc,4.905,-2.2011108
3R7,3.32,16,NAc,8.343,0.5104065
3K1,9.01,16,NAc,5.8749995,-1.5556662
1V8,4.31,16,NAc,8.127001,0.32057473
56R,14.95,16,NAc,8.486,0.43452054
1P5,6.21,16,NAc,5.9919996,-1.2898277
4Q6,3.22,16,NAc,5.931,-1.3640587
1V8,4.31,16,NAc,4.5800004,-2.8492813
1P5,6.21,16,NAc,5.505,-1.5232514
1P5,6.21,16,NAc,6.3879995,-1.1488589
55R,14.97,16,NAc,8.937,0.7215377
1P5,6.21,16,NAc,5.394,-1.995562
1P5,6.21,16,NAc,6.2319994,-0.89643145
3R7,3.32,16,NAc,11.587,2.489783
3T5,5.12,16,NAc,4.824,-1.9893991
3R7,3.32,16,NAc,4.81,-2.407539
55R,14.97,16,NAc,11.65,2.951947
3R7,3.32,16,NAc,8.215001,0.3056095
3K1,9.01,16,NAc,8.501,0.6808394
1G8,7.88,16,NAc,10.989,2.52993
37V,15.07,16,NAc,13.011,3.6376588
37V,15.07,16,NAc,10.316,1.6212202
3R7,3.32,16,NAc,8.0720005,0.33827797
1P5,6.21,16,NAc,5.9919996,-1.4659914
3T5,5.12,16,NAc,5.258,-2.131867
98V,16.03,16,NAc,10.158001,1.8223807
2F2,11.04,16,NAc,7.967,0.09313461
3T5,5.12,16,NAc,6.908,-0.73660994
41N,16.74,16,NAc,8.079,0.1108984
1V8,4.31,16,NAc,4.986,-2.3813677
1P5,6.21,16,NAc,5.5309997,-1.818952
1P5,6.21,16,NAc,6.002,-1.2730175
3E4,11.99,16,NAc,8.089,0.3867052
3T5,5.12,16,NAc,5.519,-1.484205
37V,15.07,16,NAc,9.708,1.6509551
37V,15.07,16,NAc,9.1380005,0.9365079
3R7,3.32,16,NAc,4.9689994,-2.2623625
37V,15.07,16,NAc,14.464002,5.600517
55R,14.97,16,NAc,7.2489996,-0.32701248
98V,16.03,16,NAc,6.722,-0.94617176
3R7,3.32,16,NAc,7.168,-0.47949857
1P5,6.21,16,NAc,7.192,-0.36694723
3K1,9.01,16,NAc,6.643,-0.81777596
3T5,5.12,16,NAc,5.898,-1.3637053
3T5,5.12,16,NAc,5.366,-2.0055826
1G8,7.88,16,NAc,7.984,0.13365395
2F2,11.04,16,NAc,6.9560003,-0.42975116
1V8,4.31,16,NAc,6.9270005,-0.71191925
3R7,3.32,16,NAc,6.3959994,-0.9909571
3T5,5.12,16,NAc,5.257,-1.7967623
3T5,5.12,16,NAc,6.578,-1.0556545
37V,15.07,16,NAc,12.863001,4.471236
55R,14.97,16,NAc,5.148,-2.1699476
3R7,3.32,16,NAc,7.05,-0.5680591
56R,14.95,16,NAc,12.684999,3.6954827
37V,15.07,16,NAc,14.075,5.430244
1V8,4.31,16,NAc,7.794,0.011196514
1V8,4.31,16,NAc,5.6549997,-1.514053
2F2,11.04,16,NAc,10.258,2.038088
4Q6,3.22,16,NAc,6.4800005,-1.0738227
3E4,11.99,16,NAc,10.261999,2.0461783
3T5,5.12,16,NAc,5.936,-1.3844646
3K1,9.01,16,NAc,5.717,-1.5528104
37V,15.07,16,NAc,11.669001,2.8660803
3T5,5.12,16,NAc,7.623,-0.11435294
3T5,5.12,16,NAc,6.504,-1.1115601
1P5,6.21,16,NAc,6.002,-1.1014154
1P5,6.21,16,NAc,5.45,-2.2670412
1V8,4.31,16,NAc,6.9780006,-0.66997814
1G8,7.88,16,NAc,7.05,-0.5781795
8B3,13.09,16,NAc,5.4570003,-1.6655993
3E4,11.99,16,NAc,11.0199995,2.247338
1P5,6.21,16,NAc,6.244,-0.9931686
1P5,6.21,16,NAc,8.558001,0.60470974
3T5,5.12,16,NAc,6.514,-0.8661244
2F2,11.04,16,NAc,8.211,0.461836
1P5,6.21,16,NAc,5.7720003,-1.5792936
2Q0,3.21,16,NAc,9.316999,1.267533
98V,16.03,16,NAc,8.887001,0.7273743
3R7,3.32,16,NAc,8.306001,0.3987854
1P5,6.21,16,NAc,6.064,-1.2006918
55R,14.97,16,NAc,5.341,-1.8021983
1V8,4.31,16,NAc,4.581,-2.3254168
3T5,5.12,16,NAc,10.136,1.7187437
1T9,4.11,16,NAc,7.081,-0.62691617
1G8,7.88,16,NAc,8.964,1.0053905
1P5,6.21,16,NAc,7.9480004,0.043719992
37V,15.07,16,NAc,12.245001,3.8880067
1V8,4.31,16,NAc,8.806,0.70276815
3K1,9.01,16,NAc,8.838,0.91329545
3R7,3.32,16,NAc,6.478999,-0.952083
3T5,5.12,16,NAc,8.772,0.85410714
3K1,9.01,16,NAc,9.87,1.5870275
55R,14.97,16,NAc,6.371,-1.0778936
8H2,10.13,16,NAc,5.985,-1.2979246
3T5,5.12,16,NAc,7.3020005,-0.39156395
3T5,5.12,16,NAc,4.933,-2.1316833
3R7,3.32,16,NAc,6.655,-0.93051314
3T5,5.12,16,NAc,5.646,-1.5750332
1G8,7.88,16,NAc,6.984,-0.4932064
6O7,6.03,16,NAc,7.047,-0.58909136
98V,16.03,16,NAc,10.248,1.7942618
8M0,8.12,16,NAc,6.2860003,-1.0482982
3T5,5.12,16,NAc,6.7039995,-0.8672322
2Q0,3.21,16,NAc,4.8410006,-2.1440597
8M0,8.12,16,NAc,7.474,-0.4673354
1P5,6.21,16,NAc,5.366,-1.5287668
3K1,9.01,16,NAc,7.7,-0.047134332
1V8,4.31,16,NAc,10.1779995,1.7716932
3R7,3.32,16,NAc,12.425,3.6208053
1V8,4.31,16,NAc,5.994,-1.3918455
1P5,6.21,16,NAc,6.0829997,-1.1841367
3R7,3.32,16,NAc,6.9340005,-0.70500356
3K1,9.01,16,NAc,7.111,-0.5201194
1P5,6.21,16,NAc,5.014,-2.1410992
1P5,6.21,16,NAc,5.9919996,-1.4934511
3T5,5.12,16,NAc,5.3199997,-1.782199
1G8,7.88,16,NAc,6.1839995,-1.175236
2F2,11.04,16,NAc,8.04,0.23953472
37V,15.07,16,NAc,10.326,1.9173324
3T5,5.12,16,NAc,5.509,-1.8398585
3T5,5.12,16,NAc,6.2239995,-1.1891994
1V8,4.31,16,NAc,8.818001,0.6523624
2S6,3.17,16,NAc,8.0720005,0.15583506
1G8,7.88,16,NAc,9.336,1.0585982
3K1,9.01,16,NAc,10.391001,2.0203817
1V8,4.31,16,NAc,5.29,-1.8553742
1V8,4.31,16,NAc,6.3789997,-0.9847475
2S6,3.17,16,NAc,7.3190002,-0.42215726
3T5,5.12,16,NAc,10.736,2.2258477
3T5,5.12,16,NAc,7.603999,-0.21669853
37V,15.07,16,NAc,13.277,4.3537216
98V,16.03,16,NAc,6.4660006,-0.7445688
1P5,6.21,16,NAc,5.9639997,-1.2589334
55R,14.97,16,NAc,6.0270004,-1.1969553
3T5,5.12,16,NAc,6.2060003,-1.2077807
1P5,6.21,16,NAc,6.0649996,-1.1219724
3R7,3.32,16,NAc,6.292,-1.0603447
1V8,4.31,16,NAc,5.186,-1.822944
56R,14.95,16,NAc,10.17,2.0345697
3T5,5.12,16,NAc,5.039,-2.1623027
3T5,5.12,16,NAc,5.5999994,-1.6367159
1V8,4.31,16,NAc,6.6909995,-0.68953574
1V8,4.31,16,NAc,4.8240004,-2.3296244
1P5,6.21,16,NAc,6.187,-1.1326704
4S3,3.18,16,NAc,7.308,-0.41329566
3T5,5.12,16,NAc,6.3149996,-1.0330225
1P5,6.21,16,NAc,7.8269997,0.10698785
1P5,6.21,16,NAc,6.174,-0.9286638
3T5,5.12,16,NAc,5.484,-1.7501146
1V8,4.31,16,NAc,5.783,-1.3363684
4S3,3.18,16,NAc,6.21,-1.1398143
1P5,6.21,16,NAc,6.965001,-0.87625265
2F2,11.04,16,NAc,12.037001,3.020846
1P5,6.21,16,NAc,7.7509995,0.0037076466
8M0,8.12,16,NAc,9.007,0.8413545
2F2,11.04,16,NAc,9.802,1.4789627
1V8,4.31,16,NAc,5.921,-1.4730457
3T5,5.12,16,NAc,5.736,-1.524943
3T5,5.12,16,NAc,6.32,-1.2595499
1V8,4.31,16,NAc,7.484,-0.264782
1V8,4.31,16,NAc,5.728,-1.4095204
1P5,6.21,16,NAc,6.0800004,-1.2361307
3K1,9.01,16,NAc,7.961,0.14386243
98V,16.03,16,NAc,6.576,-1.0631734
3R7,3.32,16,NAc,6.419,-1.0040373
1V8,4.31,16,NAc,5.104,-2.1957858
8M0,8.12,16,NAc,8.029,0.21600994
3K1,9.01,16,NAc,8.124,0.31002492
1V8,4.31,16,NAc,5.8450003,-1.3992887
1P5,6.21,16,NAc,6.192,-1.187199
3T5,5.12,16,NAc,5.509,-1.7634659
1V8,4.31,16,NAc,5.052,-2.2264075
1V8,4.31,16,NAc,6.191,-1.3178391
3T5,5.12,16,NAc,6.3149996,-1.1612455
2F2,11.04,16,NAc,8.415,0.37832582
1V8,4.31,16,NAc,5.4030004,-1.7863957
3R7,3.32,16,NAc,8.293,0.27693734
3R7,3.32,16,NAc,8.619,0.7041737
1P5,6.21,16,NAc,6.275,-1.0476196
1V8,4.31,16,NAc,6.4940004,-0.96529096
56R,14.95,16,NAc,12.375999,3.4618318
6O7,6.03,16,NAc,7.2240005,-0.37522203
3E4,11.99,16,NAc,10.966001,2.6959436
2S6,3.17,16,NAc,7.7260003,0.21553586
1G8,7.88,16,NAc,10.776999,2.460505
3K1,9.01,16,NAc,7.8000007,0.022286972
98V,16.03,16,NAc,6.2850003,-1.1063299
3T5,5.12,16,NAc,8.077,0.1956608
6O7,6.03,16,NAc,8.315001,0.3519454
3K1,9.01,16,NAc,8.553,0.67866135
3T5,5.12,16,NAc,5.347,-1.8134705
3T5,5.12,16,NAc,5.148,-2.0081491
1V8,4.31,16,NAc,5.232,-1.9261014
1V8,4.31,16,NAc,5.295,-2.1580884
8M0,8.12,16,NAc,8.822,0.56873435
56R,14.95,16,NAc,10.309,2.0863287
1G8,7.88,16,NAc,6.703,-0.8272049
1V8,4.31,16,NAc,6.6470003,-1.040858
1V8,4.31,16,NAc,5.124,-2.1836522
1G8,7.88,16,NAc,7.1060004,-0.63811904
98V,16.03,16,NAc,7.7660003,0.015761137
37V,15.07,16,NAc,11.3880005,2.9422572
56R,14.95,16,NAc,10.860999,2.317225
1T9,4.11,16,NAc,10.382,1.9969474
37V,15.07,16,NAc,13.858,5.092304
3T5,5.12,16,NAc,8.107,0.25358775
1P5,6.21,16,NAc,6.377,-1.127682
37V,15.07,16,NAc,6.776,-0.77987397
37V,15.07,16,NAc,8.521001,0.43362138
3T5,5.12,16,NAc,5.7139997,-1.738819
1P5,6.21,16,NAc,5.475,-1.6820637
3R7,3.32,16,NAc,9.487,1.1715747
8M0,8.12,16,NAc,4.824,-1.9099519
3T5,5.12,16,NAc,5.4469995,-1.8034484
2F2,11.04,16,NAc,7.65,-0.2002895
1P5,6.21,16,NAc,5.9839997,-1.3889971
55R,14.97,16,NAc,8.07,0.27148417
8M0,8.12,16,NAc,7.458,-0.34691206
3T5,5.12,16,NAc,6.3149996,-1.0021218
98V,16.03,16,NAc,8.726,0.65533054
3T5,5.12,16,NAc,6.0649996,-1.344848
1P5,6.21,16,NAc,6.4040003,-0.9999847
1P5,6.21,16,NAc,5.5999994,-1.6766227
3K1,9.01,16,NAc,10.703,2.3086965
55R,14.97,16,NAc,6.493,-1.0876974
3T5,5.12,16,NAc,5.148,-1.8473103
3T5,5.12,16,NAc,6.3879995,-1.0229237
1V8,4.31,16,NAc,8.269,0.44142032
1V8,4.31,16,NAc,4.961,-2.2467768
6O7,6.03,16,NAc,5.428,-1.7506791
3K1,9.01,16,NAc,9.309,0.97146773
3T5,5.12,16,NAc,5.802,-1.4294362
37V,15.07,16,NAc,14.95,6.0279565
1P5,6.21,16,NAc,6.376,-0.9962915
56R,14.95,16,NAc,8.5199995,0.49224645
1P5,6.21,16,NAc,6.9560003,-0.58422196
1P5,6.21,16,NAc,5.338,-2.0485396
1P5,6.21,16,NAc,6.298,-1.1211717
98V,16.03,16,NAc,10.372,1.9539341
3R7,3.32,16,NAc,4.8549995,-2.3596673
2T6,5.18,16,NAc,6.762,-0.7317705
0G3,9.1,16,NAc,8.794001,0.79249865
1P5,6.21,16,NAc,6.832,-0.63527614
3K1,9.01,16,NAc,6.686,-0.86225766
6O7,6.03,16,NAc,5.628,-1.2821798
1P5,6.21,16,NAc,9.877001,1.6310867
3R7,3.32,16,NAc,11.584,3.1399922
1P5,6.21,16,NAc,7.4339995,-0.222474
1G8,7.88,16,NAc,7.429,-0.32294372
2F2,11.04,16,NAc,7.854,0.053582046
8M0,8.12,16,NAc,9.833,1.4538234
2T6,5.18,16,NAc,9.3359995,1.1775798
91O,15.86,16,NAc,8.389001,0.43858147
1V8,4.31,16,NAc,5.4550004,-1.563026
1P5,6.21,16,NAc,9.736,1.3689128
3T5,5.12,16,NAc,6.9370003,-0.58866525
1P5,6.21,16,NAc,8.118,0.3335618
41N,16.74,16,NAc,9.097,0.97904485
1P5,6.21,16,NAc,5.802,-1.4660349
3T5,5.12,16,NAc,8.293001,0.3449633
2F2,11.04,16,NAc,5.732,-1.3974274
1P5,6.21,16,NAc,7.1740007,-0.27958333
3R7,3.32,16,NAc,7.218,-0.4576599
1P5,6.21,16,NAc,6.1839995,-1.3463088
1P5,6.21,16,NAc,7.8089995,-0.23147468
1P5,6.21,16,NAc,7.141,-0.48727185
56R,14.95,16,NAc,8.3220005,0.33804485
3T5,5.12,16,NAc,6.206,-1.1317047
2T6,5.18,16,NAc,5.693,-1.5861646
37V,15.07,16,NAc,7.797,0.08288083
3R7,3.32,16,NAc,7.773999,0.093035914
37V,15.07,16,NAc,10.267,1.9621785
3K1,9.01,16,NAc,6.498,-0.9432768
1P5,6.21,16,NAc,5.8019996,-1.4148864
3T5,5.12,16,NAc,6.734,-0.791326
1V8,4.31,16,NAc,4.852,-2.4786594
1P5,6.21,16,NAc,6.101,-1.1539829
37V,15.07,16,NAc,10.348001,1.9355514
31S,17.0,16,NAc,9.031,0.92127067
1P5,6.21,16,NAc,5.814,-1.6209599
3R7,3.32,16,NAc,8.8949995,0.8951608
98V,16.03,16,NAc,5.571,-1.5732847
55R,14.97,16,NAc,12.07,3.2841299
3T5,5.12,16,NAc,7.998,0.08105203
3T5,5.12,16,NAc,7.1960006,-0.30818567
1V8,4.31,16,NAc,8.554999,0.5634949
1P5,6.21,16,NAc,5.814,-1.3662611
3T5,5.12,16,NAc,6.4229994,-0.9940248
1V8,4.31,16,NAc,6.703,-0.7653444
1P5,6.21,16,NAc,5.79,-1.3805419
1P5,6.21,16,NAc,5.531,-1.6985176
8M0,8.12,16,NAc,9.004,1.1832827
55R,14.97,16,NAc,11.488,2.5837755
3T5,5.12,16,NAc,6.13,-1.1913036
3T5,5.12,16,NAc,5.158,-1.6163759
98V,16.03,16,NAc,8.734,0.7047066
1V8,4.31,16,NAc,7.947,0.25027347
1V8,4.31,16,NAc,8.294001,0.27871725
1P5,6.21,16,NAc,5.802,-1.497497
1P5,6.21,16,NAc,9.108999,1.1032084
3R7,3.32,16,NAc,8.035001,0.0724437
55R,14.97,16,NAc,6.972,-0.63068664
55R,14.97,16,NAc,7.7299995,-0.061246503
3T5,5.12,16,NAc,5.313,-2.049305
1P5,6.21,16,NAc,6.7509995,-0.70954376
3T5,5.12,16,NAc,5.565,-1.5243751
56R,14.95,16,NAc,10.058001,1.6320931
1V8,4.31,16,NAc,9.884,1.6650687
3R7,3.32,16,NAc,8.076,0.30042797
37V,15.07,16,NAc,10.055,1.605169
55R,14.97,16,NAc,7.3510003,-0.2071841
3R7,3.32,16,NAc,6.3380003,-1.2317495
1G8,7.88,16,NAc,7.3389997,-0.32220614
3K1,9.01,16,NAc,6.0620003,-1.3311176
3T5,5.12,16,NAc,5.7959995,-1.4329269
1V8,4.31,16,NAc,8.061,0.27083123
1P5,6.21,16,NAc,5.123,-1.9459534
1L1,8.17,16,NAc,8.3949995,0.50179976
1P5,6.21,16,NAc,7.576,-0.19334851
55R,14.97,16,NAc,7.3049994,-0.26847893
3T5,5.12,16,NAc,5.7860003,-1.4783703
8M0,8.12,16,NAc,6.381,-1.1907035
1P5,6.21,16,NAc,7.5910006,-0.28402346
37V,15.07,16,NAc,8.666,0.7426095
3K1,9.01,16,NAc,7.7680006,0.12109697
1V8,4.31,16,NAc,5.512,-1.6376636
3K1,9.01,16,NAc,9.675,1.5784792
1V8,4.31,16,NAc,7.943,0.01798421
37V,15.07,16,NAc,9.301001,1.165935
1V8,4.31,16,NAc,4.7710004,-2.2244854
3K1,9.01,16,NAc,7.8879995,0.28366894
98V,16.03,16,NAc,8.448,0.47403148
3E4,11.99,16,NAc,7.9059997,0.27790174
3R7,3.32,16,NAc,9.833,1.6444223
37V,15.07,16,NAc,11.509001,2.6435487
1V8,4.31,16,NAc,6.8519998,-0.75791556
1V8,4.31,16,NAc,7.686,-0.0011515096
3R7,3.32,16,NAc,7.0449996,-0.4178705
55R,14.97,16,NAc,8.712,0.8566917
3T5,5.12,16,NAc,5.817,-1.6986399
3R7,3.32,16,NAc,8.881,0.9264599
1P5,6.21,16,NAc,5.9550004,-1.3899828
3T5,5.12,16,NAc,5.0420003,-2.0344996
3T5,5.12,16,NAc,5.0950003,-2.054083
1V8,4.31,16,NAc,5.5390005,-1.9632642
1P5,6.21,16,NAc,6.4850006,-0.86754364
3T5,5.12,16,NAc,6.8440003,-0.6347133
3T5,5.12,16,NAc,5.5999994,-1.7045089
31S,17.0,16,NAc,7.0940003,-0.46103755
3T5,5.12,16,NAc,5.898,-1.225888
3K1,9.01,16,NAc,9.742,1.6931968
3T5,5.12,16,NAc,5.519,-1.6298888
1V8,4.31,16,NAc,6.457,-0.99845445
1P5,6.21,16,NAc,6.0829997,-1.202685
3R7,3.32,16,NAc,6.9899993,-0.6115764
37V,15.07,16,NAc,10.228999,1.650761
37V,15.07,16,NAc,8.291,0.5067817
1G8,7.88,16,NAc,8.411,0.4772896
2F2,11.04,16,NAc,6.94,-0.6834097
1V8,4.31,16,NAc,5.584,-1.733638
1V8,4.31,16,NAc,7.748001,-0.109721534
1V8,4.31,16,NAc,5.447,-1.7383215
3R7,3.32,16,NAc,7.1019998,-0.47728333
1P5,6.21,16,NAc,9.628,1.375579
56R,14.95,16,NAc,12.315,3.3278456
3T5,5.12,16,NAc,5.565,-1.6093668
1V8,4.31,16,NAc,6.4849997,-0.9620427
3K1,9.01,16,NAc,9.368001,1.173983
3T5,5.12,16,NAc,5.953,-1.3459895
1P5,6.21,16,NAc,5.9110003,-1.3942639
1G8,7.88,16,NAc,5.912,-1.5113436
2Q0,3.21,16,NAc,5.716,-1.5740793
2Q0,3.21,16,NAc,7.4329996,-0.14600083
3T5,5.12,16,NAc,5.039,-2.1939583
1P5,6.21,16,NAc,5.521,-1.7475585
37V,15.07,16,NAc,11.261999,2.6565576
8H2,10.13,16,NAc,7.9119997,0.15199131
2F2,11.04,16,NAc,5.4509993,-1.6938118
91O,15.86,16,NAc,10.613,2.4174292
1V8,4.31,16,NAc,4.74,-2.3269718
1P5,6.21,16,NAc,8.723,0.75620484
3R7,3.32,16,NAc,5.222,-2.0214
3K1,9.01,16,NAc,7.646,-0.10938217
55R,14.97,16,NAc,9.482,1.2761741
1V8,4.31,16,NAc,7.2,-0.38251022
1V8,4.31,16,NAc,6.386,-1.010035
1T9,4.11,16,NAc,6.745,-0.79330605
3K1,9.01,16,NAc,6.45,-0.99485147
1V8,4.31,16,NAc,6.1330004,-1.3508668
2S6,3.17,16,NAc,6.8160005,-0.6102829
2Q0,3.21,16,NAc,6.107,-1.3075081
3K1,9.01,16,NAc,6.7720003,-0.8062439
2F2,11.04,16,NAc,8.290999,0.35017392
2S6,3.17,16,NAc,6.727,-0.82184345
2S6,3.17,16,NAc,5.974,-1.1498505
37V,15.07,16,NAc,5.9079995,-1.1968153
98V,16.03,16,NAc,9.839,1.4445645
41N,16.74,16,NAc,7.1540003,-0.406132
1V8,4.31,16,NAc,5.612,-1.6752211
0G3,9.1,16,NAc,6.5979996,-0.7846048
3R7,3.32,16,NAc,9.338,1.2290736
55R,14.97,16,NAc,5.751,-1.4977275
3K1,9.01,16,NAc,6.5200005,-0.7717714
56R,14.95,16,NAc,11.115,2.373683
3T5,5.12,16,NAc,5.567,-1.6971575
2I1,10.27,16,NAc,9.764,1.6382254
1V8,4.31,16,NAc,5.422,-1.7850229
1P5,6.21,16,NAc,6.703,-0.7089874
3T5,5.12,16,NAc,6.1429996,-1.2332333
8H2,10.13,16,NAc,10.451,1.8041456
2F2,11.04,16,NAc,6.8369994,-0.52255744
6O7,6.03,16,NAc,5.2109995,-1.9778032
1V8,4.31,16,NAc,6.419,-0.9751845
1P5,6.21,16,NAc,5.285,-1.7816993
37V,15.07,16,NAc,8.386,0.49134406
3D1,13.11,16,NAc,6.0169997,-1.4663492
3K1,9.01,16,NAc,8.188001,0.2751917
3T5,5.12,16,NAc,5.9259996,-1.2003936
3T5,5.12,16,NAc,6.034,-1.351002
1V8,4.31,16,NAc,6.7509995,-0.76131815
1P5,6.21,16,NAc,5.376,-1.71851
1P5,6.21,16,NAc,7.875,0.11931622
56R,14.95,16,NAc,7.7100005,-0.12428225
1P5,6.21,16,NAc,5.612,-1.5424793
1P5,6.21,16,NAc,7.021,-0.6776071
55R,14.97,16,NAc,7.504,-0.12751272
3T5,5.12,16,NAc,5.5189996,-1.58468
56R,14.95,16,NAc,8.533999,0.5346918
3T5,5.12,16,NAc,5.733,-1.4776074
3T5,5.12,16,NAc,5.953,-1.2427096
1L1,8.17,16,NAc,9.573,1.2686149
1V8,4.31,16,NAc,5.876,-1.2701656
3R7,3.32,16,NAc,9.698,1.5704848
1G8,7.88,16,NAc,6.11,-1.2928871
98V,16.03,16,NAc,9.495001,1.0320089
37V,15.07,16,NAc,14.075,5.1377854
1G8,7.88,16,NAc,9.120999,0.9533942
3K1,9.01,16,NAc,9.870001,1.7397022
55R,14.97,16,NAc,8.2439995,0.20604242
3R7,3.32,16,NAc,5.222,-1.7617035
3R7,3.32,16,NAc,10.888,2.6548078
37V,15.07,16,NAc,12.809,4.107817
8M0,8.12,16,NAc,8.497,0.7094959
3K1,9.01,16,NAc,9.757999,1.8962407
55R,14.97,16,NAc,7.3810005,-0.3534886
55R,14.97,16,NAc,7.632001,-0.17746206
1V8,4.31,16,NAc,7.262,-0.6132173
