louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
0,117,40,10.141512797435897,-0.37551403126495725,0.8885470696210619,-0.1797,0.2671,-0.2145,0.1838
1,3019,50,10.49122319208347,-0.20839477398489567,1.1123273383019596,0.5437,0.0,0.5552,0.0
2,302,40,12.479734945364237,0.1292737683660596,0.9826794465916344,0.0982,0.5465,0.1141,0.4833
3,1572,47,11.396148853498728,0.5667660031677481,1.1850658979307405,0.2429,0.0999,0.2231,0.1317
4,1365,46,11.81813117860806,-0.19483875092791209,1.0941178620428909,0.3461,0.0185,0.3251,0.0275
5,7751,50,10.065064917971874,-0.24597562703735,1.3965981010318818,0.7836,0.0,0.7852,0.0
6,2779,49,11.537794944764304,-0.0615349033667866,1.3188644294657181,0.2267,0.1173,0.2247,0.1207
7,466,47,12.289298266952791,-0.0668838951079399,1.337406085107175,0.2433,0.0993,0.2365,0.1095
8,284,29,10.66357753802817,-0.0951322149528169,1.1765796756889895,0.5356,0.0028,0.5222,0.0037
9,681,50,10.551436076651983,-0.022289170995594715,1.0530386854938456,0.0295,0.8389,0.045,0.7562
10,2673,50,11.667634485858585,0.015025099896805083,1.1239252618481024,0.6223,0.0,0.6226,0.0
11,693,49,11.403186103607505,-0.11208850923318901,1.1348728923434694,0.2509,0.0821,0.2406,0.0958
12,139,43,10.852021586330935,-0.2070860307194245,0.9127690392148174,0.0245,0.8763,0.032,0.8386
13,4104,50,10.383534356140352,-0.29221565746287764,1.1329417374791273,0.5018,0.0002,0.5097,0.0002
