louvain,n_cells,n_animals,mean_neighbor_age,mean_zscore,std_zscore,r_age,p_age,r_zscore,p_zscore
1,1834,51,10.461935131297711,-0.021037995510305343,1.0442846525725258,0.3242,0.0203,0.315,0.0243
3,669,46,11.73710769431988,-0.12711376148137518,1.1708865698963011,0.3863,0.008,0.4251,0.0032
4,683,50,12.04293118433382,-0.018523553419970726,1.068089801923976,0.3979,0.0042,0.4295,0.0019
5,742,49,10.425782948787061,0.3393550230165769,1.4648905772244327,0.5386,0.0001,0.5454,0.0001
6,1121,51,11.03822746895629,-0.04787367431373772,1.1763996278257542,0.4215,0.0021,0.4285,0.0017
8,1457,48,10.123756410775567,-0.28538823679767195,1.2342005729083285,0.6752,0.0,0.6585,0.0
9,639,51,9.997192468701096,-0.10591305988194052,1.0821917662253937,-0.1754,0.2183,-0.1686,0.237
10,587,49,11.359935236626917,0.04527982813628619,1.1169923029206867,0.3375,0.0177,0.327,0.0218
11,164,44,10.692731690243903,-0.08963282541219514,1.0404755167845248,0.011,0.9436,-0.0192,0.9014
12,112,45,10.20579469107143,-0.5090743297803572,1.1413175214304987,0.1676,0.2711,0.1981,0.1922
13,381,49,10.105923849868766,-0.12102847657186352,0.9803687861403562,0.1973,0.1743,0.1843,0.2049
